arm,probe_token_index,probe_token,k,visible_unit_count,selected_unit_indices,selected_units,attention_mass,cue,target_cosine,baseline_delta,target_similarity_rank,k_eligible
all_heads,6,ĠAnn,6,7,0|1|2|4|5|6,What|painting|is|as|The|Annunciation,0.9848979525268078,What painting is as The Annunciation,0.13924215734004974,0.018820181488990784,46,False
all_heads,6,ĠAnn,7,7,0|1|2|3|4|5|6,What|painting|is|known|as|The|Annunciation,1.000059419311583,What painting is known as The Annunciation,0.12180223315954208,0.0013802573084831238,52,False
all_heads,7,unciation,1,7,0,What,0.40379825234413147,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,7,unciation,2,7,0|6,What|Annunciation,0.7575830146670341,What Annunciation,0.11285160481929779,-0.007570371031761169,76,False
all_heads,7,unciation,3,7,0|5|6,What|The|Annunciation,0.8374801874160767,What The Annunciation,0.12595878541469574,0.00553680956363678,70,False
all_heads,7,unciation,4,7,0|1|5|6,What|painting|The|Annunciation,0.9067100211977959,What painting The Annunciation,0.1527552753686905,0.03233329951763153,36,False
all_heads,7,unciation,5,7,0|1|2|5|6,What|painting|is|The|Annunciation,0.9589614793658257,What painting is The Annunciation,0.12590624392032623,0.005484268069267273,48,False
all_heads,7,unciation,6,7,0|1|2|4|5|6,What|painting|is|as|The|Annunciation,0.982851542532444,What painting is as The Annunciation,0.13924215734004974,0.018820181488990784,46,False
all_heads,7,unciation,7,7,0|1|2|3|4|5|6,What|painting|is|known|as|The|Annunciation,0.9999969601631165,What painting is known as The Annunciation,0.12180223315954208,0.0013802573084831238,52,False
all_heads,8,Ġof,1,8,0,What,0.4237276017665863,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,8,Ġof,2,8,0|6,What|Annunciation,0.6764862388372421,What Annunciation,0.11285160481929779,-0.007570371031761169,76,False
all_heads,8,Ġof,3,8,0|6|7,What|Annunciation|of,0.8633225560188293,What Annunciation of,0.09401562064886093,-0.02640635520219803,82,False
all_heads,8,Ġof,4,8,0|5|6|7,What|The|Annunciation|of,0.9227173626422882,What The Annunciation of,0.10076697170734406,-0.019655004143714905,73,False
all_heads,8,Ġof,5,8,0|1|5|6|7,What|painting|The|Annunciation|of,0.9584673158824444,What painting The Annunciation of,0.13561514019966125,0.015193164348602295,42,False
all_heads,8,Ġof,6,8,0|1|2|5|6|7,What|painting|is|The|Annunciation|of,0.9784606192260981,What painting is The Annunciation of,0.12542611360549927,0.005004137754440308,52,False
all_heads,8,Ġof,7,8,0|1|2|4|5|6|7,What|painting|is|as|The|Annunciation|of,0.9922572439536452,What painting is as The Annunciation of,0.13117414712905884,0.010752171277999878,50,False
all_heads,8,Ġof,8,8,0|1|2|3|4|5|6|7,What|painting|is|known|as|The|Annunciation|of,1.000036143232137,What painting is known as The Annunciation of,0.11875613778829575,-0.0016658380627632141,51,False
all_heads,9,ĠFor,1,9,0,What,0.41822075843811035,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,9,ĠFor,2,9,0|8,"What|Forlì,",0.6572037488222122,"What Forlì,",0.0891956016421318,-0.031226374208927155,65,False
all_heads,9,ĠFor,3,9,0|6|8,"What|Annunciation|Forlì,",0.8034919947385788,"What Annunciation Forlì,",0.11243276298046112,-0.00798921287059784,56,False
all_heads,9,ĠFor,4,9,0|6|7|8,"What|Annunciation|of|Forlì,",0.8648778833448887,"What Annunciation of Forlì,",0.1297743171453476,0.009352341294288635,58,False
all_heads,9,ĠFor,5,9,0|5|6|7|8,"What|The|Annunciation|of|Forlì,",0.9132011085748672,"What The Annunciation of Forlì,",0.14978890120983124,0.029366925358772278,46,False
all_heads,9,ĠFor,6,9,0|1|5|6|7|8,"What|painting|The|Annunciation|of|Forlì,",0.9496273659169674,"What painting The Annunciation of Forlì,",0.1631523221731186,0.04273034632205963,21,False
all_heads,9,ĠFor,7,9,0|1|2|5|6|7|8,"What|painting|is|The|Annunciation|of|Forlì,",0.9740783087909222,"What painting is The Annunciation of Forlì,",0.1430070847272873,0.022585108876228333,29,False
all_heads,9,ĠFor,8,9,0|1|2|4|5|6|7|8,"What|painting|is|as|The|Annunciation|of|Forlì,",0.9893661914393306,"What painting is as The Annunciation of Forlì,",0.1499364823102951,0.029514506459236145,26,False
all_heads,9,ĠFor,9,9,0|1|2|3|4|5|6|7|8,"What|painting|is|known|as|The|Annunciation|of|Forlì,",0.9999421164393425,"What painting is known as The Annunciation of Forlì,",0.14153403043746948,0.021112054586410522,30,False
all_heads,10,l,1,9,0,What,0.42170199751853943,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,10,l,2,9,0|8,"What|Forlì,",0.7513489052653313,"What Forlì,",0.0891956016421318,-0.031226374208927155,65,False
all_heads,10,l,3,9,0|6|8,"What|Annunciation|Forlì,",0.8590778671205044,"What Annunciation Forlì,",0.11243276298046112,-0.00798921287059784,56,False
all_heads,10,l,4,9,0|6|7|8,"What|Annunciation|of|Forlì,",0.9168022572994232,"What Annunciation of Forlì,",0.1297743171453476,0.009352341294288635,58,False
all_heads,10,l,5,9,0|5|6|7|8,"What|The|Annunciation|of|Forlì,",0.9479183703660965,"What The Annunciation of Forlì,",0.14978890120983124,0.029366925358772278,46,False
all_heads,10,l,6,9,0|1|5|6|7|8,"What|painting|The|Annunciation|of|Forlì,",0.9705762881785631,"What painting The Annunciation of Forlì,",0.1631523221731186,0.04273034632205963,21,False
all_heads,10,l,7,9,0|1|2|5|6|7|8,"What|painting|is|The|Annunciation|of|Forlì,",0.9873115941882133,"What painting is The Annunciation of Forlì,",0.1430070847272873,0.022585108876228333,29,False
all_heads,10,l,8,9,0|1|2|4|5|6|7|8,"What|painting|is|as|The|Annunciation|of|Forlì,",0.9955303659662604,"What painting is as The Annunciation of Forlì,",0.1499364823102951,0.029514506459236145,26,False
all_heads,10,l,9,9,0|1|2|3|4|5|6|7|8,"What|painting|is|known|as|The|Annunciation|of|Forlì,",0.9999345978721976,"What painting is known as The Annunciation of Forlì,",0.14153403043746948,0.021112054586410522,30,False
all_heads,11,Ã¬,1,9,8,"Forlì,",0.33463864773511887,"Forlì,",0.07231099903583527,-0.048110976815223694,56,False
all_heads,11,Ã¬,2,9,0|8,"What|Forlì,",0.6575851663947105,"What Forlì,",0.0891956016421318,-0.031226374208927155,65,False
all_heads,11,Ã¬,3,9,0|6|8,"What|Annunciation|Forlì,",0.7645032647997141,"What Annunciation Forlì,",0.11243276298046112,-0.00798921287059784,56,False
all_heads,11,Ã¬,4,9,0|1|6|8,"What|painting|Annunciation|Forlì,",0.8251944240182638,"What painting Annunciation Forlì,",0.16313935816287994,0.042717382311820984,21,False
all_heads,11,Ã¬,5,9,0|1|5|6|8,"What|painting|The|Annunciation|Forlì,",0.8774228561669588,"What painting The Annunciation Forlì,",0.1584635227918625,0.03804154694080353,22,False
all_heads,11,Ã¬,6,9,0|1|2|5|6|8,"What|painting|is|The|Annunciation|Forlì,",0.9188119154423475,"What painting is The Annunciation Forlì,",0.14812570810317993,0.02770373225212097,25,False
all_heads,11,Ã¬,7,9,0|1|2|5|6|7|8,"What|painting|is|The|Annunciation|of|Forlì,",0.95806142129004,"What painting is The Annunciation of Forlì,",0.1430070847272873,0.022585108876228333,29,False
all_heads,11,Ã¬,8,9,0|1|2|4|5|6|7|8,"What|painting|is|as|The|Annunciation|of|Forlì,",0.9795932099223137,"What painting is as The Annunciation of Forlì,",0.1499364823102951,0.029514506459236145,26,False
all_heads,11,Ã¬,9,9,0|1|2|3|4|5|6|7|8,"What|painting|is|known|as|The|Annunciation|of|Forlì,",0.9999391287565231,"What painting is known as The Annunciation of Forlì,",0.14153403043746948,0.021112054586410522,30,False
all_heads,12,",",1,9,0,What,0.30040404200553894,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,12,",",2,9,0|8,"What|Forlì,",0.5954843796789646,"What Forlì,",0.0891956016421318,-0.031226374208927155,65,False
all_heads,12,",",3,9,0|6|8,"What|Annunciation|Forlì,",0.6813383549451828,"What Annunciation Forlì,",0.11243276298046112,-0.00798921287059784,56,False
all_heads,12,",",4,9,0|1|6|8,"What|painting|Annunciation|Forlì,",0.7587344795465469,"What painting Annunciation Forlì,",0.16313935816287994,0.042717382311820984,21,False
all_heads,12,",",5,9,0|1|5|6|8,"What|painting|The|Annunciation|Forlì,",0.8349199518561363,"What painting The Annunciation Forlì,",0.1584635227918625,0.03804154694080353,22,False
all_heads,12,",",6,9,0|1|2|5|6|8,"What|painting|is|The|Annunciation|Forlì,",0.8905972130596638,"What painting is The Annunciation Forlì,",0.14812570810317993,0.02770373225212097,25,False
all_heads,12,",",7,9,0|1|2|4|5|6|8,"What|painting|is|as|The|Annunciation|Forlì,",0.9320579953491688,"What painting is as The Annunciation Forlì,",0.1547306627035141,0.03430868685245514,21,False
all_heads,12,",",8,9,0|1|2|3|4|5|6|8,"What|painting|is|known|as|The|Annunciation|Forlì,",0.9698808379471302,"What painting is known as The Annunciation Forlì,",0.14008256793022156,0.019660592079162598,27,False
all_heads,12,",",9,9,0|1|2|3|4|5|6|7|8,"What|painting|is|known|as|The|Annunciation|of|Forlì,",1.0000029150396585,"What painting is known as The Annunciation of Forlì,",0.14153403043746948,0.021112054586410522,30,False
all_heads,13,Ġwho,1,10,0,What,0.32983383536338806,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,13,Ġwho,2,10,0|9,What|who,0.5022597163915634,What who,0.09418955445289612,-0.026232421398162842,73,False
all_heads,13,Ġwho,3,10,0|8|9,"What|Forlì,|who",0.6319577528629452,"What Forlì, who",0.10825661569833755,-0.012165360152721405,43,False
all_heads,13,Ġwho,4,10,0|2|8|9,"What|is|Forlì,|who",0.7357592342887074,"What is Forlì, who",0.11795671284198761,-0.00246526300907135,39,False
all_heads,13,Ġwho,5,10,0|1|2|8|9,"What|painting|is|Forlì,|who",0.8267580030951649,"What painting is Forlì, who",0.16137845814228058,0.04095648229122162,21,False
all_heads,13,Ġwho,6,10,0|1|2|3|8|9,"What|painting|is|known|Forlì,|who",0.8788309937808663,"What painting is known Forlì, who",0.1519685834646225,0.03154660761356354,27,False
all_heads,13,Ġwho,7,10,0|1|2|3|4|8|9,"What|painting|is|known|as|Forlì,|who",0.9230571335647255,"What painting is known as Forlì, who",0.1592693030834198,0.03884732723236084,26,False
all_heads,13,Ġwho,8,10,0|1|2|3|4|6|8|9,"What|painting|is|known|as|Annunciation|Forlì,|who",0.957376365782693,"What painting is known as Annunciation Forlì, who",0.15366418659687042,0.03324221074581146,23,False
all_heads,13,Ġwho,9,10,0|1|2|3|4|5|6|8|9,"What|painting|is|known|as|The|Annunciation|Forlì,|who",0.9904563140589744,"What painting is known as The Annunciation Forlì, who",0.15162275731563568,0.03120078146457672,26,False
all_heads,13,Ġwho,10,10,0|1|2|3|4|5|6|7|8|9,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who",0.9999768196139485,"What painting is known as The Annunciation of Forlì, who",0.15247862040996552,0.032056644558906555,28,False
all_heads,14,Ġpainted,1,11,0,What,0.28008922934532166,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,14,Ġpainted,2,11,0|10,What|painted,0.44925929605960846,What painted,0.13091152906417847,0.010489553213119507,34,False
all_heads,14,Ġpainted,3,11,0|8|10,"What|Forlì,|painted",0.5774393242318183,"What Forlì, painted",0.16640473902225494,0.045982763171195984,39,False
all_heads,14,Ġpainted,4,11,0|1|8|10,"What|painting|Forlì,|painted",0.6940973561722785,"What painting Forlì, painted",0.15989087522029877,0.03946889936923981,29,False
all_heads,14,Ġpainted,5,11,0|1|2|8|10,"What|painting|is|Forlì,|painted",0.7632132258731872,"What painting is Forlì, painted",0.15392817556858063,0.03350619971752167,25,False
all_heads,14,Ġpainted,6,11,0|1|2|8|9|10,"What|painting|is|Forlì,|who|painted",0.8261634719092399,"What painting is Forlì, who painted",0.14679737389087677,0.02637539803981781,25,False
all_heads,14,Ġpainted,7,11,0|1|2|5|8|9|10,"What|painting|is|The|Forlì,|who|painted",0.8765527729410678,"What painting is The Forlì, who painted",0.15729381144046783,0.036871835589408875,27,False
all_heads,14,Ġpainted,8,11,0|1|2|4|5|8|9|10,"What|painting|is|as|The|Forlì,|who|painted",0.9145419273991138,"What painting is as The Forlì, who painted",0.1658135950565338,0.045391619205474854,27,False
all_heads,14,Ġpainted,9,11,0|1|2|4|5|6|8|9|10,"What|painting|is|as|The|Annunciation|Forlì,|who|painted",0.9523397779557854,"What painting is as The Annunciation Forlì, who painted",0.15387870371341705,0.03345672786235809,23,False
all_heads,14,Ġpainted,10,11,0|1|2|3|4|5|6|8|9|10,"What|painting|is|known|as|The|Annunciation|Forlì,|who|painted",0.9899976609740406,"What painting is known as The Annunciation Forlì, who painted",0.14541585743427277,0.024993881583213806,28,False
all_heads,14,Ġpainted,11,11,0|1|2|3|4|5|6|7|8|9|10,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who|painted",0.9999175865668803,"What painting is known as The Annunciation of Forlì, who painted",0.13936075568199158,0.018938779830932617,32,False
all_heads,15,Ġit,1,12,0,What,0.2878185510635376,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,15,Ġit,2,12,0|11,"What|it,",0.45813409984111786,"What it,",0.08117222040891647,-0.03924975544214249,89,False
all_heads,15,Ġit,3,12,0|8|11,"What|Forlì,|it,",0.6273397393524647,"What Forlì, it,",0.09333697706460953,-0.027084998786449432,76,False
all_heads,15,Ġit,4,12,0|6|8|11,"What|Annunciation|Forlì,|it,",0.723549222573638,"What Annunciation Forlì, it,",0.11478948593139648,-0.005632489919662476,62,False
all_heads,15,Ġit,5,12,0|1|6|8|11,"What|painting|Annunciation|Forlì,|it,",0.7927521746605635,"What painting Annunciation Forlì, it,",0.16982312500476837,0.04940114915370941,21,False
all_heads,15,Ġit,6,12,0|1|2|6|8|11,"What|painting|is|Annunciation|Forlì,|it,",0.8332034964114428,"What painting is Annunciation Forlì, it,",0.15899106860160828,0.038569092750549316,24,False
all_heads,15,Ġit,7,12,0|1|2|6|8|10|11,"What|painting|is|Annunciation|Forlì,|painted|it,",0.870014725252986,"What painting is Annunciation Forlì, painted it,",0.16186952590942383,0.04144755005836487,21,False
all_heads,15,Ġit,8,12,0|1|2|6|8|9|10|11,"What|painting|is|Annunciation|Forlì,|who|painted|it,",0.8995986729860306,"What painting is Annunciation Forlì, who painted it,",0.1465650498867035,0.02614307403564453,21,False
all_heads,15,Ġit,9,12,0|1|2|5|6|8|9|10|11,"What|painting|is|The|Annunciation|Forlì,|who|painted|it,",0.9288383331149817,"What painting is The Annunciation Forlì, who painted it,",0.14142800867557526,0.021006032824516296,25,False
all_heads,15,Ġit,10,12,0|1|2|4|5|6|8|9|10|11,"What|painting|is|as|The|Annunciation|Forlì,|who|painted|it,",0.9554858580231667,"What painting is as The Annunciation Forlì, who painted it,",0.14080293476581573,0.020380958914756775,23,False
all_heads,15,Ġit,11,12,0|1|2|3|4|5|6|8|9|10|11,"What|painting|is|known|as|The|Annunciation|Forlì,|who|painted|it,",0.977930523455143,"What painting is known as The Annunciation Forlì, who painted it,",0.1371881067752838,0.016766130924224854,26,False
all_heads,15,Ġit,12,12,0|1|2|3|4|5|6|7|8|9|10|11,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who|painted|it,",0.9999593999236822,"What painting is known as The Annunciation of Forlì, who painted it,",0.13099734485149384,0.010575369000434875,28,False
all_heads,16,",",1,12,0,What,0.30364081263542175,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,16,",",2,12,0|11,"What|it,",0.5164714455604553,"What it,",0.08117222040891647,-0.03924975544214249,89,False
all_heads,16,",",3,12,0|8|11,"What|Forlì,|it,",0.6368180853314698,"What Forlì, it,",0.09333697706460953,-0.027084998786449432,76,False
all_heads,16,",",4,12,0|8|10|11,"What|Forlì,|painted|it,",0.7291719657368958,"What Forlì, painted it,",0.172241672873497,0.05181969702243805,19,False
all_heads,16,",",5,12,0|8|9|10|11,"What|Forlì,|who|painted|it,",0.809031989891082,"What Forlì, who painted it,",0.1681014895439148,0.047679513692855835,21,False
all_heads,16,",",6,12,0|2|8|9|10|11,"What|is|Forlì,|who|painted|it,",0.8577944491989911,"What is Forlì, who painted it,",0.13976839184761047,0.019346415996551514,20,False
all_heads,16,",",7,12,0|1|2|8|9|10|11,"What|painting|is|Forlì,|who|painted|it,",0.8978422177024186,"What painting is Forlì, who painted it,",0.13604620099067688,0.01562422513961792,22,False
all_heads,16,",",8,12,0|1|2|3|8|9|10|11,"What|painting|is|known|Forlì,|who|painted|it,",0.935321465600282,"What painting is known Forlì, who painted it,",0.12293101102113724,0.0025090351700782776,25,False
all_heads,16,",",9,12,0|1|2|3|4|8|9|10|11,"What|painting|is|known|as|Forlì,|who|painted|it,",0.9624096103943884,"What painting is known as Forlì, who painted it,",0.14256933331489563,0.02214735746383667,23,False
all_heads,16,",",10,12,0|1|2|3|4|5|8|9|10|11,"What|painting|is|known|as|The|Forlì,|who|painted|it,",0.9809257169254124,"What painting is known as The Forlì, who painted it,",0.14586424827575684,0.025442272424697876,24,False
all_heads,16,",",11,12,0|1|2|3|4|5|6|8|9|10|11,"What|painting|is|known|as|The|Annunciation|Forlì,|who|painted|it,",0.9951801681891084,"What painting is known as The Annunciation Forlì, who painted it,",0.1371881067752838,0.016766130924224854,26,False
all_heads,16,",",12,12,0|1|2|3|4|5|6|7|8|9|10|11,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who|painted|it,",1.0000570761039853,"What painting is known as The Annunciation of Forlì, who painted it,",0.13099734485149384,0.010575369000434875,28,False
all_heads,17,Ġwho,1,13,0,What,0.2755531370639801,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,17,Ġwho,2,13,0|11,"What|it,",0.4190133176743984,"What it,",0.08117222040891647,-0.03924975544214249,89,False
all_heads,17,Ġwho,3,13,0|10|11,"What|painted|it,",0.5441244654357433,"What painted it,",0.14786353707313538,0.027441561222076416,23,False
all_heads,17,Ġwho,4,13,0|10|11|12,"What|painted|it,|who",0.6656276993453503,"What painted it, who",0.13697904348373413,0.01655706763267517,19,False
all_heads,17,Ġwho,5,13,0|9|10|11|12,"What|who|painted|it,|who",0.7568124644458294,"What who painted it, who",0.11063883453607559,-0.009783141314983368,30,False
all_heads,17,Ġwho,6,13,0|8|9|10|11|12,"What|Forlì,|who|painted|it,|who",0.837655468378216,"What Forlì, who painted it, who",0.14890436828136444,0.02848239243030548,19,False
all_heads,17,Ġwho,7,13,0|6|8|9|10|11|12,"What|Annunciation|Forlì,|who|painted|it,|who",0.8732094406150281,"What Annunciation Forlì, who painted it, who",0.152830570936203,0.03240859508514404,23,False
all_heads,17,Ġwho,8,13,0|2|6|8|9|10|11|12,"What|is|Annunciation|Forlì,|who|painted|it,|who",0.9085092409513891,"What is Annunciation Forlì, who painted it, who",0.1433842033147812,0.02296222746372223,18,False
all_heads,17,Ġwho,9,13,0|1|2|6|8|9|10|11|12,"What|painting|is|Annunciation|Forlì,|who|painted|it,|who",0.9333558003418148,"What painting is Annunciation Forlì, who painted it, who",0.14718297123908997,0.026760995388031006,19,False
all_heads,17,Ġwho,10,13,0|1|2|3|6|8|9|10|11|12,"What|painting|is|known|Annunciation|Forlì,|who|painted|it,|who",0.9566990784369409,"What painting is known Annunciation Forlì, who painted it, who",0.13815832138061523,0.017736345529556274,24,False
all_heads,17,Ġwho,11,13,0|1|2|3|4|6|8|9|10|11|12,"What|painting|is|known|as|Annunciation|Forlì,|who|painted|it,|who",0.975555972661823,"What painting is known as Annunciation Forlì, who painted it, who",0.1450793445110321,0.024657368659973145,24,False
all_heads,17,Ġwho,12,13,0|1|2|3|4|5|6|8|9|10|11|12,"What|painting|is|known|as|The|Annunciation|Forlì,|who|painted|it,|who",0.988175664562732,"What painting is known as The Annunciation Forlì, who painted it, who",0.14005982875823975,0.019637852907180786,26,False
all_heads,17,Ġwho,13,13,0|1|2|3|4|5|6|7|8|9|10|11|12,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who|painted|it,|who",0.9999639648012817,"What painting is known as The Annunciation of Forlì, who painted it, who",0.13673289120197296,0.016310915350914,27,False
all_heads,18,Ġcommissioned,1,14,0,What,0.29187533259391785,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,18,Ġcommissioned,2,14,0|13,What|commissioned,0.5029789954423904,What commissioned,0.18355049192905426,0.0631285160779953,39,False
all_heads,18,Ġcommissioned,3,14,0|11|13,"What|it,|commissioned",0.64830257371068,"What it, commissioned",0.16549921035766602,0.045077234506607056,49,False
all_heads,18,Ġcommissioned,4,14,0|8|11|13,"What|Forlì,|it,|commissioned",0.7580172228626907,"What Forlì, it, commissioned",0.16301529109477997,0.04259331524372101,45,False
all_heads,18,Ġcommissioned,5,14,0|8|10|11|13,"What|Forlì,|painted|it,|commissioned",0.8235759395174682,"What Forlì, painted it, commissioned",0.21031804382801056,0.0898960679769516,20,False
all_heads,18,Ġcommissioned,6,14,0|1|8|10|11|13,"What|painting|Forlì,|painted|it,|commissioned",0.8588945264928043,"What painting Forlì, painted it, commissioned",0.20024366676807404,0.07982169091701508,20,False
all_heads,18,Ġcommissioned,7,14,0|1|8|10|11|12|13,"What|painting|Forlì,|painted|it,|who|commissioned",0.8882270394824445,"What painting Forlì, painted it, who commissioned",0.19654197990894318,0.07612000405788422,20,False
all_heads,18,Ġcommissioned,8,14,0|1|8|9|10|11|12|13,"What|painting|Forlì,|who|painted|it,|who|commissioned",0.9121190081350505,"What painting Forlì, who painted it, who commissioned",0.18709051609039307,0.0666685402393341,19,False
all_heads,18,Ġcommissioned,9,14,0|1|6|8|9|10|11|12|13,"What|painting|Annunciation|Forlì,|who|painted|it,|who|commissioned",0.9351932001300156,"What painting Annunciation Forlì, who painted it, who commissioned",0.18108327686786652,0.060661301016807556,18,False
all_heads,18,Ġcommissioned,10,14,0|1|2|6|8|9|10|11|12|13,"What|painting|is|Annunciation|Forlì,|who|painted|it,|who|commissioned",0.953651508782059,"What painting is Annunciation Forlì, who painted it, who commissioned",0.1740243285894394,0.05360235273838043,19,False
all_heads,18,Ġcommissioned,11,14,0|1|2|5|6|8|9|10|11|12|13,"What|painting|is|The|Annunciation|Forlì,|who|painted|it,|who|commissioned",0.9693372347392142,"What painting is The Annunciation Forlì, who painted it, who commissioned",0.16475974023342133,0.044337764382362366,23,False
all_heads,18,Ġcommissioned,12,14,0|1|2|4|5|6|8|9|10|11|12|13,"What|painting|is|as|The|Annunciation|Forlì,|who|painted|it,|who|commissioned",0.9806977831758559,"What painting is as The Annunciation Forlì, who painted it, who commissioned",0.16727176308631897,0.04684978723526001,22,False
all_heads,18,Ġcommissioned,13,14,0|1|2|3|4|5|6|8|9|10|11|12|13,"What|painting|is|known|as|The|Annunciation|Forlì,|who|painted|it,|who|commissioned",0.9916443056426942,"What painting is known as The Annunciation Forlì, who painted it, who commissioned",0.16616781055927277,0.045745834708213806,24,False
all_heads,18,Ġcommissioned,14,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,"What|painting|is|known|as|The|Annunciation|of|Forlì,|who|painted|it,|who|commissioned",0.9999190359376371,"What painting is known as The Annunciation of Forlì, who painted it, who commissioned",0.16104693710803986,0.040624961256980896,26,False
all_heads,19,Ġit,1,15,0,What,0.25624901056289673,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,19,Ġit,2,15,0|8,"What|Forlì,",0.42790372855961323,"What Forlì,",0.0891956016421318,-0.031226374208927155,65,False
all_heads,19,Ġit,3,15,0|8|11,"What|Forlì,|it,",0.575175317004323,"What Forlì, it,",0.09333697706460953,-0.027084998786449432,76,False
all_heads,19,Ġit,4,15,0|8|11|14,"What|Forlì,|it,|it,",0.6947100181132555,"What Forlì, it, it,",0.0871371179819107,-0.033284857869148254,80,False
all_heads,19,Ġit,5,15,0|8|11|13|14,"What|Forlì,|it,|commissioned|it,",0.7668716702610254,"What Forlì, it, commissioned it,",0.18590466678142548,0.06548269093036652,23,False
all_heads,19,Ġit,6,15,0|6|8|11|13|14,"What|Annunciation|Forlì,|it,|commissioned|it,",0.8307896330952644,"What Annunciation Forlì, it, commissioned it,",0.17575453221797943,0.05533255636692047,30,False
all_heads,19,Ġit,7,15,0|1|6|8|11|13|14,"What|painting|Annunciation|Forlì,|it,|commissioned|it,",0.8605723548680544,"What painting Annunciation Forlì, it, commissioned it,",0.207477867603302,0.08705589175224304,20,False
