run,turn,assistant_chars,mean_assistant_chars_1_120,median_assistant_chars_1_120,response_budget,model_quantization,sampling_settings,source_artifact
Study 002 C,75,4819,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,76,0,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,77,4417,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,78,4672,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,79,3825,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,80,4918,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,81,4181,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,82,4825,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,83,4562,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,84,4623,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,85,5090,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,86,4473,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,87,5382,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,88,5226,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,89,4218,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,90,2702,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,91,3767,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,92,4476,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,93,4207,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,94,2957,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,95,4664,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,96,4258,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,97,4291,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,98,4437,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,99,4162,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,100,4176,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,101,4113,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,102,4166,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,103,4266,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,104,4105,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,105,4238,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,106,3936,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,107,3349,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,108,4525,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,109,4404,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,110,4135,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,111,4047,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,112,2172,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,113,195,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,114,502,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,115,321,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,116,4335,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,117,4393,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,118,4487,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,119,1883,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,120,3928,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 003 accepted,1,87,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,2,185,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,3,236,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,4,2165,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,5,1781,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,6,2622,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,7,2334,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,8,3973,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,9,2615,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,10,3285,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,11,3656,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,12,2258,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,13,3010,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,14,2901,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,15,2662,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,16,2800,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,17,2728,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,18,2279,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,19,2787,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,20,2830,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,21,3598,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,22,3071,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,23,2520,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,24,2776,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,25,2591,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,26,2761,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,27,2839,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,28,2521,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,29,3469,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,30,2505,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,31,4682,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,32,3180,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,33,2658,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,34,2685,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,35,2670,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,36,3834,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,37,2769,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,38,2371,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,39,2820,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,40,2432,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,41,3362,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,42,2866,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,43,3636,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,44,3550,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,45,3699,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,46,2744,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
Study 003 accepted,47,2666,2703.725,2778.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_003/runs/study_003_full_001/iterative/study.db
