arm,turn,total,preamble,pinned_rules,recent_context,retrieved_stm,retrieved_ltm,current_turn,separators,assistant_cue,retrieved_ltm_compact,retrieved_ltm_episodes
arm_l,40,5219,149,15,4768,16,16,235,8,12,16,0
arm_l,41,8859,149,15,4703,3754,16,202,8,12,16,0
arm_l,42,8578,149,15,4850,3304,16,224,8,12,16,0
arm_l,43,7950,149,15,4753,2784,16,213,8,12,16,0
arm_l,44,7048,149,15,4976,1664,16,208,8,12,16,0
arm_l,45,6553,149,15,4696,1444,16,213,8,12,16,0
arm_l,46,7113,149,15,4641,2068,16,204,8,12,16,0
arm_l,47,7162,149,15,4797,1952,16,213,8,12,16,0
arm_l,48,6804,149,15,4768,1616,16,220,8,12,16,0
arm_l,49,10043,149,15,4816,4825,16,202,8,12,16,0
arm_l,50,9396,149,15,4850,4122,16,224,8,12,16,0
arm_l,51,8638,149,15,4753,3472,16,213,8,12,16,0
arm_l,52,7456,149,15,4976,2072,16,208,8,12,16,0
arm_l,53,6906,149,15,4696,1797,16,213,8,12,16,0
arm_l,54,7622,149,15,4641,2577,16,204,8,12,16,0
arm_l,55,7642,149,15,4797,2432,16,213,8,12,16,0
arm_l,56,7332,149,15,4768,2144,16,220,8,12,16,0
arm_l,57,11114,149,15,4816,5896,16,202,8,12,16,0
arm_l,58,10214,149,15,4850,4940,16,224,8,12,16,0
arm_l,59,9326,149,15,4753,4160,16,213,8,12,16,0
arm_l,60,7864,149,15,4976,2480,16,208,8,12,16,0
arm_l,61,7259,149,15,4696,2150,16,213,8,12,16,0
arm_l,62,8131,149,15,4641,3086,16,204,8,12,16,0
arm_l,63,8122,149,15,4797,2912,16,213,8,12,16,0
arm_l,64,7860,149,15,4768,2672,16,220,8,12,16,0
arm_l,65,12185,149,15,4816,6967,16,202,8,12,16,0
arm_l,66,11032,149,15,4850,5758,16,224,8,12,16,0
arm_l,67,10014,149,15,4753,4848,16,213,8,12,16,0
arm_l,68,8272,149,15,4976,2888,16,208,8,12,16,0
arm_l,69,7612,149,15,4696,2503,16,213,8,12,16,0
arm_l,70,8640,149,15,4641,3595,16,204,8,12,16,0
arm_l,71,8602,149,15,4797,3392,16,213,8,12,16,0
arm_l,72,8388,149,15,4768,3200,16,220,8,12,16,0
arm_l,73,13256,149,15,4816,8038,16,202,8,12,16,0
arm_l,74,11850,149,15,4850,6576,16,224,8,12,16,0
arm_l,75,5586,149,15,4753,447,16,186,8,12,16,0
arm_l,76,8599,149,15,4895,3296,16,208,8,12,16,0
arm_l,77,7965,149,15,4696,2856,16,213,8,12,16,0
arm_l,78,9149,149,15,4641,4104,16,204,8,12,16,0
arm_l,79,9082,149,15,4797,3872,16,213,8,12,16,0
arm_l,80,8916,149,15,4768,3728,16,220,8,12,16,0
arm_l,81,14327,149,15,4816,9109,16,202,8,12,16,0
arm_l,82,12668,149,15,4850,7394,16,224,8,12,16,0
arm_l,83,5241,149,15,4753,16,16,272,8,12,16,0
arm_l,84,6443,149,15,4740,16,1276,227,8,12,890,2
arm_l,85,6595,149,15,4906,16,1276,213,8,12,890,2
arm_l,86,6595,149,15,4909,16,1276,210,8,12,890,2
arm_l,87,10333,149,15,4827,3827,1276,219,8,12,890,2
arm_l,88,6978,149,15,4666,650,1276,202,8,12,890,2
arm_l,89,6502,149,15,4816,16,1276,210,8,12,890,2
arm_l,90,10816,149,15,4884,4256,1276,216,8,12,890,2
arm_l,91,7694,149,15,4856,1178,1276,200,8,12,890,2
arm_l,92,8136,149,15,4893,1556,1276,227,8,12,890,2
arm_l,93,9245,149,15,4906,2666,1276,213,8,12,890,2
arm_l,94,9245,149,15,4909,2666,1276,210,8,12,890,2
arm_l,95,12425,149,15,4827,5919,1276,219,8,12,890,2
arm_l,96,9070,149,15,4666,2742,1276,202,8,12,890,2
arm_l,97,7069,149,15,4771,628,1276,210,8,12,890,2
arm_l,98,11384,149,15,4884,4824,1276,216,8,12,890,2
arm_l,99,9400,149,15,4856,2884,1276,200,8,12,890,2
arm_l,100,10220,149,15,4893,3640,1276,227,8,12,890,2
arm_l,101,11835,149,15,4907,5255,1276,213,8,12,890,2
arm_l,102,11352,149,15,4910,4772,1276,210,8,12,890,2
arm_l,103,14474,149,15,4828,7967,1276,219,8,12,890,2
arm_l,104,11119,149,15,4667,4790,1276,202,8,12,890,2
arm_l,105,7666,149,15,4772,1224,1276,210,8,12,890,2
arm_l,106,11953,149,15,4885,5392,1276,216,8,12,890,2
arm_l,107,11109,149,15,4857,4592,1276,200,8,12,890,2
arm_l,108,12308,149,15,4894,5727,1276,227,8,12,890,2
arm_l,109,14429,149,15,4907,7849,1276,213,8,12,890,2
arm_l,110,13462,149,15,4910,6882,1276,210,8,12,890,2
arm_l,111,16525,149,15,4828,10018,1276,219,8,12,890,2
arm_l,112,13170,149,15,4667,6841,1276,202,8,12,890,2
arm_l,113,8263,149,15,4772,1821,1276,210,8,12,890,2
arm_l,114,12522,149,15,4885,5961,1276,216,8,12,890,2
arm_l,115,12818,149,15,4857,6301,1276,200,8,12,890,2
arm_l,116,14396,149,15,4894,7815,1276,227,8,12,890,2
arm_l,117,17023,149,15,4907,10443,1276,213,8,12,890,2
arm_l,118,15572,149,15,4910,8992,1276,210,8,12,890,2
arm_l,119,18576,149,15,4828,12069,1276,219,8,12,890,2
arm_l,120,15221,149,15,4667,8892,1276,202,8,12,890,2
arm_l,121,8860,149,15,4772,2418,1276,210,8,12,890,2
arm_l,122,6968,149,15,4885,899,750,250,8,12,557,1
arm_l,123,16344,149,15,4730,8010,3220,200,8,12,2211,5
arm_l,124,17923,149,15,4894,9903,2715,227,8,12,1915,4
arm_l,125,20218,149,15,4907,12910,2004,213,8,12,1413,3
arm_l,126,17841,149,15,4910,10533,2004,210,8,12,1413,3
arm_l,127,21976,149,15,4828,13993,2752,219,8,12,1952,4
arm_l,128,18179,149,15,4667,10374,2752,202,8,12,1952,4
arm_l,129,12784,149,15,4772,3015,4603,210,8,12,3180,7
arm_l,130,15727,149,15,4885,6530,3912,216,8,12,2694,6
arm_l,131,18180,149,15,4857,9719,3220,200,8,12,2211,5
arm_l,132,20011,149,15,4894,11991,2715,227,8,12,1915,4
arm_l,133,22812,149,15,4907,15504,2004,213,8,12,1413,3
arm_l,134,19951,149,15,4910,12643,2004,210,8,12,1413,3
arm_l,135,24027,149,15,4828,16044,2752,219,8,12,1952,4
arm_l,136,20230,149,15,4667,12425,2752,202,8,12,1952,4
arm_l,137,13381,149,15,4772,3612,4603,210,8,12,3180,7
arm_l,138,16296,149,15,4885,7099,3912,216,8,12,2694,6
arm_l,139,19889,149,15,4857,11428,3220,200,8,12,2211,5
arm_l,140,22099,149,15,4894,14079,2715,227,8,12,1915,4
arm_l,141,25406,149,15,4907,18098,2004,213,8,12,1413,3
arm_l,142,22061,149,15,4910,14753,2004,210,8,12,1413,3
arm_l,143,26078,149,15,4828,18095,2752,219,8,12,1952,4
arm_l,144,22281,149,15,4667,14476,2752,202,8,12,1952,4
arm_l,145,13978,149,15,4772,4209,4603,210,8,12,3180,7
arm_l,146,16865,149,15,4885,7668,3912,216,8,12,2694,6
arm_l,147,21598,149,15,4857,13137,3220,200,8,12,2211,5
arm_l,148,24187,149,15,4894,16167,2715,227,8,12,1915,4
arm_l,149,28000,149,15,4907,20692,2004,213,8,12,1413,3
arm_l,150,24171,149,15,4910,16863,2004,210,8,12,1413,3
arm_l,151,28129,149,15,4828,20146,2752,219,8,12,1952,4
arm_l,152,24332,149,15,4667,16527,2752,202,8,12,1952,4
arm_l,153,14575,149,15,4772,4806,4603,210,8,12,3180,7
arm_l,154,17434,149,15,4885,8237,3912,216,8,12,2694,6
arm_l,155,23307,149,15,4857,14846,3220,200,8,12,2211,5
arm_l,156,26275,149,15,4894,18255,2715,227,8,12,1915,4
arm_l,157,10810,149,15,4907,926,4603,190,8,12,3180,7
arm_l,158,27658,149,15,4943,18973,3348,210,8,12,2339,5
arm_l,159,32994,149,15,4828,22197,5566,219,8,12,3959,8
arm_l,160,29752,149,15,4667,18578,6121,202,8,12,4319,9
arm_l,161,20348,149,15,4772,5403,9779,210,8,12,6733,15
arm_l,162,22485,149,15,4885,8806,8394,216,8,12,5760,13
arm_l,163,28848,149,15,4857,16555,7052,200,8,12,4838,11
arm_l,164,15136,149,15,4894,16,9779,263,8,12,6733,15
arm_l,165,17418,149,15,4728,16,12269,221,8,12,8443,19
arm_l,166,17479,149,15,4807,16,12269,203,8,12,8443,19
arm_l,167,17684,149,15,5012,16,12269,203,8,12,8443,19
arm_l,168,33133,149,15,4687,17285,10768,209,8,12,7553,16
arm_l,169,17851,149,15,4653,551,12269,194,8,12,8443,19
arm_l,170,17806,149,15,4750,397,12269,206,8,12,8443,19
arm_l,171,24769,149,15,4794,9375,10202,214,8,12,6983,16
arm_l,172,18019,149,15,4875,494,12269,197,8,12,8443,19
arm_l,173,19538,149,15,4855,2009,12269,221,8,12,8443,19
arm_l,174,19312,149,15,4807,1849,12269,203,8,12,8443,19
arm_l,175,18099,149,15,5012,431,12269,203,8,12,8443,19
arm_l,176,34004,149,15,4687,18156,10768,209,8,12,7553,16
arm_l,177,19399,149,15,4653,2099,12269,194,8,12,8443,19
arm_l,178,18677,149,15,4750,1268,12269,206,8,12,8443,19
arm_l,179,25356,149,15,4794,9962,10202,214,8,12,6983,16
arm_l,180,19048,149,15,4875,1523,12269,197,8,12,8443,19
arm_l,181,21515,149,15,4855,3986,12269,221,8,12,8443,19
arm_l,182,21129,149,15,4807,3666,12269,203,8,12,8443,19
arm_l,183,18498,149,15,5012,830,12269,203,8,12,8443,19
arm_l,184,34875,149,15,4687,19027,10768,209,8,12,7553,16
arm_l,185,20947,149,15,4653,3647,12269,194,8,12,8443,19
arm_l,186,19548,149,15,4750,2139,12269,206,8,12,8443,19
arm_l,187,25943,149,15,4794,10549,10202,214,8,12,6983,16
arm_l,188,20077,149,15,4875,2552,12269,197,8,12,8443,19
arm_l,189,23492,149,15,4855,5963,12269,221,8,12,8443,19
arm_l,190,22946,149,15,4807,5483,12269,203,8,12,8443,19
arm_l,191,18897,149,15,5012,1229,12269,203,8,12,8443,19
arm_l,192,35746,149,15,4687,19898,10768,209,8,12,7553,16
arm_l,193,22495,149,15,4653,5195,12269,194,8,12,8443,19
arm_l,194,20419,149,15,4750,3010,12269,206,8,12,8443,19
arm_l,195,26530,149,15,4794,11136,10202,214,8,12,6983,16
arm_l,196,21106,149,15,4875,3581,12269,197,8,12,8443,19
arm_l,197,25469,149,15,4855,7940,12269,221,8,12,8443,19
arm_l,198,24763,149,15,4807,7300,12269,203,8,12,8443,19
arm_l,199,19296,149,15,5012,1628,12269,203,8,12,8443,19
arm_l,200,36617,149,15,4687,20769,10768,209,8,12,7553,16
arm_l,201,24043,149,15,4653,6743,12269,194,8,12,8443,19
arm_l,202,21290,149,15,4750,3881,12269,206,8,12,8443,19
arm_l,203,17720,149,15,4794,1329,11188,225,8,12,7750,17
arm_l,204,23996,149,15,4677,4610,14328,197,8,12,9873,22
arm_l,205,28995,149,15,4855,9330,14405,221,8,12,9950,22
arm_l,206,27770,149,15,4807,8530,14046,203,8,12,9591,22
arm_l,207,23426,149,15,5012,2416,15611,203,8,12,10738,24
arm_l,208,40336,149,15,4687,21640,13616,209,8,12,9565,20
arm_l,209,27650,149,15,4653,8291,14328,194,8,12,9873,22
arm_l,210,25009,149,15,4750,4752,15117,206,8,12,10455,23
arm_l,211,29747,149,15,4794,11723,12832,214,8,12,8773,20
arm_l,212,25223,149,15,4875,5639,14328,197,8,12,9873,22
arm_l,213,30972,149,15,4855,11307,14405,221,8,12,9950,22
arm_l,214,29587,149,15,4807,10347,14046,203,8,12,9591,22
arm_l,215,23825,149,15,5012,2815,15611,203,8,12,10738,24
arm_l,216,41207,149,15,4687,22511,13616,209,8,12,9565,20
arm_l,217,29198,149,15,4653,9839,14328,194,8,12,9873,22
arm_l,218,25880,149,15,4750,5623,15117,206,8,12,10455,23
arm_l,219,30334,149,15,4794,12310,12832,214,8,12,8773,20
arm_l,220,26252,149,15,4875,6668,14328,197,8,12,9873,22
arm_l,221,32949,149,15,4855,13284,14405,221,8,12,9950,22
arm_l,222,31404,149,15,4807,12164,14046,203,8,12,9591,22
arm_l,223,24224,149,15,5012,3214,15611,203,8,12,10738,24
arm_l,224,42078,149,15,4687,23382,13616,209,8,12,9565,20
arm_l,225,30746,149,15,4653,11387,14328,194,8,12,9873,22
arm_l,226,26751,149,15,4750,6494,15117,206,8,12,10455,23
arm_l,227,30921,149,15,4794,12897,12832,214,8,12,8773,20
arm_l,228,27281,149,15,4875,7697,14328,197,8,12,9873,22
arm_l,229,34926,149,15,4855,15261,14405,221,8,12,9950,22
arm_l,230,33221,149,15,4807,13981,14046,203,8,12,9591,22
arm_l,231,24623,149,15,5012,3613,15611,203,8,12,10738,24
arm_l,232,42949,149,15,4687,24253,13616,209,8,12,9565,20
arm_l,233,32294,149,15,4653,12935,14328,194,8,12,9873,22
arm_l,234,27622,149,15,4750,7365,15117,206,8,12,10455,23
arm_l,235,31508,149,15,4794,13484,12832,214,8,12,8773,20
arm_l,236,28310,149,15,4875,8726,14328,197,8,12,9873,22
arm_l,237,36903,149,15,4855,17238,14405,221,8,12,9950,22
arm_l,238,21432,149,15,4807,2123,14125,193,8,12,9640,22
arm_l,239,28191,149,15,4847,4012,18945,203,8,12,13033,29
arm_l,240,48391,149,15,4687,25124,18187,209,8,12,12719,27
arm_l,241,37507,149,15,4653,15042,17434,194,8,12,11968,27
arm_l,242,33064,149,15,4750,8236,19688,206,8,12,13609,30
arm_l,243,36444,149,15,4794,14071,17181,214,8,12,11705,27
arm_l,244,33117,149,15,4875,9755,18106,197,8,12,12445,28
arm_l,245,42739,149,15,4855,19215,18264,221,8,12,12599,28
arm_l,246,25936,149,15,4807,16,20672,257,8,12,14175,32
arm_l,247,28247,149,15,4715,16,23105,227,8,12,15828,36
arm_l,248,28900,149,15,4847,16,23645,208,8,12,16173,37
arm_l,249,33638,149,15,5022,4581,23645,206,8,12,16173,37
arm_l,250,28583,149,15,4743,836,22617,203,8,12,15533,35
arm_l,251,29146,149,15,4754,1407,22603,198,8,12,15521,35
arm_l,252,28768,149,15,4759,16,23645,164,8,12,16173,37
arm_l,253,34617,149,15,4621,7418,22183,211,8,12,15324,34
arm_l,254,29267,149,15,4650,591,23645,197,8,12,16173,37
arm_l,255,31034,149,15,4778,3682,22183,207,8,12,15324,34
arm_l,256,39870,149,15,4807,15217,19454,208,8,12,13198,31
arm_l,257,29365,149,15,4821,522,23645,193,8,12,16173,37
arm_l,258,30375,149,15,4876,1443,23645,227,8,12,16173,37
arm_l,259,30140,149,15,4847,1256,23645,208,8,12,16173,37
arm_l,260,35142,149,15,5022,6085,23645,206,8,12,16173,37
arm_l,261,36150,149,15,4743,8829,22183,211,8,12,15324,34
arm_l,262,30316,149,15,4650,1640,23645,197,8,12,16173,37
arm_l,263,31553,149,15,4778,4201,22183,207,8,12,15324,34
arm_l,264,40962,149,15,4807,16309,19454,208,8,12,13198,31
arm_l,265,30443,149,15,4821,1600,23645,193,8,12,16173,37
arm_l,266,31786,149,15,4876,2854,23645,227,8,12,16173,37
arm_l,267,31364,149,15,4847,2480,23645,208,8,12,16173,37
arm_l,268,36646,149,15,5022,7589,23645,206,8,12,16173,37
arm_l,269,37561,149,15,4743,10240,22183,211,8,12,15324,34
arm_l,270,31365,149,15,4650,2689,23645,197,8,12,16173,37
arm_l,271,32072,149,15,4778,4720,22183,207,8,12,15324,34
arm_l,272,42054,149,15,4807,17401,19454,208,8,12,13198,31
arm_l,273,31521,149,15,4821,2678,23645,193,8,12,16173,37
arm_l,274,33197,149,15,4876,4265,23645,227,8,12,16173,37
arm_l,275,32588,149,15,4847,3704,23645,208,8,12,16173,37
arm_l,276,38150,149,15,5022,9093,23645,206,8,12,16173,37
arm_l,277,38972,149,15,4743,11651,22183,211,8,12,15324,34
arm_l,278,32414,149,15,4650,3738,23645,197,8,12,16173,37
arm_l,279,32591,149,15,4778,5239,22183,207,8,12,15324,34
arm_l,280,43146,149,15,4807,18493,19454,208,8,12,13198,31
arm_l,281,32599,149,15,4821,3756,23645,193,8,12,16173,37
arm_l,282,34608,149,15,4876,5676,23645,227,8,12,16173,37
arm_l,283,33812,149,15,4847,4928,23645,208,8,12,16173,37
arm_l,284,39654,149,15,5022,10597,23645,206,8,12,16173,37
arm_l,285,40383,149,15,4743,13062,22183,211,8,12,15324,34
arm_l,286,33463,149,15,4650,4787,23645,197,8,12,16173,37
arm_l,287,33110,149,15,4778,5758,22183,207,8,12,15324,34
arm_l,288,28929,149,15,4807,2176,21522,240,8,12,14828,33
arm_l,289,36848,149,15,4713,4834,26924,193,8,12,18417,42
arm_l,290,40400,149,15,4876,7087,28026,227,8,12,19149,44
arm_l,291,39733,149,15,4847,6152,28342,208,8,12,19254,45
arm_l,292,45917,149,15,5022,12526,27979,206,8,12,19086,44
arm_l,293,46175,149,15,4743,14473,26564,211,8,12,18300,41
arm_l,294,39271,149,15,4650,6261,27979,197,8,12,19086,44
arm_l,295,39808,149,15,4778,6277,28362,207,8,12,19465,44
arm_l,296,49630,149,15,4807,20144,24287,208,8,12,16411,39
arm_l,297,39602,149,15,4821,5912,28492,193,8,12,19400,45
arm_l,298,41811,149,15,4876,8498,28026,227,8,12,19149,44
arm_l,299,40957,149,15,4847,7376,28342,208,8,12,19254,45
arm_l,300,47421,149,15,5022,14030,27979,206,8,12,19086,44
arm_l,301,47586,149,15,4743,15884,26564,211,8,12,18300,41
arm_l,302,40320,149,15,4650,7310,27979,197,8,12,19086,44
arm_l,303,40327,149,15,4778,6796,28362,207,8,12,19465,44
arm_l,304,50722,149,15,4807,21236,24287,208,8,12,16411,39
arm_l,305,40680,149,15,4821,6990,28492,193,8,12,19400,45
arm_l,306,43222,149,15,4876,9909,28026,227,8,12,19149,44
arm_l,307,42181,149,15,4847,8600,28342,208,8,12,19254,45
arm_l,308,48925,149,15,5022,15534,27979,206,8,12,19086,44
arm_l,309,48997,149,15,4743,17295,26564,211,8,12,18300,41
arm_l,310,41369,149,15,4650,8359,27979,197,8,12,19086,44
arm_l,311,40846,149,15,4778,7315,28362,207,8,12,19465,44
arm_l,312,51814,149,15,4807,22328,24287,208,8,12,16411,39
arm_l,313,41758,149,15,4821,8068,28492,193,8,12,19400,45
arm_l,314,44633,149,15,4876,11320,28026,227,8,12,19149,44
arm_l,315,43405,149,15,4847,9824,28342,208,8,12,19254,45
arm_l,316,50429,149,15,5022,17038,27979,206,8,12,19086,44
arm_l,317,50408,149,15,4743,18706,26564,211,8,12,18300,41
arm_l,318,42418,149,15,4650,9408,27979,197,8,12,19086,44
arm_l,319,41365,149,15,4778,7834,28362,207,8,12,19465,44
arm_l,320,52906,149,15,4807,23420,24287,208,8,12,16411,39
arm_l,321,42836,149,15,4821,9146,28492,193,8,12,19400,45
arm_l,322,46044,149,15,4876,12731,28026,227,8,12,19149,44
arm_l,323,34285,149,15,4847,3565,25502,187,8,12,17355,40
arm_l,324,54558,149,15,4926,18542,30700,206,8,12,20975,48
arm_l,325,54804,149,15,4743,20117,29549,211,8,12,20465,45
arm_l,326,46939,149,15,4650,10457,31451,197,8,12,21531,49
arm_l,327,46659,149,15,4778,8353,33137,207,8,12,22795,51
arm_l,328,57427,149,15,4807,24512,27716,208,8,12,18813,44
arm_l,329,47357,149,15,4821,10224,31935,193,8,12,21816,50
arm_l,330,39853,149,15,4876,459,34059,275,8,12,23299,53
arm_l,331,48404,149,15,4750,6220,37024,226,8,12,25289,58
arm_l,332,42923,149,15,4911,16,37599,213,8,12,25669,59
arm_l,333,42965,149,15,4963,16,37599,203,8,12,25669,59
arm_l,334,52643,149,15,4792,14267,33183,217,8,12,23090,50
arm_l,335,46331,149,15,4674,5538,35738,197,8,12,24419,56
arm_l,336,42926,149,15,4920,16,37599,207,8,12,25669,59
arm_l,337,56165,149,15,4858,19455,31446,222,8,12,21341,50
arm_l,338,43287,149,15,4885,418,37599,201,8,12,25669,59
arm_l,339,51502,149,15,4917,8576,37599,226,8,12,25669,59
arm_l,340,44118,149,15,4911,1211,37599,213,8,12,25669,59
arm_l,341,43485,149,15,4963,536,37599,203,8,12,25669,59
arm_l,342,53658,149,15,4792,15282,33183,217,8,12,23090,50
arm_l,343,47586,149,15,4674,6793,35738,197,8,12,24419,56
arm_l,344,43512,149,15,4920,602,37599,207,8,12,25669,59
arm_l,345,56762,149,15,4858,20052,31446,222,8,12,21341,50
arm_l,346,44302,149,15,4885,1433,37599,201,8,12,25669,59
arm_l,347,54487,149,15,4917,11561,37599,226,8,12,25669,59
arm_l,348,45297,149,15,4911,2390,37599,213,8,12,25669,59
arm_l,349,43989,149,15,4963,1040,37599,203,8,12,25669,59
arm_l,350,54673,149,15,4792,16297,33183,217,8,12,23090,50
arm_l,351,48841,149,15,4674,8048,35738,197,8,12,24419,56
arm_l,352,44082,149,15,4920,1172,37599,207,8,12,25669,59
arm_l,353,57359,149,15,4858,20649,31446,222,8,12,21341,50
arm_l,354,45317,149,15,4885,2448,37599,201,8,12,25669,59
arm_l,355,57472,149,15,4917,14546,37599,226,8,12,25669,59
arm_l,356,46476,149,15,4911,3569,37599,213,8,12,25669,59
arm_l,357,44493,149,15,4963,1544,37599,203,8,12,25669,59
arm_l,358,55688,149,15,4792,17312,33183,217,8,12,23090,50
arm_l,359,50096,149,15,4674,9303,35738,197,8,12,24419,56
arm_l,360,44652,149,15,4920,1742,37599,207,8,12,25669,59
arm_l,361,57956,149,15,4858,21246,31446,222,8,12,21341,50
arm_l,362,46332,149,15,4885,3463,37599,201,8,12,25669,59
arm_l,363,60457,149,15,4917,17531,37599,226,8,12,25669,59
arm_l,364,47655,149,15,4911,4748,37599,213,8,12,25669,59
arm_l,365,44997,149,15,4963,2048,37599,203,8,12,25669,59
arm_l,366,56703,149,15,4792,18327,33183,217,8,12,23090,50
arm_l,367,51351,149,15,4674,10558,35738,197,8,12,24419,56
arm_l,368,45222,149,15,4920,2312,37599,207,8,12,25669,59
arm_l,369,42356,149,15,4858,2165,34903,246,8,12,23946,54
arm_l,370,48745,149,15,4718,4478,39164,201,8,12,26812,61
arm_l,371,64707,149,15,4917,19919,39461,226,8,12,26914,62
arm_l,372,51407,149,15,4911,5927,40172,213,8,12,27418,63
arm_l,373,48878,149,15,4963,2552,40976,203,8,12,28011,64
arm_l,374,59826,149,15,4792,19342,35291,217,8,12,24581,53
arm_l,375,55222,149,15,4674,11813,38354,197,8,12,26211,60
arm_l,376,49056,149,15,4920,3312,40433,207,8,12,27663,63
arm_l,377,61930,149,15,4858,21843,34823,222,8,12,23683,55
arm_l,378,50470,149,15,4885,5493,39707,201,8,12,27160,62
arm_l,379,67692,149,15,4917,22904,39461,226,8,12,26914,62
arm_l,380,52586,149,15,4911,7106,40172,213,8,12,27418,63
arm_l,381,49382,149,15,4963,3056,40976,203,8,12,28011,64
arm_l,382,60841,149,15,4792,20357,35291,217,8,12,24581,53
arm_l,383,56477,149,15,4674,13068,38354,197,8,12,26211,60
arm_l,384,49626,149,15,4920,3882,40433,207,8,12,27663,63
arm_l,385,62527,149,15,4858,22440,34823,222,8,12,23683,55
arm_l,386,51485,149,15,4885,6508,39707,201,8,12,27160,62
arm_l,387,70677,149,15,4917,25889,39461,226,8,12,26914,62
arm_l,388,53765,149,15,4911,8285,40172,213,8,12,27418,63
arm_l,389,49886,149,15,4963,3560,40976,203,8,12,28011,64
arm_l,390,61856,149,15,4792,21372,35291,217,8,12,24581,53
arm_l,391,57732,149,15,4674,14323,38354,197,8,12,26211,60
arm_l,392,50196,149,15,4920,4452,40433,207,8,12,27663,63
arm_l,393,63124,149,15,4858,23037,34823,222,8,12,23683,55
arm_l,394,52500,149,15,4885,7523,39707,201,8,12,27160,62
arm_l,395,73662,149,15,4917,28874,39461,226,8,12,26914,62
arm_l,396,54944,149,15,4911,9464,40172,213,8,12,27418,63
arm_l,397,50390,149,15,4963,4064,40976,203,8,12,28011,64
arm_l,398,62871,149,15,4792,22387,35291,217,8,12,24581,53
arm_l,399,58987,149,15,4674,15578,38354,197,8,12,26211,60
arm_l,400,50766,149,15,4920,5022,40433,207,8,12,27663,63
arm_l,401,63721,149,15,4858,23634,34823,222,8,12,23683,55
arm_l,402,53515,149,15,4885,8538,39707,201,8,12,27160,62
arm_l,403,76647,149,15,4917,31859,39461,226,8,12,26914,62
arm_l,404,45395,149,15,4911,4214,35892,194,8,12,24485,56
arm_l,405,53720,149,15,4963,4568,43802,203,8,12,30005,68
arm_l,406,66231,149,15,4792,23402,37636,217,8,12,26317,56
arm_l,407,63099,149,15,4674,16833,41211,197,8,12,28248,64
arm_l,408,54950,149,15,4920,5592,44047,207,8,12,30250,68
arm_l,409,67932,149,15,4858,24231,38437,222,8,12,26270,60
arm_l,410,56875,149,15,4885,9553,42052,201,8,12,28896,65
arm_l,411,81618,149,15,4917,35519,40772,226,8,12,27811,64
arm_l,412,49974,149,15,4911,16,44590,273,8,12,30598,69
arm_l,413,51742,149,15,4741,16,46576,225,8,12,31999,72
arm_l,414,52401,149,15,4844,16,47142,215,8,12,32370,73
arm_l,415,52624,149,15,5070,16,47142,212,8,12,32370,73
