turn,episode_id,episode_turn,topic,novelty,repetition,association,emotional,weighted_score,promoted,trigger_type,triggered_filter
61,5cdfdff8-5f6c-403d-879c-443decb5673d,32,topic_2,0.8875792920589447,0.2,0.1124207079410553,0.0,0.39313689380884165,False,,
61,1f0badaa-fb70-4906-8176-a36fe341e675,33,topic_2,0.8662476241588593,0.2,0.13375237584114075,0.1,0.4049371436238289,False,,
61,8d056237-f774-43c1-961f-13996b9afba6,34,topic_2,0.8418469727039337,0.2,0.15815302729606628,0.0,0.38627704590559003,False,,
61,8aa8c6fe-bf7b-4cd2-a3d2-0f1371314975,35,topic_2,0.7733327746391296,0.2,0.22666722536087036,0.01,0.3774999161958694,False,,
61,56ad69b9-efbe-4779-952a-d503de5c9688,36,topic_2,0.8169974833726883,0.2,0.1830025166273117,0.1,0.3975496225059032,False,,
61,781b3620-e19c-4682-b5cb-a580010c0492,37,topic_2,0.853356122970581,0.2,0.14664387702941895,0.0,0.38800341844558717,False,,
61,6283d99b-e72e-49c7-bb23-a3ef21f7a8e3,38,topic_2,0.8156202286481857,0.2,0.18437977135181427,0.1,0.39734303429722784,False,,
61,016317e1-652b-43ba-b909-4a4a4d987370,39,topic_2,0.8759951144456863,0.2,0.12400488555431366,0.05,0.3988992671668529,False,,
61,790e93ec-3586-4f2c-8e2e-b8f12b599f20,40,topic_2,0.8135715574026108,0.2,0.18642844259738922,0.1,0.3970357336103916,False,,
61,8d3f2322-ebbc-48da-92d4-1204f87ec7f2,41,topic_2,0.8593570291996002,0.2,0.14064297080039978,0.05,0.39640355437994,False,,
61,51da45fc-88b4-4ac9-a784-e1f032c7e147,42,topic_2,0.9581790119409561,0.2,0.041820988059043884,0.05,0.41122685179114343,True,all_or_nothing,novelty
61,b18a67be-cd2a-481a-b05b-66c829cb62dd,43,topic_2,0.8549121767282486,0.2,0.1450878232717514,0.1,0.4032368265092373,False,,
61,450c5e11-6127-4290-9c91-84a9896db10b,44,topic_2,0.905836932361126,0.2,0.09416306763887405,0.1,0.4108755398541689,True,all_or_nothing,novelty
61,606815df-672d-4192-adbe-c9f6c4e24e31,45,topic_2,0.7839464098215103,0.2,0.21605359017848969,0.0,0.3775919614732265,False,,
61,3255f813-148c-4904-af1a-19c91531bb8c,46,topic_2,0.849666565656662,0.2,0.150333434343338,0.0,0.38744998484849924,False,,
61,42474587-e109-42a1-976d-5f2f389f2819,47,topic_2,0.6685366332530975,0.2,0.33146336674690247,0.1,0.3752804949879646,False,,
61,458cb593-832f-4f25-8705-d284a06215a7,48,topic_2,0.8101862370967865,0.2,0.1898137629032135,0.0,0.3815279355645179,False,,
61,24c361ec-85a8-4a2e-9019-85a5805d7b85,49,topic_2,0.6785966157913208,0.2,0.3214033842086792,0.0,0.3617894923686981,False,,
61,342b4acd-d5fb-44bb-b9dd-a523a0269364,50,topic_2,0.819364458322525,0.2,0.18063554167747498,0.01,0.3844046687483787,False,,
61,2d394039-17cf-4cc4-9460-2a7c6f8c87f9,51,topic_2,0.76956507563591,0.2,0.23043492436408997,0.1,0.39043476134538646,False,,
61,7e4df622-a8d5-4d07-a8e2-180df0430612,52,topic_2,0.8652019500732422,0.2,0.1347980499267578,0.0,0.38978029251098634,False,,
61,e121f21c-b521-460d-9001-317089eff26d,53,topic_2,0.7752554714679718,0.2,0.2247445285320282,0.1,0.39128832072019576,False,,
61,928ce920-35da-4e14-ba73-1bd5b0c7cae1,54,topic_2,0.8162224292755127,0.2,0.1837775707244873,0.0,0.3824333643913269,False,,
61,009f3a14-4d75-4b60-8a01-577e876c60bb,55,topic_2,0.8565796315670013,1.0,0.14342036843299866,0.1,0.6434869447350502,True,all_or_nothing,repetition
61,fdca3710-bd87-4d27-8bd1-d4fc1c89d168,56,topic_2,0.8268107324838638,0.2,0.17318926751613617,0.0,0.38402160987257955,False,,
61,db26b5ec-c1bc-48d5-ad27-f5fe177a9cb4,57,topic_2,0.8211615979671478,0.2,0.17883840203285217,0.0,0.38317423969507214,False,,
61,6d13805a-06bf-498c-b886-0b4b6e673de5,58,topic_2,0.9459802880883217,0.2,0.054019711911678314,0.1,0.4168970432132483,True,all_or_nothing,novelty
61,00a14d10-9a62-411a-a26b-23d143b0c295,59,topic_2,0.8898363560438156,0.2,0.11016364395618439,0.0,0.3934754534065723,False,,
61,9765305c-f645-4cd4-90cb-0b4051b71892,60,topic_2,0.8575423061847687,0.2,0.14245769381523132,0.1,0.4036313459277153,False,,
91,25b9f964-c811-48ad-aedf-db8551c09ce4,61,topic_3,0.8441649973392487,0.2,0.15583500266075134,0.05,0.3941247496008873,False,,
91,27e177a9-07de-4e62-a93d-f09a112eaa66,62,topic_3,0.876727819442749,0.2,0.12327218055725098,0.1,0.4065091729164123,False,,
91,d4dfc82d-8360-46b8-b705-711a6f67a479,63,topic_3,0.7839826345443726,0.2,0.21601736545562744,0.1,0.3925973951816559,False,,
91,4ebb51d7-eb3a-42ae-b220-b6510c5ed24d,64,topic_3,0.8915803730487823,0.2,0.10841962695121765,0.1,0.40873705595731735,False,,
91,133eec64-7866-4b06-a887-69681c4583dc,65,topic_3,0.6853386759757996,0.2,0.31466132402420044,0.05,0.3703008013963699,False,,
91,fa23175d-74db-4c8f-a6ac-53702333edf7,66,topic_3,0.7064484059810638,0.2,0.29355159401893616,0.1,0.38096726089715954,False,,
91,f1cd0f6a-a913-4cc2-a978-70002dcd469f,67,topic_3,0.8660618364810944,0.2,0.13393816351890564,0.0,0.38990927547216414,False,,
91,b5be15f5-aacb-45c2-b5d6-212873d367b4,68,topic_3,0.8109247386455536,0.2,0.1890752613544464,0.1,0.396638710796833,False,,
91,e43500c0-3872-44a4-b251-872d3f0a3b9b,69,topic_3,0.7300471365451813,0.2,0.2699528634548187,0.1,0.3845070704817772,False,,
91,59db3132-7e96-4319-a734-8c47b0133b0a,70,topic_3,0.7520128637552261,0.2,0.24798713624477386,0.05,0.3803019295632839,False,,
91,206b4749-f339-4d51-9fbc-2ad9ac94dee3,71,topic_3,0.8095631748437881,0.2,0.19043682515621185,0.1,0.39643447622656824,False,,
91,bfb0993b-ef1d-434a-bbd8-1d7fd29306e4,72,topic_3,0.8683260679244995,0.2,0.1316739320755005,0.0,0.3902489101886749,False,,
91,4fad8b88-6dea-47fd-9683-966f520b35df,73,topic_3,0.8008396923542023,0.2,0.19916030764579773,0.0,0.3801259538531303,False,,
91,3567f1d7-900c-4c07-af02-f071ec1a9231,74,topic_3,0.8140456676483154,0.4,0.18595433235168457,0.1,0.45710685014724733,False,,
91,70d9498d-1ce3-4b86-9e2c-95d32b5a7d2e,75,topic_3,0.8732314258813858,0.2,0.1267685741186142,0.1,0.40598471388220786,False,,
91,702eca56-1328-4b45-b7a1-79cc7db9b3da,76,topic_3,0.8178891539573669,0.2,0.18211084604263306,0.0,0.382683373093605,False,,
91,c684cf5a-e8bf-4b56-973b-8b500cf9fc76,77,topic_3,0.8932685777544975,0.2,0.10673142224550247,0.0,0.3939902866631746,False,,
91,0c6e5fc1-64b3-4949-939a-99369bc020cf,78,topic_3,0.8349642902612686,0.2,0.16503570973873138,0.1,0.4002446435391903,False,,
91,76378b76-809e-40a5-b11b-d83d2238ebd1,79,topic_3,0.8258744180202484,0.2,0.1741255819797516,0.1,0.39888116270303725,False,,
91,b3cf2c04-33f5-49e7-835e-05376e80cdd7,80,topic_3,0.7477957010269165,0.2,0.2522042989730835,0.1,0.3871693551540375,False,,
91,51b9509c-a60f-438c-835d-3b85e30b7ec6,81,topic_3,0.9146965146064758,0.2,0.08530348539352417,0.05,0.40470447719097136,True,all_or_nothing,novelty
91,67bd1a9f-5d70-48ec-b515-a05a06bcf21d,82,topic_3,0.8608302623033524,0.2,0.13916973769664764,0.1,0.40412453934550285,False,,
91,763ed5dc-6b9c-4d48-b953-f5d5ea36fa92,83,topic_3,0.8529204726219177,0.2,0.14707952737808228,0.1,0.40293807089328765,False,,
91,1740a261-5206-4f68-a0dd-57b526666c5a,84,topic_3,0.8354233652353287,0.2,0.16457663476467133,0.0,0.38531350478529924,False,,
91,19dfe9d3-1449-45ce-b66e-10644a8f8541,85,topic_3,0.8353965133428574,0.2,0.16460348665714264,0.1,0.4003094770014286,False,,
91,5beb5911-4392-4e67-97e2-663c92d48200,86,topic_3,0.7499965727329254,0.2,0.2500034272670746,0.1,0.3874994859099388,False,,
91,f5a38830-6a09-4129-89f9-cb3d2e0bc197,87,topic_3,0.8269585967063904,0.2,0.17304140329360962,0.1,0.39904378950595853,False,,
91,41d89ae5-fe3d-4bbe-842f-5c7fb700b850,88,topic_3,0.8579709082841873,0.2,0.14202909171581268,0.1,0.40369563624262805,False,,
91,ccd0b70b-ecb8-4bb3-9f76-369fd308673c,89,topic_3,0.7868908047676086,0.2,0.21310919523239136,0.1,0.39303362071514125,False,,
91,08ae48f9-e3aa-4980-ab67-2494558d9b91,90,topic_3,0.7955147624015808,0.2,0.2044852375984192,0.0,0.3793272143602371,False,,
