query_id,query_class,required_domains,arm,fact_id,packed_available,match_unit_ids
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_art_gold_leaf,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_monetary_quantitative_easing,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_marine_gelatinous_zooplankton,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_structural_orthotropic_deck,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_art_gold_leaf,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_monetary_quantitative_easing,False,[]
h121_e03,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_marine_gelatinous_zooplankton,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_structural_wind_tunnel,True,"[""ad341f74-2541-4269-9be4-494ec86f3454""]"
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_art_xray_radiography,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_monetary_stress_testing,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",C0,f121_marine_rov,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_structural_wind_tunnel,True,"[""span:ad341f74-2541-4269-9be4-494ec86f3454:user:6:226""]"
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_art_xray_radiography,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_monetary_stress_testing,False,[]
h121_e04,enumeration,"[""structural"", ""art"", ""monetary"", ""marine""]",T1,f121_marine_rov,False,[]
