turn_number,contains_rule_detected,rule_summary,parse_error,ground_truth,true_positive,false_positive
72,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
73,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
74,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
75,False,,,,,
76,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
77,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
78,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
79,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
80,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
81,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
82,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
83,False,,,,,
84,False,,,,,
85,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
86,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
87,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
88,False,,,,,
89,False,,,,,
90,False,,,,,
91,False,,,,,
92,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
93,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
94,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
95,False,,,,,
96,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
97,False,,,,,
98,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
99,False,,,,,
100,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
101,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
102,False,,,,,
103,False,,,,,
104,False,,,,,
105,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
106,False,,,,,
107,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
108,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
109,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
110,False,,,,,
111,False,,,,,
112,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
113,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
114,False,,,,,
115,False,,,,,
116,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
117,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
118,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
119,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
120,False,,,,,
121,False,,,,,
122,False,,,,,
123,False,,,,,
124,False,,,,,
125,False,,,,,
126,False,,,,,
127,False,,,,,
128,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
129,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
130,False,,,,,
131,False,,,,,
132,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
133,False,,,,,
134,False,,,,,
135,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
136,False,,,,,
137,False,,,,,
138,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
139,False,,,,,
140,False,,,,,
141,False,,,,,
142,False,,,,,
143,False,,,,,
144,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
145,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
146,False,,,,,
147,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
148,False,,,,,
149,False,,,,,
150,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
151,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
152,False,,,,,
153,False,,,,,
154,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
155,False,,,,,
156,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
157,False,,,,,
158,False,,,,,
159,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
160,False,,,,,
161,False,,,,,
162,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
163,True,Restrict responses to clinical epidemiology topics and prohibit connections to other subjects.,,,,
164,False,,,,,
165,False,,,,,
166,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
167,False,,,,,
168,False,,,,,
169,False,,,,,
170,False,,,,,
171,False,,,,,
172,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
173,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
174,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
175,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
176,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
177,False,,,,,
178,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
179,False,,,,,
180,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
181,False,,,,,
182,False,,,,,
183,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
184,False,,,,,
185,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
186,False,,,,,
187,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
188,False,,,,,
189,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
190,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
191,False,,,,,
192,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
193,False,,,,,
194,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
195,False,,,,,
196,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
197,False,,,,,
198,False,,,,,
199,True,Restrict responses to archival history topics and prohibit connections to other subjects.,,,,
200,False,,,,,
