episode_id,source_turn,element_chars,additive_chars,fact_count,domains,items
85b13695-afff-4706-9112-22c4c041b269,58,3967,3968,3,art,The Annunciation of Forli|Melozzo da Forli|1483
0bf1f893-db4c-43d4-a49f-638299e19b0a,59,2291,2292,3,art,The Annunciation of Forli|Melozzo da Forli|1483
412b14b3-22dc-450a-823a-96078c7cb063,60,3323,3324,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,4299,4300,2,monetary,Taylor Rule|Federal Reserve
0459c215-b4db-46c5-a071-14ae528b58e4,62,4348,4349,1,monetary,Federal Reserve
4e4acf64-6430-4ea0-a316-49eaa0a774fc,63,5007,5008,1,monetary,Federal Reserve
670ec4a0-a435-4fc7-a7c7-1b2f494d4588,64,3906,3907,1,monetary,Federal Reserve
c3cfc044-0c32-49c7-90cb-d1ee59561c9b,65,3590,3591,4,monetary,Taylor Rule|Federal Reserve|Dr. Priya Mehta|2.3%
cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,4277,4278,0,,
217374b8-4b90-4b31-aa4c-d65066b26200,67,3069,3070,0,,
3392af3a-e027-4205-8003-02085f8ba527,68,4615,4616,1,monetary,Federal Reserve
02fa4616-abd4-4d19-8912-e45511987490,69,6754,6755,1,monetary,Federal Reserve
5f6ecd9f-bf3e-4dac-92be-96123b7e05d1,70,4660,4661,0,,
d292f483-31a5-4887-bbdb-7bf15a9460e5,71,4205,4206,0,,
cbd2d2e1-b37b-449d-996e-9e90aa473b6a,72,4867,4868,1,monetary,Taylor Rule
5505312f-3f23-458c-a3c1-acac220abd08,73,3660,3661,1,monetary,Federal Reserve
11debcd5-f3de-42df-8927-ccbc7d234f43,74,4978,4979,0,,
d1c362a3-c7de-49e5-83db-e324afc858e6,75,5192,5193,0,,
9636b90b-68cd-48a5-91d1-268468c5a0f0,76,4641,4642,0,,
c935ae96-f255-40a3-afcd-094159f48b91,77,5093,5094,1,monetary,Federal Reserve
1ec94493-58ad-4f1a-96e5-caac118e854f,78,4169,4170,0,,
e3775be9-d8db-4286-8e1e-bd4ee9f57ff8,79,4997,4998,1,monetary,Taylor Rule
2b6a0006-d982-475d-abb0-c419213c2e61,80,4501,4502,1,monetary,Taylor Rule
09ed3945-5d08-4255-8276-786f2decfccb,81,4865,4866,1,monetary,Federal Reserve
e4a9993f-3117-44c3-b997-662a8cf3f188,82,5345,5346,0,,
fd7ed8c4-fcff-4d37-9583-d2e7ec97da73,83,5579,5580,0,,
48b41502-2e76-4bfd-9d96-be8af9312a55,84,5472,5473,1,monetary,Federal Reserve
7651c072-ce22-4c12-923f-84bf7c817235,85,3835,3836,0,,
ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,4795,4796,1,monetary,Taylor Rule
f096285c-a9c2-498b-8ae7-52db595fa54e,87,4751,4752,0,,
52a69b27-f6ac-43b8-8b89-ecf1859a5e19,88,4628,4629,0,,
c690555c-d66b-41d0-82c2-fb591e4a221f,89,5130,5131,0,,
1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,2861,2862,4,monetary,Taylor Rule|Federal Reserve|Dr. Priya Mehta|2.3%
8dccce8b-66f3-464a-8502-64e5a36ea0dc,91,4545,4546,1,marine,marine snow
a725d025-92cb-4d29-91c9-df82f356974c,92,4406,4407,2,marine,600|marine snow
cbdd42e2-51e4-46a8-abfe-1fe0fb9a0b08,93,4272,4273,0,,
0f222693-1e97-4a1d-8394-07377c752835,94,3307,3308,1,marine,marine snow
c6853501-e40c-4f70-8394-52fb19d8b3cf,95,4108,4109,2,marine,600|marine snow
dc2b025a-0f1e-4344-93bd-a6ab59facd95,96,3787,3788,0,,
cb79542d-7dff-4373-9e3d-3583f87da301,97,5013,5014,0,,
ceb66039-f037-40ff-82e9-95a7b11f951b,98,5428,5429,0,,
af8aeeac-f593-4784-b7a0-eb4907b2a960,99,5173,5174,1,marine,marine snow
66def2b8-90ff-446c-8ad4-1dc9e35820be,100,3684,3685,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
edcb6d0e-5dcb-4556-b43c-8d369bc9766a,101,4039,4040,1,marine,Vampyroteuthis infernalis
0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,3268,3269,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
7ed56c34-ddb9-490d-81b8-87848f88ca14,103,4900,4901,1,marine,Vampyroteuthis infernalis
8961ed05-6fe0-42a1-b5cb-fe6aa8b96aa2,104,4493,4494,3,marine,Vampyroteuthis infernalis|600|marine snow
45729f2e-cd29-4889-9af2-afd6fc5f1625,105,3472,3473,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
31de80d9-8487-4f79-8cb9-23dc4b3574cc,106,4421,4422,3,marine,Vampyroteuthis infernalis|600|marine snow
ed569488-8342-4a97-9c02-9cf487d42f33,107,4371,4372,2,marine,Vampyroteuthis infernalis|marine snow
9fc98cdf-cda0-4683-b78f-90dcf38b895b,108,4151,4152,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
684bcca8-46cd-482a-b56d-f2780d4f7bf2,109,5363,5364,3,marine,Vampyroteuthis infernalis|600|marine snow
70351c1e-c8bb-4a20-8925-559b39e0e936,110,4471,4472,3,marine,Vampyroteuthis infernalis|600|marine snow
5df1f239-5a2d-47b3-ac10-207a349db110,111,4479,4480,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,416,417,3,civil,Halcyon Crossing|847|S460ML
dd904725-094b-4f94-a8fc-ca18668ad246,113,357,358,3,civil,Halcyon Crossing|Dr. Anara Bekova|92.4
8be0f5af-b452-4acd-b3b6-2afef003e03d,114,767,768,0,,
7307e832-370a-43ea-b25b-449f929de49e,115,596,597,1,art,The Annunciation of Forli
4c611a05-6ad0-434a-a188-1cdb941acf58,116,993,994,2,art,The Annunciation of Forli|Melozzo da Forli
c3e4e2fb-c750-4dc8-8c29-a98e0a2f5dd5,117,3486,3487,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
77a1d148-12da-4a70-874d-42e816497c9a,118,772,773,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
34f5bb4c-c590-4d6c-8a11-7d4e2ed134a7,119,2777,2778,1,marine,Vampyroteuthis infernalis
