0.00.084.672 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.134.732 W srv  llama_server: -----------------
0.00.134.737 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.134.737 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.134.738 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.134.738 W srv  llama_server: -----------------
0.00.142.362 I srv    load_model: loading model 'C:\Users\muzaf\.cache\huggingface\hub\models--unsloth--Qwen3.8-27B-GGUF\snapshots\f1bfb127c64f7072bdd2cad55f258b9c8b2910fe\Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.848.505 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.848.517 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.848.531 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.848.536 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.848.541 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.848.558 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.848.563 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.848.567 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.848.572 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.00.848.577 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.848.582 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.848.588 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.848.594 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.848.599 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.848.614 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.335.429 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.06.339.651 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.339.666 I srv  llama_server: model loaded
0.06.339.668 I srv  llama_server: listening on http://127.0.0.1:8097
0.20.914.694 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.03.540.854 I slot print_timing: id  0 | task 84 |       total time =    5193.09 ms / 18164 tokens
2.03.540.855 I slot print_timing: id  0 | task 84 |    graphs reused =         16
2.03.541.035 I slot      release: id  0 | task 84 | stop processing: n_tokens = 18163, truncated = 0
2.03.562.371 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.03.696.109 I slot launch_slot_: id  0 | task 101 | processing task, is_child = 0
2.06.985.632 I slot print_timing: id  0 | task 101 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.29 s / 3735.53 tokens per second
2.07.571.479 I slot print_timing: id  0 | task 101 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.88 s / 3699.28 tokens per second
2.08.166.449 I slot print_timing: id  0 | task 101 | prompt processing, n_tokens =  16384, progress = 0.91, t =   4.47 s / 3665.06 tokens per second
2.08.570.514 I slot print_timing: id  0 | task 101 | prompt processing, n_tokens =  17509, progress = 0.97, t =   4.87 s / 3592.05 tokens per second
2.08.689.492 I slot print_timing: id  0 | task 101 | prompt processing, n_tokens =  18021, progress = 1.00, t =   4.99 s / 3608.99 tokens per second
2.11.787.656 I slot print_timing: id  0 | task 101 | n_decoded =    214, tg =  71.15 t/s, tg_3s =  71.15 t/s
2.12.756.398 I slot print_timing: id  0 | task 101 | prompt eval time =    5083.80 ms / 18025 tokens (    0.28 ms per token,  3545.58 tokens per second)
2.12.756.402 I slot print_timing: id  0 | task 101 |        eval time =    3976.47 ms /   283 tokens (   14.05 ms per token,    71.17 tokens per second)
2.12.756.403 I slot print_timing: id  0 | task 101 |       total time =    9060.27 ms / 18308 tokens
2.12.756.403 I slot print_timing: id  0 | task 101 |    graphs reused =        296
2.12.756.577 I slot      release: id  0 | task 101 | stop processing: n_tokens = 18307, truncated = 0
2.12.775.715 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.12.905.472 I slot launch_slot_: id  0 | task 395 | processing task, is_child = 0
2.16.205.125 I slot print_timing: id  0 | task 395 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.30 s / 3724.06 tokens per second
2.16.813.457 I slot print_timing: id  0 | task 395 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.91 s / 3668.41 tokens per second
2.17.392.905 I slot print_timing: id  0 | task 395 | prompt processing, n_tokens =  16384, progress = 0.91, t =   4.49 s / 3651.10 tokens per second
2.17.788.140 I slot print_timing: id  0 | task 395 | prompt processing, n_tokens =  17496, progress = 0.97, t =   4.88 s / 3583.30 tokens per second
2.17.908.358 I slot print_timing: id  0 | task 395 | prompt processing, n_tokens =  18008, progress = 1.00, t =   5.00 s / 3599.54 tokens per second
2.18.056.531 I slot print_timing: id  0 | task 395 | prompt eval time =    5097.53 ms / 18012 tokens (    0.28 ms per token,  3533.48 tokens per second)
2.18.056.536 I slot print_timing: id  0 | task 395 |        eval time =      53.50 ms /     4 tokens (   13.38 ms per token,    74.76 tokens per second)
2.18.056.537 I slot print_timing: id  0 | task 395 |       total time =    5151.03 ms / 18016 tokens
2.18.056.537 I slot print_timing: id  0 | task 395 |    graphs reused =        298
2.18.056.718 I slot      release: id  0 | task 395 | stop processing: n_tokens = 18015, truncated = 0
2.18.077.757 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.18.078.243 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 300.216 MiB)
2.18.084.912 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1052.426 MiB)
2.18.248.042 I slot launch_slot_: id  0 | task 410 | processing task, is_child = 0
2.21.543.575 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.30 s / 3728.71 tokens per second
2.22.157.016 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =  14336, progress = 0.79, t =   3.91 s / 3667.48 tokens per second
2.22.737.113 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =  16384, progress = 0.90, t =   4.49 s / 3649.77 tokens per second
2.23.158.238 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =  17645, progress = 0.97, t =   4.91 s / 3593.56 tokens per second
2.23.284.012 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =  18157, progress = 1.00, t =   5.04 s / 3605.48 tokens per second
2.23.460.203 I slot print_timing: id  0 | task 410 | prompt eval time =    5132.31 ms / 18161 tokens (    0.28 ms per token,  3538.56 tokens per second)
2.23.460.209 I slot print_timing: id  0 | task 410 |        eval time =      79.83 ms /     6 tokens (   13.30 ms per token,    75.16 tokens per second)
2.23.460.209 I slot print_timing: id  0 | task 410 |       total time =    5212.14 ms / 18167 tokens
2.23.460.210 I slot print_timing: id  0 | task 410 |    graphs reused =        302
2.23.460.385 I slot      release: id  0 | task 410 | stop processing: n_tokens = 18166, truncated = 0
2.23.483.717 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.23.484.193 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1046.712 MiB)
2.23.642.153 I slot launch_slot_: id  0 | task 427 | processing task, is_child = 0
2.26.939.918 I slot print_timing: id  0 | task 427 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.30 s / 3726.19 tokens per second
2.27.532.522 I slot print_timing: id  0 | task 427 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.89 s / 3685.02 tokens per second
2.28.137.188 I slot print_timing: id  0 | task 427 | prompt processing, n_tokens =  16384, progress = 0.91, t =   4.50 s / 3644.93 tokens per second
2.28.528.326 I slot print_timing: id  0 | task 427 | prompt processing, n_tokens =  17501, progress = 0.97, t =   4.89 s / 3581.76 tokens per second
2.28.642.617 I slot print_timing: id  0 | task 427 | prompt processing, n_tokens =  18013, progress = 1.00, t =   5.00 s / 3602.28 tokens per second
2.31.186.757 I slot print_timing: id  0 | task 427 | prompt eval time =    5097.99 ms / 18017 tokens (    0.28 ms per token,  3534.14 tokens per second)
2.31.186.763 I slot print_timing: id  0 | task 427 |        eval time =    2446.59 ms /   173 tokens (   14.14 ms per token,    70.71 tokens per second)
2.31.186.764 I slot print_timing: id  0 | task 427 |       total time =    7544.58 ms / 18190 tokens
2.31.186.765 I slot print_timing: id  0 | task 427 |    graphs reused =        472
2.31.186.959 I slot      release: id  0 | task 427 | stop processing: n_tokens = 18189, truncated = 0
2.31.217.681 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.31.218.574 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1042.726 MiB)
2.31.380.263 I slot launch_slot_: id  0 | task 611 | processing task, is_child = 0
2.34.689.223 I slot print_timing: id  0 | task 611 | prompt processing, n_tokens =  12288, progress = 0.67, t =   3.31 s / 3713.59 tokens per second
2.35.282.737 I slot print_timing: id  0 | task 611 | prompt processing, n_tokens =  14336, progress = 0.79, t =   3.90 s / 3673.59 tokens per second
2.35.892.307 I slot print_timing: id  0 | task 611 | prompt processing, n_tokens =  16384, progress = 0.90, t =   4.51 s / 3631.19 tokens per second
2.36.314.030 I slot print_timing: id  0 | task 611 | prompt processing, n_tokens =  17692, progress = 0.97, t =   4.93 s / 3585.92 tokens per second
2.36.439.930 I slot print_timing: id  0 | task 611 | prompt processing, n_tokens =  18204, progress = 1.00, t =   5.06 s / 3597.88 tokens per second
2.36.574.402 I slot print_timing: id  0 | task 611 | prompt eval time =    5155.80 ms / 18208 tokens (    0.28 ms per token,  3531.56 tokens per second)
2.36.574.407 I slot print_timing: id  0 | task 611 |        eval time =      38.31 ms /     3 tokens (   12.77 ms per token,    78.30 tokens per second)
2.36.574.408 I slot print_timing: id  0 | task 611 |       total time =    5194.11 ms / 18211 tokens
2.36.574.408 I slot print_timing: id  0 | task 611 |    graphs reused =        473
2.36.574.593 I slot      release: id  0 | task 611 | stop processing: n_tokens = 18210, truncated = 0
2.36.602.454 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.36.603.078 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1047.244 MiB)
2.36.758.880 I slot launch_slot_: id  0 | task 625 | processing task, is_child = 0
2.40.065.440 I slot print_timing: id  0 | task 625 | prompt processing, n_tokens =  12288, progress = 0.69, t =   3.31 s / 3716.28 tokens per second
2.40.658.552 I slot print_timing: id  0 | task 625 | prompt processing, n_tokens =  14336, progress = 0.81, t =   3.90 s / 3676.22 tokens per second
2.41.260.537 I slot print_timing: id  0 | task 625 | prompt processing, n_tokens =  16384, progress = 0.92, t =   4.50 s / 3639.56 tokens per second
2.41.542.682 I slot print_timing: id  0 | task 625 | prompt processing, n_tokens =  17209, progress = 0.97, t =   4.78 s / 3597.36 tokens per second
2.41.684.207 I slot print_timing: id  0 | task 625 | prompt processing, n_tokens =  17721, progress = 1.00, t =   4.93 s / 3597.95 tokens per second
2.41.802.224 I slot print_timing: id  0 | task 625 | prompt eval time =    5021.33 ms / 17725 tokens (    0.28 ms per token,  3529.94 tokens per second)
2.41.802.230 I slot print_timing: id  0 | task 625 |        eval time =      21.99 ms /     2 tokens (   11.00 ms per token,    90.95 tokens per second)
2.41.802.230 I slot print_timing: id  0 | task 625 |       total time =    5043.32 ms / 17727 tokens
2.41.802.231 I slot print_timing: id  0 | task 625 |    graphs reused =        473
2.41.802.409 I slot      release: id  0 | task 625 | stop processing: n_tokens = 17726, truncated = 0
2.41.842.922 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.41.843.403 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1052.493 MiB)
2.42.001.828 I slot launch_slot_: id  0 | task 638 | processing task, is_child = 0
2.45.328.876 I slot print_timing: id  0 | task 638 | prompt processing, n_tokens =  12288, progress = 0.69, t =   3.33 s / 3693.40 tokens per second
2.45.907.576 I slot print_timing: id  0 | task 638 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.91 s / 3670.51 tokens per second
2.46.532.382 I slot print_timing: id  0 | task 638 | prompt processing, n_tokens =  16384, progress = 0.92, t =   4.53 s / 3616.36 tokens per second
2.46.815.912 I slot print_timing: id  0 | task 638 | prompt processing, n_tokens =  17386, progress = 0.97, t =   4.81 s / 3611.51 tokens per second
2.46.985.713 I slot print_timing: id  0 | task 638 | prompt processing, n_tokens =  17898, progress = 1.00, t =   4.98 s / 3591.19 tokens per second
2.47.096.687 I slot print_timing: id  0 | task 638 | prompt eval time =    5072.61 ms / 17902 tokens (    0.28 ms per token,  3529.15 tokens per second)
2.47.096.693 I slot print_timing: id  0 | task 638 |        eval time =      22.22 ms /     2 tokens (   11.11 ms per token,    90.01 tokens per second)
2.47.096.694 I slot print_timing: id  0 | task 638 |       total time =    5094.83 ms / 17904 tokens
2.47.096.694 I slot print_timing: id  0 | task 638 |    graphs reused =        473
2.47.096.866 I slot      release: id  0 | task 638 | stop processing: n_tokens = 17903, truncated = 0
2.47.124.282 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.47.124.757 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1052.294 MiB)
2.47.278.572 I slot launch_slot_: id  0 | task 651 | processing task, is_child = 0
2.50.595.438 I slot print_timing: id  0 | task 651 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.32 s / 3704.73 tokens per second
2.51.189.026 I slot print_timing: id  0 | task 651 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.91 s / 3666.09 tokens per second
2.51.798.067 I slot print_timing: id  0 | task 651 | prompt processing, n_tokens =  16384, progress = 0.91, t =   4.52 s / 3625.20 tokens per second
2.52.188.955 I slot print_timing: id  0 | task 651 | prompt processing, n_tokens =  17498, progress = 0.97, t =   4.91 s / 3563.49 tokens per second
2.52.305.084 I slot print_timing: id  0 | task 651 | prompt processing, n_tokens =  18010, progress = 1.00, t =   5.03 s / 3583.02 tokens per second
2.52.454.215 I slot print_timing: id  0 | task 651 | prompt eval time =    5122.10 ms / 18014 tokens (    0.28 ms per token,  3516.91 tokens per second)
2.52.454.221 I slot print_timing: id  0 | task 651 |        eval time =      53.52 ms /     4 tokens (   13.38 ms per token,    74.75 tokens per second)
2.52.454.222 I slot print_timing: id  0 | task 651 |       total time =    5175.62 ms / 18018 tokens
2.52.454.222 I slot print_timing: id  0 | task 651 |    graphs reused =        475
2.52.454.399 I slot      release: id  0 | task 651 | stop processing: n_tokens = 18017, truncated = 0
2.52.473.732 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
2.52.474.674 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1057.078 MiB)
2.52.635.375 I slot launch_slot_: id  0 | task 666 | processing task, is_child = 0
2.55.955.054 I slot print_timing: id  0 | task 666 | prompt processing, n_tokens =  12288, progress = 0.69, t =   3.32 s / 3701.59 tokens per second
2.56.556.045 I slot print_timing: id  0 | task 666 | prompt processing, n_tokens =  14336, progress = 0.80, t =   3.92 s / 3656.54 tokens per second
