configuration_id,arm,lambda,r,k,selected_turn90,q11_fact_count,q11_domain_count,civil,art,monetary,marine,targeted_preserved,targeted_required,serialized_chars,oracle_overlap
A3_l0.2_r1.0_k02,A3,0.2,1.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.2_r1.0_k04,A3,0.2,1.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.2_r1.0_k08,A3,0.2,1.0,8,False,6,3,4,0,1,1,,16,30589,1
A3_l0.2_r1.0_k16,A3,0.2,1.0,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.3_r0.0_k02,A3,0.3,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.3_r0.0_k04,A3,0.3,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.3_r0.0_k08,A3,0.3,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.3_r0.0_k16,A3,0.3,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.3_r0.5_k02,A3,0.3,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.3_r0.5_k04,A3,0.3,0.5,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.3_r0.5_k08,A3,0.3,0.5,8,False,5,3,3,0,1,1,,16,30663,1
A3_l0.3_r0.5_k16,A3,0.3,0.5,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.3_r1.0_k02,A3,0.3,1.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.3_r1.0_k04,A3,0.3,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.3_r1.0_k08,A3,0.3,1.0,8,False,7,3,5,0,1,1,,16,31035,1
A3_l0.3_r1.0_k16,A3,0.3,1.0,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.4_r0.0_k02,A3,0.4,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.4_r0.0_k04,A3,0.4,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.4_r0.0_k08,A3,0.4,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.4_r0.0_k16,A3,0.4,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.4_r0.5_k02,A3,0.4,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.4_r0.5_k04,A3,0.4,0.5,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.4_r0.5_k08,A3,0.4,0.5,8,False,5,3,3,0,1,1,,16,30663,1
A3_l0.4_r0.5_k16,A3,0.4,0.5,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.4_r1.0_k02,A3,0.4,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.4_r1.0_k04,A3,0.4,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.4_r1.0_k08,A3,0.4,1.0,8,False,7,3,5,0,1,1,,16,31035,1
A3_l0.4_r1.0_k16,A3,0.4,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l0.5_r0.0_k02,A3,0.5,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.5_r0.0_k04,A3,0.5,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.5_r0.0_k08,A3,0.5,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.5_r0.0_k16,A3,0.5,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.5_r0.5_k02,A3,0.5,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.5_r0.5_k04,A3,0.5,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.5_r0.5_k08,A3,0.5,0.5,8,False,5,3,3,0,1,1,,16,30663,1
A3_l0.5_r0.5_k16,A3,0.5,0.5,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.5_r1.0_k02,A3,0.5,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.5_r1.0_k04,A3,0.5,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.5_r1.0_k08,A3,0.5,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l0.5_r1.0_k16,A3,0.5,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l0.6_r0.0_k02,A3,0.6,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.6_r0.0_k04,A3,0.6,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.6_r0.0_k08,A3,0.6,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.6_r0.0_k16,A3,0.6,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.6_r0.5_k02,A3,0.6,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.6_r0.5_k04,A3,0.6,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.6_r0.5_k08,A3,0.6,0.5,8,False,6,3,4,0,1,1,,16,31049,1
A3_l0.6_r0.5_k16,A3,0.6,0.5,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.6_r1.0_k02,A3,0.6,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.6_r1.0_k04,A3,0.6,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.6_r1.0_k08,A3,0.6,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l0.6_r1.0_k16,A3,0.6,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l0.7_r0.0_k02,A3,0.7,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.7_r0.0_k04,A3,0.7,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.7_r0.0_k08,A3,0.7,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.7_r0.0_k16,A3,0.7,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.7_r0.5_k02,A3,0.7,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.7_r0.5_k04,A3,0.7,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.7_r0.5_k08,A3,0.7,0.5,8,False,6,3,4,0,1,1,,16,31049,1
A3_l0.7_r0.5_k16,A3,0.7,0.5,16,False,5,2,4,0,1,0,,16,31325,1
A3_l0.7_r1.0_k02,A3,0.7,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.7_r1.0_k04,A3,0.7,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.7_r1.0_k08,A3,0.7,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l0.7_r1.0_k16,A3,0.7,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l0.8_r0.0_k02,A3,0.8,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.8_r0.0_k04,A3,0.8,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.8_r0.0_k08,A3,0.8,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.8_r0.0_k16,A3,0.8,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.8_r0.5_k02,A3,0.8,0.5,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.8_r0.5_k04,A3,0.8,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.8_r0.5_k08,A3,0.8,0.5,8,False,6,3,4,0,1,1,,16,31049,1
A3_l0.8_r0.5_k16,A3,0.8,0.5,16,False,9,3,4,0,4,1,,16,30757,2
A3_l0.8_r1.0_k02,A3,0.8,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.8_r1.0_k04,A3,0.8,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.8_r1.0_k08,A3,0.8,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l0.8_r1.0_k16,A3,0.8,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l0.9_r0.0_k02,A3,0.9,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.9_r0.0_k04,A3,0.9,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.9_r0.0_k08,A3,0.9,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l0.9_r0.0_k16,A3,0.9,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.9_r0.5_k02,A3,0.9,0.5,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.9_r0.5_k04,A3,0.9,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.9_r0.5_k08,A3,0.9,0.5,8,False,6,3,4,0,1,1,,16,31049,1
A3_l0.9_r0.5_k16,A3,0.9,0.5,16,False,9,3,4,0,4,1,,16,30757,2
A3_l0.9_r1.0_k02,A3,0.9,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l0.9_r1.0_k04,A3,0.9,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l0.9_r1.0_k08,A3,0.9,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l0.9_r1.0_k16,A3,0.9,1.0,16,False,9,3,4,0,4,1,,16,29916,2
A3_l1.0_r0.0_k02,A3,1.0,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l1.0_r0.0_k04,A3,1.0,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l1.0_r0.0_k08,A3,1.0,0.0,8,False,6,3,4,0,1,1,,16,31678,1
A3_l1.0_r0.0_k16,A3,1.0,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l1.0_r0.5_k02,A3,1.0,0.5,2,False,6,3,4,0,1,1,,16,30121,1
A3_l1.0_r0.5_k04,A3,1.0,0.5,4,False,6,3,4,0,1,1,,16,30121,1
A3_l1.0_r0.5_k08,A3,1.0,0.5,8,False,6,3,4,0,1,1,,16,31049,1
A3_l1.0_r0.5_k16,A3,1.0,0.5,16,False,9,3,4,0,4,1,,16,31320,2
A3_l1.0_r1.0_k02,A3,1.0,1.0,2,False,6,3,4,0,1,1,,16,30121,1
A3_l1.0_r1.0_k04,A3,1.0,1.0,4,False,6,3,4,0,1,1,,16,30121,1
A3_l1.0_r1.0_k08,A3,1.0,1.0,8,False,6,3,4,0,1,1,,16,31926,1
A3_l1.0_r1.0_k16,A3,1.0,1.0,16,False,9,3,4,0,4,1,,16,29916,2
