configuration_id,segment_width,boundary_offset,per_segment_budget,q11_fact_count,q11_domain_count,serialized_chars,selected_episode_count,targeted_preserved,targeted_required,q4_item_count,primary_gate,no_regression_gate,surrogate_gate
s07_o02_b1,7,2,1,3,1,11315,6,,16,,False,False,False
s07_o02_b2,7,2,2,8,2,19363,9,,16,,False,False,False
s07_o03_b1,7,3,1,3,1,6734,4,,16,,False,False,False
s07_o03_b2,7,3,2,4,1,11818,7,,16,,False,False,False
s07_o04_b1,7,4,1,4,2,7782,4,,16,,False,False,False
s07_o04_b2,7,4,2,4,2,11999,5,,16,,False,False,False
s07_o05_b1,7,5,1,1,1,7189,3,,16,,False,False,False
s07_o05_b2,7,5,2,1,1,11406,4,,16,,False,False,False
s07_o06_b1,7,6,1,4,1,6706,4,,16,,False,False,False
s07_o06_b2,7,6,2,4,1,14764,7,,16,,False,False,False
s08_o00_b1,8,0,1,3,1,6734,4,,16,,False,False,False
s08_o00_b2,8,0,2,4,1,11818,7,,16,,False,False,False
s08_o01_b1,8,1,1,4,2,8146,5,,16,,False,False,False
s08_o01_b2,8,1,2,4,2,12363,6,,16,,False,False,False
s08_o02_b1,8,2,1,4,2,7378,4,,16,,False,False,False
s08_o02_b2,8,2,2,4,2,12363,6,,16,,False,False,False
s08_o03_b1,8,3,1,4,1,2489,3,,16,,False,False,False
s08_o03_b2,8,3,2,4,1,10339,6,,16,,False,False,False
s08_o04_b1,8,4,1,4,1,2489,3,,16,,False,False,False
s08_o04_b2,8,4,2,4,1,9975,5,,16,,False,False,False
s08_o05_b1,8,5,1,4,1,6935,4,,16,,False,False,False
s08_o05_b2,8,5,2,4,1,14566,6,,16,,False,False,False
s08_o06_b1,8,6,1,0,0,10358,4,,16,,False,False,False
s08_o06_b2,8,6,2,5,2,19464,7,,16,,False,False,False
s08_o07_b1,8,7,1,3,1,6526,4,,16,,False,False,False
s08_o07_b2,8,7,2,3,1,11252,6,,16,,False,False,False
s09_o00_b1,9,0,1,4,1,2489,3,,16,,False,False,False
s09_o00_b2,9,0,2,4,1,9975,5,,16,,False,False,False
s09_o01_b1,9,1,1,4,1,2853,4,,16,,False,False,False
s09_o01_b2,9,1,2,4,1,10339,6,,16,,False,False,False
s09_o02_b1,9,2,1,4,1,7070,5,,16,,False,False,False
s09_o02_b2,9,2,2,7,2,10932,7,,16,,False,False,False
s09_o03_b1,9,3,1,0,0,5933,3,,16,,False,False,False
s09_o03_b2,9,3,2,4,1,13928,6,,16,,False,False,False
s09_o04_b1,9,4,1,0,0,1716,2,,16,,False,False,False
s09_o04_b2,9,4,2,0,0,6078,3,,16,,False,False,False
s09_o05_b1,9,5,1,0,0,5933,3,,16,,False,False,False
s09_o05_b2,9,5,2,3,1,10888,5,,16,,False,False,False
s09_o06_b1,9,6,1,3,1,6734,4,,16,,False,False,False
s09_o06_b2,9,6,2,4,1,11818,7,,16,,False,False,False
s09_o07_b1,9,7,1,4,2,7782,4,,16,,False,False,False
s09_o07_b2,9,7,2,4,2,12363,6,,16,,False,False,False
s09_o08_b1,9,8,1,4,2,7782,4,,16,,False,False,False
s09_o08_b2,9,8,2,4,2,12363,6,,16,,False,False,False
s10_o00_b1,10,0,1,0,0,5036,2,,16,,False,False,False
s10_o00_b2,10,0,2,4,1,9202,4,,16,,False,False,False
s10_o01_b1,10,1,1,3,1,1776,3,,16,,False,False,False
s10_o01_b2,10,1,2,3,1,6890,5,,16,,False,False,False
s10_o02_b1,10,2,1,0,0,2080,3,,16,,False,False,False
s10_o02_b2,10,2,2,0,0,6442,4,,16,,False,False,False
s10_o03_b1,10,3,1,0,0,5933,3,,16,,False,False,False
s10_o03_b2,10,3,2,3,1,11252,6,,16,,False,False,False
s10_o04_b1,10,4,1,3,1,5837,3,,16,,False,False,False
s10_o04_b2,10,4,2,4,1,11454,6,,16,,False,False,False
s10_o05_b1,10,5,1,1,1,7189,3,,16,,False,False,False
s10_o05_b2,10,5,2,4,2,11999,5,,16,,False,False,False
s10_o06_b1,10,6,1,4,2,7782,4,,16,,False,False,False
s10_o06_b2,10,6,2,4,2,12363,6,,16,,False,False,False
s10_o07_b1,10,7,1,4,1,2489,3,,16,,False,False,False
s10_o07_b2,10,7,2,7,2,6715,6,,16,,False,False,False
s10_o08_b1,10,8,1,4,1,2489,3,,16,,False,False,False
s10_o08_b2,10,8,2,5,2,11595,6,,16,,False,False,False
s10_o09_b1,10,9,1,4,1,2489,3,,16,,False,False,False
s10_o09_b2,10,9,2,4,1,9975,5,,16,,False,False,False
s11_o00_b1,11,0,1,0,0,819,1,,16,,False,False,False
s11_o00_b2,11,0,2,0,0,6078,3,,16,,False,False,False
s11_o01_b1,11,1,1,3,1,5993,4,,16,,False,False,False
s11_o01_b2,11,1,2,4,1,11669,7,,16,,False,False,False
s11_o02_b1,11,2,1,3,1,6330,4,,16,,False,False,False
s11_o02_b2,11,2,2,4,1,11818,7,,16,,False,False,False
s11_o03_b1,11,3,1,1,1,6292,2,,16,,False,False,False
s11_o03_b2,11,3,2,1,1,11770,5,,16,,False,False,False
s11_o04_b1,11,4,1,1,1,6292,2,,16,,False,False,False
s11_o04_b2,11,4,2,4,2,11999,5,,16,,False,False,False
s11_o05_b1,11,5,1,4,1,2489,3,,16,,False,False,False
s11_o05_b2,11,5,2,7,2,6351,5,,16,,False,False,False
s11_o06_b1,11,6,1,4,1,2489,3,,16,,False,False,False
s11_o06_b2,11,6,2,5,2,11595,6,,16,,False,False,False
s11_o07_b1,11,7,1,4,1,2489,3,,16,,False,False,False
s11_o07_b2,11,7,2,7,2,6715,6,,16,,False,False,False
s11_o08_b1,11,8,1,0,0,5933,3,,16,,False,False,False
s11_o08_b2,11,8,2,4,1,9566,5,,16,,False,False,False
s11_o09_b1,11,9,1,0,0,5933,3,,16,,False,False,False
s11_o09_b2,11,9,2,0,0,5933,3,,16,,False,False,False
s11_o10_b1,11,10,1,3,1,1412,2,,16,,False,False,False
s11_o10_b2,11,10,2,3,1,2309,3,,16,,False,False,False
s12_o00_b1,12,0,1,3,1,5602,3,,16,,False,False,False
s12_o00_b2,12,0,2,4,1,11454,6,,16,,False,False,False
s12_o01_b1,12,1,1,1,1,6656,3,,16,,False,False,False
s12_o01_b2,12,1,2,4,2,12363,6,,16,,False,False,False
s12_o02_b1,12,2,1,1,1,7553,4,,16,,False,False,False
s12_o02_b2,12,2,2,4,2,12363,6,,16,,False,False,False
s12_o03_b1,12,3,1,4,1,1592,2,,16,,False,False,False
s12_o03_b2,12,3,2,4,1,6122,5,,16,,False,False,False
s12_o04_b1,12,4,1,4,1,2489,3,,16,,False,False,False
s12_o04_b2,12,4,2,7,2,6351,5,,16,,False,False,False
s12_o05_b1,12,5,1,4,1,2489,3,,16,,False,False,False
s12_o05_b2,12,5,2,7,2,6351,5,,16,,False,False,False
s12_o06_b1,12,6,1,0,0,5933,3,,16,,False,False,False
s12_o06_b2,12,6,2,5,2,15039,6,,16,,False,False,False
s12_o07_b1,12,7,1,0,0,1716,2,,16,,False,False,False
s12_o07_b2,12,7,2,0,0,6297,4,,16,,False,False,False
s12_o08_b1,12,8,1,0,0,5933,3,,16,,False,False,False
s12_o08_b2,12,8,2,0,0,6297,4,,16,,False,False,False
s12_o09_b1,12,9,1,3,1,2309,3,,16,,False,False,False
s12_o09_b2,12,9,2,3,1,2309,3,,16,,False,False,False
s12_o10_b1,12,10,1,0,0,1716,2,,16,,False,False,False
s12_o10_b2,12,10,2,0,0,6078,3,,16,,False,False,False
s12_o11_b1,12,11,1,3,1,5629,3,,16,,False,False,False
s12_o11_b2,12,11,2,4,1,11305,6,,16,,False,False,False
s13_o00_b1,13,0,1,1,1,6292,2,,16,,False,False,False
s13_o00_b2,13,0,2,4,2,11999,5,,16,,False,False,False
s13_o01_b1,13,1,1,4,1,1956,3,,16,,False,False,False
s13_o01_b2,13,1,2,4,1,6122,5,,16,,False,False,False
s13_o02_b1,13,2,1,4,1,2853,4,,16,,False,False,False
s13_o02_b2,13,2,2,4,1,6122,5,,16,,False,False,False
s13_o03_b1,13,3,1,4,1,1592,2,,16,,False,False,False
s13_o03_b2,13,3,2,7,2,6715,6,,16,,False,False,False
s13_o04_b1,13,4,1,0,0,5036,2,,16,,False,False,False
s13_o04_b2,13,4,2,7,2,9795,5,,16,,False,False,False
s13_o05_b1,13,5,1,0,0,1716,2,,16,,False,False,False
s13_o05_b2,13,5,2,0,0,5933,3,,16,,False,False,False
s13_o06_b1,13,6,1,0,0,1716,2,,16,,False,False,False
s13_o06_b2,13,6,2,0,0,6297,4,,16,,False,False,False
s13_o07_b1,13,7,1,0,0,5933,3,,16,,False,False,False
s13_o07_b2,13,7,2,0,0,6297,4,,16,,False,False,False
s13_o08_b1,13,8,1,3,1,2309,3,,16,,False,False,False
s13_o08_b2,13,8,2,3,1,2673,4,,16,,False,False,False
s13_o09_b1,13,9,1,0,0,1716,2,,16,,False,False,False
s13_o09_b2,13,9,2,0,0,6078,3,,16,,False,False,False
s13_o10_b1,13,10,1,3,1,5629,3,,16,,False,False,False
s13_o10_b2,13,10,2,4,1,11305,6,,16,,False,False,False
s13_o11_b1,13,11,1,3,1,5837,3,,16,,False,False,False
s13_o11_b2,13,11,2,4,1,11454,6,,16,,False,False,False
s13_o12_b1,13,12,1,4,2,6885,3,,16,,False,False,False
s13_o12_b2,13,12,2,5,2,12357,6,,16,,False,False,False
s14_o00_b1,14,0,1,4,1,1592,2,,16,,False,False,False
s14_o00_b2,14,0,2,4,1,6122,5,,16,,False,False,False
s14_o01_b1,14,1,1,4,1,1956,3,,16,,False,False,False
s14_o01_b2,14,1,2,4,1,6122,5,,16,,False,False,False
s14_o02_b1,14,2,1,0,0,6297,4,,16,,False,False,False
s14_o02_b2,14,2,2,7,2,10159,6,,16,,False,False,False
s14_o03_b1,14,3,1,0,0,819,1,,16,,False,False,False
s14_o03_b2,14,3,2,0,0,2080,3,,16,,False,False,False
s14_o04_b1,14,4,1,0,0,1716,2,,16,,False,False,False
s14_o04_b2,14,4,2,0,0,5933,3,,16,,False,False,False
s14_o05_b1,14,5,1,0,0,1716,2,,16,,False,False,False
s14_o05_b2,14,5,2,0,0,5933,3,,16,,False,False,False
s14_o06_b1,14,6,1,0,0,5933,3,,16,,False,False,False
s14_o06_b2,14,6,2,0,0,6297,4,,16,,False,False,False
s14_o07_b1,14,7,1,3,1,2309,3,,16,,False,False,False
s14_o07_b2,14,7,2,3,1,2673,4,,16,,False,False,False
s14_o08_b1,14,8,1,0,0,1716,2,,16,,False,False,False
s14_o08_b2,14,8,2,0,0,6442,4,,16,,False,False,False
s14_o09_b1,14,9,1,0,0,5036,2,,16,,False,False,False
s14_o09_b2,14,9,2,3,1,10888,5,,16,,False,False,False
s14_o10_b1,14,10,1,3,1,5837,3,,16,,False,False,False
s14_o10_b2,14,10,2,4,1,11454,6,,16,,False,False,False
s14_o11_b1,14,11,1,4,2,6885,3,,16,,False,False,False
s14_o11_b2,14,11,2,4,2,11999,5,,16,,False,False,False
s14_o12_b1,14,12,1,4,2,6885,3,,16,,False,False,False
s14_o12_b2,14,12,2,5,2,12357,6,,16,,False,False,False
s14_o13_b1,14,13,1,4,1,1592,2,,16,,False,False,False
s14_o13_b2,14,13,2,7,2,6351,5,,16,,False,False,False
s15_o00_b1,15,0,1,0,0,5036,2,,16,,False,False,False
s15_o00_b2,15,0,2,4,1,9202,4,,16,,False,False,False
s15_o01_b1,15,1,1,0,0,1183,2,,16,,False,False,False
s15_o01_b2,15,1,2,3,1,2673,4,,16,,False,False,False
s15_o02_b1,15,2,1,0,0,1183,2,,16,,False,False,False
s15_o02_b2,15,2,2,0,0,2080,3,,16,,False,False,False
s15_o03_b1,15,3,1,0,0,1716,2,,16,,False,False,False
s15_o03_b2,15,3,2,0,0,6297,4,,16,,False,False,False
s15_o04_b1,15,4,1,0,0,1716,2,,16,,False,False,False
s15_o04_b2,15,4,2,0,0,5933,3,,16,,False,False,False
s15_o05_b1,15,5,1,0,0,5933,3,,16,,False,False,False
s15_o05_b2,15,5,2,0,0,5933,3,,16,,False,False,False
s15_o06_b1,15,6,1,3,1,2309,3,,16,,False,False,False
s15_o06_b2,15,6,2,3,1,2673,4,,16,,False,False,False
s15_o07_b1,15,7,1,0,0,1716,2,,16,,False,False,False
s15_o07_b2,15,7,2,0,0,6442,4,,16,,False,False,False
s15_o08_b1,15,8,1,0,0,5933,3,,16,,False,False,False
s15_o08_b2,15,8,2,0,0,10659,5,,16,,False,False,False
s15_o09_b1,15,9,1,3,1,5837,3,,16,,False,False,False
s15_o09_b2,15,9,2,3,1,11096,5,,16,,False,False,False
s15_o10_b1,15,10,1,4,2,6885,3,,16,,False,False,False
s15_o10_b2,15,10,2,4,2,11999,5,,16,,False,False,False
s15_o11_b1,15,11,1,4,2,6885,3,,16,,False,False,False
s15_o11_b2,15,11,2,4,2,11999,5,,16,,False,False,False
s15_o12_b1,15,12,1,4,1,1592,2,,16,,False,False,False
s15_o12_b2,15,12,2,7,2,6351,5,,16,,False,False,False
s15_o13_b1,15,13,1,4,1,1592,2,,16,,False,False,False
s15_o13_b2,15,13,2,5,2,11231,5,,16,,False,False,False
s15_o14_b1,15,14,1,4,1,1592,2,,16,,False,False,False
s15_o14_b2,15,14,2,4,1,5758,4,,16,,False,False,False
s16_o00_b1,16,0,1,0,0,819,1,,16,,False,False,False
s16_o00_b2,16,0,2,3,1,2309,3,,16,,False,False,False
s16_o01_b1,16,1,1,0,0,1183,2,,16,,False,False,False
s16_o01_b2,16,1,2,0,0,2080,3,,16,,False,False,False
s16_o02_b1,16,2,1,0,0,1183,2,,16,,False,False,False
s16_o02_b2,16,2,2,0,0,6297,4,,16,,False,False,False
s16_o03_b1,16,3,1,0,0,1716,2,,16,,False,False,False
s16_o03_b2,16,3,2,0,0,6297,4,,16,,False,False,False
s16_o04_b1,16,4,1,0,0,5036,2,,16,,False,False,False
s16_o04_b2,16,4,2,0,0,5933,3,,16,,False,False,False
s16_o05_b1,16,5,1,3,1,2309,3,,16,,False,False,False
s16_o05_b2,16,5,2,3,1,2309,3,,16,,False,False,False
s16_o06_b1,16,6,1,0,0,1716,2,,16,,False,False,False
s16_o06_b2,16,6,2,0,0,6442,4,,16,,False,False,False
s16_o07_b1,16,7,1,0,0,5933,3,,16,,False,False,False
s16_o07_b2,16,7,2,0,0,10659,5,,16,,False,False,False
s16_o08_b1,16,8,1,3,1,5837,3,,16,,False,False,False
s16_o08_b2,16,8,2,3,1,10563,5,,16,,False,False,False
s16_o09_b1,16,9,1,1,1,6292,2,,16,,False,False,False
s16_o09_b2,16,9,2,4,2,11999,5,,16,,False,False,False
s16_o10_b1,16,10,1,4,2,6885,3,,16,,False,False,False
s16_o10_b2,16,10,2,4,2,11999,5,,16,,False,False,False
s16_o11_b1,16,11,1,4,1,1592,2,,16,,False,False,False
s16_o11_b2,16,11,2,7,2,6351,5,,16,,False,False,False
s16_o12_b1,16,12,1,4,1,1592,2,,16,,False,False,False
s16_o12_b2,16,12,2,7,2,6351,5,,16,,False,False,False
s16_o13_b1,16,13,1,4,1,1592,2,,16,,False,False,False
s16_o13_b2,16,13,2,4,1,5758,4,,16,,False,False,False
s16_o14_b1,16,14,1,0,0,5036,2,,16,,False,False,False
s16_o14_b2,16,14,2,4,1,9566,5,,16,,False,False,False
s16_o15_b1,16,15,1,0,0,819,1,,16,,False,False,False
s16_o15_b2,16,15,2,0,0,1716,2,,16,,False,False,False
s17_o00_b1,17,0,1,0,0,819,1,,16,,False,False,False
s17_o00_b2,17,0,2,0,0,1716,2,,16,,False,False,False
s17_o01_b1,17,1,1,0,0,2080,3,,16,,False,False,False
s17_o01_b2,17,1,2,0,0,6297,4,,16,,False,False,False
s17_o02_b1,17,2,1,0,0,1183,2,,16,,False,False,False
s17_o02_b2,17,2,2,0,0,6297,4,,16,,False,False,False
s17_o03_b1,17,3,1,0,0,5036,2,,16,,False,False,False
s17_o03_b2,17,3,2,0,0,6297,4,,16,,False,False,False
s17_o04_b1,17,4,1,3,1,1412,2,,16,,False,False,False
s17_o04_b2,17,4,2,3,1,2309,3,,16,,False,False,False
s17_o05_b1,17,5,1,0,0,1716,2,,16,,False,False,False
s17_o05_b2,17,5,2,0,0,6078,3,,16,,False,False,False
s17_o06_b1,17,6,1,0,0,5933,3,,16,,False,False,False
s17_o06_b2,17,6,2,0,0,10659,5,,16,,False,False,False
s17_o07_b1,17,7,1,0,0,6141,3,,16,,False,False,False
s17_o07_b2,17,7,2,0,0,10867,5,,16,,False,False,False
s17_o08_b1,17,8,1,1,1,6292,2,,16,,False,False,False
s17_o08_b2,17,8,2,1,1,11770,5,,16,,False,False,False
s17_o09_b1,17,9,1,1,1,6292,2,,16,,False,False,False
s17_o09_b2,17,9,2,4,2,11999,5,,16,,False,False,False
s17_o10_b1,17,10,1,4,1,1592,2,,16,,False,False,False
s17_o10_b2,17,10,2,7,2,6351,5,,16,,False,False,False
s17_o11_b1,17,11,1,4,1,1592,2,,16,,False,False,False
s17_o11_b2,17,11,2,7,2,6351,5,,16,,False,False,False
s17_o12_b1,17,12,1,4,1,1592,2,,16,,False,False,False
s17_o12_b2,17,12,2,7,2,6351,5,,16,,False,False,False
s17_o13_b1,17,13,1,0,0,5036,2,,16,,False,False,False
s17_o13_b2,17,13,2,4,1,9202,4,,16,,False,False,False
s17_o14_b1,17,14,1,0,0,819,1,,16,,False,False,False
s17_o14_b2,17,14,2,0,0,1716,2,,16,,False,False,False
s17_o15_b1,17,15,1,0,0,819,1,,16,,False,False,False
s17_o15_b2,17,15,2,0,0,1716,2,,16,,False,False,False
s17_o16_b1,17,16,1,0,0,819,1,,16,,False,False,False
s17_o16_b2,17,16,2,3,1,2309,3,,16,,False,False,False
s18_o00_b1,18,0,1,0,0,819,1,,16,,False,False,False
s18_o00_b2,18,0,2,0,0,5933,3,,16,,False,False,False
s18_o01_b1,18,1,1,0,0,2080,3,,16,,False,False,False
s18_o01_b2,18,1,2,0,0,6297,4,,16,,False,False,False
s18_o02_b1,18,2,1,0,0,5400,3,,16,,False,False,False
s18_o02_b2,18,2,2,0,0,6297,4,,16,,False,False,False
s18_o03_b1,18,3,1,3,1,1412,2,,16,,False,False,False
s18_o03_b2,18,3,2,3,1,2673,4,,16,,False,False,False
s18_o04_b1,18,4,1,0,0,1716,2,,16,,False,False,False
s18_o04_b2,18,4,2,0,0,6078,3,,16,,False,False,False
s18_o05_b1,18,5,1,0,0,5036,2,,16,,False,False,False
s18_o05_b2,18,5,2,3,1,10888,5,,16,,False,False,False
s18_o06_b1,18,6,1,0,0,6141,3,,16,,False,False,False
s18_o06_b2,18,6,2,3,1,11460,6,,16,,False,False,False
s18_o07_b1,18,7,1,1,1,7189,3,,16,,False,False,False
s18_o07_b2,18,7,2,1,1,11770,5,,16,,False,False,False
s18_o08_b1,18,8,1,1,1,6292,2,,16,,False,False,False
s18_o08_b2,18,8,2,1,1,11770,5,,16,,False,False,False
s18_o09_b1,18,9,1,4,1,1592,2,,16,,False,False,False
s18_o09_b2,18,9,2,4,1,5758,4,,16,,False,False,False
s18_o10_b1,18,10,1,4,1,1592,2,,16,,False,False,False
s18_o10_b2,18,10,2,4,1,5758,4,,16,,False,False,False
s18_o11_b1,18,11,1,4,1,1592,2,,16,,False,False,False
s18_o11_b2,18,11,2,7,2,6351,5,,16,,False,False,False
s18_o12_b1,18,12,1,0,0,5036,2,,16,,False,False,False
s18_o12_b2,18,12,2,7,2,9795,5,,16,,False,False,False
s18_o13_b1,18,13,1,0,0,819,1,,16,,False,False,False
s18_o13_b2,18,13,2,0,0,1716,2,,16,,False,False,False
s18_o14_b1,18,14,1,0,0,819,1,,16,,False,False,False
s18_o14_b2,18,14,2,0,0,1716,2,,16,,False,False,False
s18_o15_b1,18,15,1,0,0,819,1,,16,,False,False,False
s18_o15_b2,18,15,2,0,0,1716,2,,16,,False,False,False
s18_o16_b1,18,16,1,0,0,819,1,,16,,False,False,False
s18_o16_b2,18,16,2,3,1,2309,3,,16,,False,False,False
s18_o17_b1,18,17,1,0,0,819,1,,16,,False,False,False
s18_o17_b2,18,17,2,0,0,1716,2,,16,,False,False,False
s19_o00_b1,19,0,1,0,0,819,1,,16,,False,False,False
s19_o00_b2,19,0,2,0,0,5933,3,,16,,False,False,False
s19_o01_b1,19,1,1,0,0,5400,3,,16,,False,False,False
s19_o01_b2,19,1,2,0,0,6297,4,,16,,False,False,False
s19_o02_b1,19,2,1,3,1,1776,3,,16,,False,False,False
s19_o02_b2,19,2,2,3,1,2673,4,,16,,False,False,False
s19_o03_b1,19,3,1,0,0,1716,2,,16,,False,False,False
s19_o03_b2,19,3,2,0,0,6442,4,,16,,False,False,False
s19_o04_b1,19,4,1,3,1,5629,3,,16,,False,False,False
s19_o04_b2,19,4,2,3,1,10888,5,,16,,False,False,False
s19_o05_b1,19,5,1,3,1,5837,3,,16,,False,False,False
s19_o05_b2,19,5,2,3,1,11096,5,,16,,False,False,False
s19_o06_b1,19,6,1,1,1,6292,2,,16,,False,False,False
s19_o06_b2,19,6,2,1,1,11770,5,,16,,False,False,False
s19_o07_b1,19,7,1,1,1,6292,2,,16,,False,False,False
s19_o07_b2,19,7,2,1,1,11770,5,,16,,False,False,False
s19_o08_b1,19,8,1,4,1,1592,2,,16,,False,False,False
s19_o08_b2,19,8,2,4,1,6122,5,,16,,False,False,False
s19_o09_b1,19,9,1,4,1,1592,2,,16,,False,False,False
s19_o09_b2,19,9,2,4,1,5758,4,,16,,False,False,False
s19_o10_b1,19,10,1,4,1,1592,2,,16,,False,False,False
s19_o10_b2,19,10,2,4,1,5758,4,,16,,False,False,False
s19_o11_b1,19,11,1,0,0,5036,2,,16,,False,False,False
s19_o11_b2,19,11,2,7,2,9795,5,,16,,False,False,False
s19_o12_b1,19,12,1,0,0,819,1,,16,,False,False,False
s19_o12_b2,19,12,2,0,0,1716,2,,16,,False,False,False
s19_o13_b1,19,13,1,0,0,819,1,,16,,False,False,False
s19_o13_b2,19,13,2,0,0,1716,2,,16,,False,False,False
s19_o14_b1,19,14,1,0,0,819,1,,16,,False,False,False
s19_o14_b2,19,14,2,0,0,1716,2,,16,,False,False,False
s19_o15_b1,19,15,1,0,0,819,1,,16,,False,False,False
s19_o15_b2,19,15,2,0,0,1716,2,,16,,False,False,False
s19_o16_b1,19,16,1,0,0,819,1,,16,,False,False,False
s19_o16_b2,19,16,2,3,1,2309,3,,16,,False,False,False
s19_o17_b1,19,17,1,0,0,819,1,,16,,False,False,False
s19_o17_b2,19,17,2,0,0,1716,2,,16,,False,False,False
s19_o18_b1,19,18,1,0,0,819,1,,16,,False,False,False
s19_o18_b2,19,18,2,0,0,5933,3,,16,,False,False,False
s20_o00_b1,20,0,1,0,0,5036,2,,16,,False,False,False
s20_o00_b2,20,0,2,0,0,5933,3,,16,,False,False,False
s20_o01_b1,20,1,1,3,1,1776,3,,16,,False,False,False
s20_o01_b2,20,1,2,3,1,2673,4,,16,,False,False,False
s20_o02_b1,20,2,1,0,0,2080,3,,16,,False,False,False
s20_o02_b2,20,2,2,0,0,6442,4,,16,,False,False,False
s20_o03_b1,20,3,1,0,0,5036,2,,16,,False,False,False
s20_o03_b2,20,3,2,3,1,10355,5,,16,,False,False,False
s20_o04_b1,20,4,1,3,1,5837,3,,16,,False,False,False
s20_o04_b2,20,4,2,3,1,11096,5,,16,,False,False,False
s20_o05_b1,20,5,1,1,1,6292,2,,16,,False,False,False
s20_o05_b2,20,5,2,1,1,11406,4,,16,,False,False,False
s20_o06_b1,20,6,1,1,1,6292,2,,16,,False,False,False
s20_o06_b2,20,6,2,1,1,11770,5,,16,,False,False,False
s20_o07_b1,20,7,1,4,1,1592,2,,16,,False,False,False
s20_o07_b2,20,7,2,4,1,6122,5,,16,,False,False,False
s20_o08_b1,20,8,1,4,1,1592,2,,16,,False,False,False
s20_o08_b2,20,8,2,4,1,6122,5,,16,,False,False,False
s20_o09_b1,20,9,1,4,1,1592,2,,16,,False,False,False
s20_o09_b2,20,9,2,4,1,5758,4,,16,,False,False,False
s20_o10_b1,20,10,1,0,0,5036,2,,16,,False,False,False
s20_o10_b2,20,10,2,7,2,9795,5,,16,,False,False,False
s20_o11_b1,20,11,1,0,0,819,1,,16,,False,False,False
s20_o11_b2,20,11,2,3,1,2309,3,,16,,False,False,False
s20_o12_b1,20,12,1,0,0,819,1,,16,,False,False,False
s20_o12_b2,20,12,2,0,0,1716,2,,16,,False,False,False
