arm,anonymous,question,turn,type,domain,item,in_prompt,in_recent_context,in_retrieved_stm,in_retrieved_ltm,in_answer,status
L,arm_A,Q7,993,ecology,breadth,Sphagnum palustre,True,False,True,False,True,recalled
L,arm_A,Q7,993,ecology,breadth,6.2 millimeters per year,True,False,True,False,True,recalled
L,arm_A,Q8,994,cryptography,breadth,Citrine Handshake,True,False,True,True,True,recalled
L,arm_A,Q8,994,cryptography,breadth,Dr. Yuki Bhandari,True,False,True,False,True,recalled
L,arm_A,Q8,994,cryptography,breadth,192-bit security,True,False,True,False,True,recalled
L,arm_A,Q8,994,cryptography,breadth,ML-KEM-768,True,False,True,True,True,recalled
L,arm_A,Q8,994,cryptography,breadth,11.8 millisecond median latency,True,False,True,False,True,recalled
L,arm_A,Q9,995,geophysics,breadth,Pelican Rift Transect,True,False,True,True,True,recalled
L,arm_A,Q9,995,geophysics,breadth,Dr. Marta Quispe,True,False,True,False,True,recalled
L,arm_A,Q9,995,geophysics,breadth,"4,860 meters depth",True,False,True,False,True,recalled
L,arm_A,Q9,995,geophysics,breadth,24-channel streamer,True,False,True,True,True,recalled
L,arm_A,Q9,995,geophysics,breadth,3.6 centimeters per year,True,False,True,False,True,recalled
L,arm_A,Q10,996,linguistics,breadth,Sable Isogloss Atlas,True,False,True,True,True,recalled
L,arm_A,Q10,996,linguistics,breadth,Professor Idris Chen,True,False,True,False,True,recalled
L,arm_A,Q10,996,linguistics,breadth,43 dialect sites,True,False,True,False,True,recalled
L,arm_A,Q10,996,linguistics,breadth,retroflex lateral marker,True,False,True,False,True,recalled
L,arm_A,Q10,996,linguistics,breadth,AD 1180 divergence,True,False,True,False,True,recalled
L,arm_A,Q11,997,robotics,breadth,Kestrel Rover,True,False,True,True,True,recalled
L,arm_A,Q11,997,robotics,breadth,Dr. Hana Petrov,True,False,True,False,True,recalled
L,arm_A,Q11,997,robotics,breadth,14.2 kilometer range,True,False,True,False,True,recalled
L,arm_A,Q11,997,robotics,breadth,event-camera navigation,True,False,True,True,True,recalled
L,arm_A,Q11,997,robotics,breadth,8.5 centimeter obstacle clearance,True,False,True,False,True,recalled
L,arm_A,Q12,998,conservation,breadth,Blue Atrium Mosaic,True,False,True,True,True,recalled
L,arm_A,Q12,998,conservation,breadth,Dr. Omar Velasquez,True,False,True,False,True,recalled
L,arm_A,Q12,998,conservation,breadth,AD 612,True,False,True,False,True,recalled
L,arm_A,Q12,998,conservation,breadth,calcium-caseinate grout,True,False,True,True,True,recalled
L,arm_A,Q12,998,conservation,breadth,42% relative humidity,True,False,True,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,"Aster Viaduct + 1,126 meters",True,True,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,"MERIDIAN-4 cohort + 6,240 participants",True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Vellum Harbor Ledger + 1572,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Northstar Cell + 4.35 volts,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Orchid Corridor model + 2.4% neutral rate,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Kepler Ridge Array + 18.7 light-years,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Marrowfen Survey + 38 hectares,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Citrine Handshake + 192-bit security,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,"Pelican Rift Transect + 4,860 meters depth",True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Sable Isogloss Atlas + 43 dialect sites,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Kestrel Rover + 14.2 kilometer range,True,False,False,True,True,recalled
L,arm_A,Q13,999,breadth,breadth,Blue Atrium Mosaic + AD 612,True,True,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Aster Viaduct + Dr. Leena Ortiz,True,True,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,MERIDIAN-4 cohort + Dr. Tomas Ilyin,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Vellum Harbor Ledger + Professor Amira Solano,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Northstar Cell + Dr. Pavel Nwosu,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Orchid Corridor model + Dr. Sanae Morimoto,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Kepler Ridge Array + Dr. Elias Varga,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Marrowfen Survey + Dr. Nia Okafor,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Citrine Handshake + Dr. Yuki Bhandari,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Pelican Rift Transect + Dr. Marta Quispe,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Sable Isogloss Atlas + Professor Idris Chen,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Kestrel Rover + Dr. Hana Petrov,True,False,False,True,True,recalled
L,arm_A,Q14,1000,breadth,breadth,Blue Atrium Mosaic + Dr. Omar Velasquez,True,False,False,True,True,recalled
S,arm_B,I1,250,structural,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,I1,250,structural,breadth,Dr. Leena Ortiz,True,True,False,False,True,recalled
S,arm_B,I1,250,structural,breadth,"1,126 meters",True,True,False,False,True,recalled
S,arm_B,I1,250,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
S,arm_B,I1,250,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
S,arm_B,I2,251,battery,breadth,Northstar Cell,True,False,True,False,True,recalled
S,arm_B,I2,251,battery,breadth,Dr. Pavel Nwosu,True,False,True,False,True,recalled
S,arm_B,I2,251,battery,breadth,4.35 volts,True,False,True,False,True,recalled
S,arm_B,I2,251,battery,breadth,NMC811 cathode,False,False,False,False,False,absent
S,arm_B,I2,251,battery,breadth,"92% retention at 1,200 cycles",False,False,False,False,False,absent
S,arm_B,I3,252,breadth,breadth,Aster Viaduct,True,True,False,False,True,recalled
S,arm_B,I3,252,breadth,breadth,MERIDIAN-4 cohort,False,False,False,False,False,absent
S,arm_B,I3,252,breadth,breadth,Vellum Harbor Ledger,False,False,False,False,False,absent
S,arm_B,I3,252,breadth,breadth,Northstar Cell,True,True,False,False,True,recalled
S,arm_B,I4,500,structural,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,I4,500,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
S,arm_B,I4,500,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
S,arm_B,I4,500,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
S,arm_B,I4,500,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
S,arm_B,I5,501,ecology,breadth,Marrowfen Survey,True,False,True,False,True,recalled
S,arm_B,I5,501,ecology,breadth,Dr. Nia Okafor,True,False,True,False,True,recalled
S,arm_B,I5,501,ecology,breadth,38 hectares,True,False,True,False,True,recalled
S,arm_B,I5,501,ecology,breadth,Sphagnum palustre,False,False,False,False,False,absent
S,arm_B,I5,501,ecology,breadth,6.2 millimeters per year,False,False,False,False,False,absent
S,arm_B,I6,502,breadth,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,I6,502,breadth,breadth,MERIDIAN-4 cohort,False,False,False,False,False,absent
S,arm_B,I6,502,breadth,breadth,Vellum Harbor Ledger,False,False,False,False,False,absent
S,arm_B,I6,502,breadth,breadth,Northstar Cell,True,False,True,False,True,recalled
S,arm_B,I6,502,breadth,breadth,Orchid Corridor model,False,False,False,False,False,absent
S,arm_B,I6,502,breadth,breadth,Kepler Ridge Array,False,False,False,False,False,absent
S,arm_B,I6,502,breadth,breadth,Marrowfen Survey,True,True,False,False,True,recalled
S,arm_B,I7,750,structural,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,I7,750,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
S,arm_B,I7,750,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
S,arm_B,I7,750,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
S,arm_B,I7,750,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
S,arm_B,I8,751,linguistics,breadth,Sable Isogloss Atlas,True,False,True,False,True,recalled
S,arm_B,I8,751,linguistics,breadth,Professor Idris Chen,True,False,True,False,True,recalled
S,arm_B,I8,751,linguistics,breadth,43 dialect sites,True,False,True,False,True,recalled
S,arm_B,I8,751,linguistics,breadth,retroflex lateral marker,False,False,False,False,False,absent
S,arm_B,I8,751,linguistics,breadth,AD 1180 divergence,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,I9,752,breadth,breadth,MERIDIAN-4 cohort,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Vellum Harbor Ledger,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Northstar Cell,True,False,True,False,True,recalled
S,arm_B,I9,752,breadth,breadth,Orchid Corridor model,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Kepler Ridge Array,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Marrowfen Survey,True,False,True,False,True,recalled
S,arm_B,I9,752,breadth,breadth,Citrine Handshake,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Pelican Rift Transect,False,False,False,False,False,absent
S,arm_B,I9,752,breadth,breadth,Sable Isogloss Atlas,True,True,False,False,True,recalled
S,arm_B,Q1,987,structural,breadth,Aster Viaduct,True,True,True,False,True,recalled
S,arm_B,Q1,987,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
S,arm_B,Q1,987,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
S,arm_B,Q1,987,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
S,arm_B,Q1,987,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
S,arm_B,Q2,988,epidemiology,breadth,MERIDIAN-4 cohort,True,False,True,False,True,recalled
S,arm_B,Q2,988,epidemiology,breadth,Dr. Tomas Ilyin,True,False,True,False,True,recalled
S,arm_B,Q2,988,epidemiology,breadth,"6,240 participants",True,False,True,False,True,recalled
S,arm_B,Q2,988,epidemiology,breadth,inverse-probability weighting,True,False,True,False,True,recalled
S,arm_B,Q2,988,epidemiology,breadth,1.7% annual incidence,True,False,True,False,True,recalled
S,arm_B,Q3,989,archives,breadth,Vellum Harbor Ledger,True,False,True,False,True,recalled
S,arm_B,Q3,989,archives,breadth,Professor Amira Solano,True,False,True,False,True,recalled
S,arm_B,Q3,989,archives,breadth,1572,True,False,True,False,True,recalled
S,arm_B,Q3,989,archives,breadth,iron-gall ink,True,False,True,False,True,recalled
S,arm_B,Q3,989,archives,breadth,folio 184,True,False,True,False,True,recalled
S,arm_B,Q4,990,battery,breadth,Northstar Cell,True,False,True,False,True,recalled
S,arm_B,Q4,990,battery,breadth,Dr. Pavel Nwosu,True,False,True,False,True,recalled
S,arm_B,Q4,990,battery,breadth,4.35 volts,True,False,True,False,True,recalled
S,arm_B,Q4,990,battery,breadth,NMC811 cathode,True,False,True,False,True,recalled
S,arm_B,Q4,990,battery,breadth,"92% retention at 1,200 cycles",True,False,True,False,True,recalled
S,arm_B,Q5,991,monetary,breadth,Orchid Corridor model,True,False,True,False,True,recalled
S,arm_B,Q5,991,monetary,breadth,Dr. Sanae Morimoto,True,False,True,False,True,recalled
S,arm_B,Q5,991,monetary,breadth,2.4% neutral rate,True,False,True,False,True,recalled
S,arm_B,Q5,991,monetary,breadth,three-quarter lag rule,True,False,True,False,True,recalled
S,arm_B,Q5,991,monetary,breadth,1.8% inflation floor,True,False,True,False,True,recalled
S,arm_B,Q6,992,astronomy,breadth,Kepler Ridge Array,True,False,True,False,True,recalled
S,arm_B,Q6,992,astronomy,breadth,Dr. Elias Varga,True,False,True,False,True,recalled
S,arm_B,Q6,992,astronomy,breadth,18.7 light-years,True,False,True,False,True,recalled
S,arm_B,Q6,992,astronomy,breadth,1.42 GHz hydrogen line,True,False,True,False,True,recalled
S,arm_B,Q6,992,astronomy,breadth,0.031 arcsecond resolution,True,False,True,False,True,recalled
S,arm_B,Q7,993,ecology,breadth,Marrowfen Survey,True,False,True,False,True,recalled
S,arm_B,Q7,993,ecology,breadth,Dr. Nia Okafor,True,False,True,False,True,recalled
S,arm_B,Q7,993,ecology,breadth,38 hectares,True,False,True,False,True,recalled
S,arm_B,Q7,993,ecology,breadth,Sphagnum palustre,True,False,True,False,True,recalled
S,arm_B,Q7,993,ecology,breadth,6.2 millimeters per year,True,False,True,False,True,recalled
S,arm_B,Q8,994,cryptography,breadth,Citrine Handshake,True,False,True,False,True,recalled
S,arm_B,Q8,994,cryptography,breadth,Dr. Yuki Bhandari,True,False,True,False,True,recalled
S,arm_B,Q8,994,cryptography,breadth,192-bit security,True,False,True,False,True,recalled
S,arm_B,Q8,994,cryptography,breadth,ML-KEM-768,True,False,True,False,True,recalled
S,arm_B,Q8,994,cryptography,breadth,11.8 millisecond median latency,True,False,True,False,True,recalled
S,arm_B,Q9,995,geophysics,breadth,Pelican Rift Transect,True,False,True,False,True,recalled
S,arm_B,Q9,995,geophysics,breadth,Dr. Marta Quispe,True,False,True,False,True,recalled
S,arm_B,Q9,995,geophysics,breadth,"4,860 meters depth",True,False,True,False,True,recalled
S,arm_B,Q9,995,geophysics,breadth,24-channel streamer,True,False,True,False,True,recalled
S,arm_B,Q9,995,geophysics,breadth,3.6 centimeters per year,True,False,True,False,True,recalled
S,arm_B,Q10,996,linguistics,breadth,Sable Isogloss Atlas,True,False,True,False,True,recalled
S,arm_B,Q10,996,linguistics,breadth,Professor Idris Chen,True,False,True,False,True,recalled
S,arm_B,Q10,996,linguistics,breadth,43 dialect sites,True,False,True,False,True,recalled
S,arm_B,Q10,996,linguistics,breadth,retroflex lateral marker,True,False,True,False,True,recalled
S,arm_B,Q10,996,linguistics,breadth,AD 1180 divergence,True,False,True,False,True,recalled
S,arm_B,Q11,997,robotics,breadth,Kestrel Rover,True,False,True,False,True,recalled
S,arm_B,Q11,997,robotics,breadth,Dr. Hana Petrov,True,False,True,False,True,recalled
S,arm_B,Q11,997,robotics,breadth,14.2 kilometer range,True,False,True,False,True,recalled
S,arm_B,Q11,997,robotics,breadth,event-camera navigation,True,False,True,False,True,recalled
S,arm_B,Q11,997,robotics,breadth,8.5 centimeter obstacle clearance,True,False,True,False,True,recalled
S,arm_B,Q12,998,conservation,breadth,Blue Atrium Mosaic,True,False,True,False,True,recalled
S,arm_B,Q12,998,conservation,breadth,Dr. Omar Velasquez,True,False,True,False,True,recalled
S,arm_B,Q12,998,conservation,breadth,AD 612,True,False,True,False,True,recalled
S,arm_B,Q12,998,conservation,breadth,calcium-caseinate grout,True,False,True,False,True,recalled
S,arm_B,Q12,998,conservation,breadth,42% relative humidity,True,False,True,False,True,recalled
S,arm_B,Q13,999,breadth,breadth,"Aster Viaduct + 1,126 meters",True,True,False,False,True,recalled
S,arm_B,Q13,999,breadth,breadth,"MERIDIAN-4 cohort + 6,240 participants",False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Vellum Harbor Ledger + 1572,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Northstar Cell + 4.35 volts,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Orchid Corridor model + 2.4% neutral rate,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Kepler Ridge Array + 18.7 light-years,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Marrowfen Survey + 38 hectares,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Citrine Handshake + 192-bit security,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,"Pelican Rift Transect + 4,860 meters depth",False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Sable Isogloss Atlas + 43 dialect sites,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Kestrel Rover + 14.2 kilometer range,False,False,False,False,False,absent
S,arm_B,Q13,999,breadth,breadth,Blue Atrium Mosaic + AD 612,True,True,False,False,False,unused
S,arm_B,Q14,1000,breadth,breadth,Aster Viaduct + Dr. Leena Ortiz,True,True,False,False,True,recalled
S,arm_B,Q14,1000,breadth,breadth,MERIDIAN-4 cohort + Dr. Tomas Ilyin,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Vellum Harbor Ledger + Professor Amira Solano,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Northstar Cell + Dr. Pavel Nwosu,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Orchid Corridor model + Dr. Sanae Morimoto,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Kepler Ridge Array + Dr. Elias Varga,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Marrowfen Survey + Dr. Nia Okafor,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Citrine Handshake + Dr. Yuki Bhandari,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Pelican Rift Transect + Dr. Marta Quispe,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Sable Isogloss Atlas + Professor Idris Chen,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Kestrel Rover + Dr. Hana Petrov,False,False,False,False,False,absent
S,arm_B,Q14,1000,breadth,breadth,Blue Atrium Mosaic + Dr. Omar Velasquez,False,False,False,False,False,absent
