arm,turn,estimated_tokens,tokens_per_second,output_tokens
L,229,8728,12.077559,57
L,230,8302,18.214114,99
L,231,6152,12.668500,45
L,232,10734,8.791801,46
L,233,8070,11.672049,50
L,234,6902,14.469021,60
L,235,7874,15.844652,75
L,236,7074,14.842458,62
L,237,9222,11.608900,57
L,238,5355,16.949031,64
L,239,7044,11.381579,45
L,240,12094,7.925079,46
L,241,9373,12.439331,65
L,242,8263,12.502064,60
L,243,9108,14.126541,75
L,244,8276,13.199051,62
L,245,10681,10.331499,57
L,246,6481,12.702709,50
L,247,7058,15.354454,71
L,248,7222,19.103290,103
L,249,8406,10.169005,47
L,250,7142,16.453890,80
L,251,7283,15.518084,74
L,252,7189,11.623885,49
L,253,8651,10.395536,50
L,254,7313,15.326471,74
L,255,7755,13.780290,65
L,256,9964,12.121522,66
L,257,7338,15.680627,77
L,258,7590,14.702274,71
L,259,7532,18.624869,103
L,260,8782,9.874530,47
L,261,9034,10.053946,50
L,262,7576,12.847611,59
L,263,7885,13.597454,65
L,264,10237,11.945434,66
L,265,7607,15.398268,77
L,266,7943,14.458409,71
L,267,7838,18.287938,103
L,268,9158,9.593968,47
L,269,9387,9.815482,50
L,270,7838,12.596145,59
L,271,8015,13.390838,65
L,272,10510,11.787086,66
L,273,7877,15.166950,77
L,274,8296,13.928009,71
L,275,8144,17.985470,103
L,276,9534,9.340516,47
L,277,9740,9.558854,50
L,278,8100,12.321866,59
L,279,8144,13.225171,65
L,280,10783,11.517742,66
L,281,8146,14.919309,77
L,282,8649,13.469725,71
L,283,8450,17.582462,103
L,284,9910,9.129327,47
L,285,10092,9.236339,50
L,286,8362,12.134301,59
L,287,8274,13.123753,65
L,288,7229,12.089684,51
L,289,9209,13.753423,77
L,290,10097,12.016680,71
L,291,9930,15.748998,103
L,292,11476,7.994978,47
L,293,11540,8.322127,50
L,294,9814,10.639136,59
L,295,9949,11.255819,65
L,296,12404,10.147248,66
L,297,9897,12.901310,77
L,298,10449,11.656303,71
L,299,10236,15.543955,103
L,300,11852,7.889869,47
L,301,11893,8.098460,50
L,302,10077,10.476975,59
L,303,10078,11.144131,65
L,304,12677,10.034035,66
L,305,10167,12.642211,77
L,306,10802,11.467961,71
L,307,10542,15.213446,103
L,308,12228,7.706834,47
L,309,12246,7.943376,50
L,310,10339,10.306729,59
L,311,10208,11.148844,65
L,312,12950,9.886010,66
L,313,10436,12.544835,77
L,314,11155,12.879371,86
L,315,10848,15.027062,103
L,316,12604,7.480289,47
L,317,12599,7.797843,50
L,318,10601,10.167311,59
L,319,10338,11.182906,65
L,320,13223,9.728198,66
L,321,10706,12.304288,77
L,322,11508,11.017681,71
L,323,8568,15.128922,85
L,324,13636,7.066370,47
L,325,13698,7.216890,50
L,326,11731,9.384623,59
L,327,11661,9.985195,65
L,328,14353,9.133041,66
L,329,11836,11.455851,77
L,330,9960,9.684826,54
L,331,12098,11.770854,84
L,332,10727,12.791952,85
L,333,10738,11.449769,73
L,334,13157,7.319260,50
L,335,11579,11.781657,80
L,336,10728,10.972328,69
L,337,14038,9.803544,73
L,338,10818,11.364428,73
L,339,12872,11.399966,84
L,340,11026,12.702914,85
L,341,10868,9.406378,57
L,342,13411,7.187900,50
L,343,11893,11.624624,80
L,344,10875,10.957895,69
L,345,14187,9.790684,73
L,346,11072,11.248581,73
L,347,13618,10.978584,84
L,348,11321,12.368817,85
L,349,10994,9.338416,57
L,350,13665,7.109223,50
L,351,12207,11.408889,80
L,352,11017,10.763545,69
L,353,14336,9.758063,73
L,354,11326,11.045973,73
L,355,14365,10.635756,84
L,356,11616,12.172526,85
L,357,11120,9.234636,57
L,358,13919,7.020706,50
L,359,12521,11.180222,80
L,360,11160,10.873707,69
L,361,14486,9.691571,73
L,362,11580,10.834800,73
L,363,15111,10.276253,84
L,364,11910,12.046730,85
L,365,11246,9.220784,57
L,366,14172,6.965073,50
L,367,12834,11.149860,80
L,368,11302,10.619411,69
L,369,10586,7.493018,42
L,370,12183,10.513212,73
L,371,16173,9.757581,84
L,372,12848,11.420129,85
L,373,12216,8.660037,57
L,374,14953,6.623647,50
L,375,13802,10.478905,80
L,376,12261,10.016186,69
L,377,15479,9.167435,73
L,378,12614,10.239814,73
L,379,16920,9.500665,84
L,380,13143,11.187462,85
L,381,12342,8.526639,57
L,382,15207,6.537263,50
L,383,14116,10.418442,80
L,384,12403,9.933589,69
L,385,15628,9.044844,73
L,386,12868,10.139678,73
L,387,17666,9.222136,84
L,388,13438,11.059707,85
L,389,12468,8.482967,57
L,390,15461,6.472131,50
L,391,14430,10.196612,80
L,392,12546,9.834654,69
L,393,15778,8.959712,73
L,394,13122,10.065929,73
L,395,18412,8.981818,84
L,396,13733,10.896748,85
L,397,12594,8.429401,57
L,398,15714,6.416972,50
L,399,14743,10.052277,80
L,400,12688,9.756693,69
L,401,15927,9.056554,73
L,402,13375,9.836992,73
L,403,19158,8.699962,84
L,404,11345,11.367209,76
L,405,13427,8.102774,57
L,406,16554,6.119180,50
L,407,15771,9.517822,80
L,408,13734,9.229539,69
L,409,16980,8.450903,73
L,410,14215,9.441500,73
L,411,20401,8.308849,84
L,412,12490,7.521447,50
L,413,12932,9.192986,66
L,414,13097,13.699876,115
L,415,13153,6.979770,48
L,416,15134,6.648415,51
L,417,13768,7.624444,55
L,418,16508,8.260607,71
L,419,15690,9.830207,84
L,420,13462,8.932387,66
L,421,13619,9.000154,66
L,422,13414,13.626592,115
L,423,13537,6.817602,48
L,424,15513,6.480995,51
L,425,14040,7.462722,55
L,426,16898,8.120025,71
L,427,16163,9.662422,84
L,428,13961,8.530217,65
L,429,14119,8.628236,66
L,430,13727,13.412463,115
L,431,13918,6.754867,48
L,432,15892,6.310974,51
L,433,14312,7.374533,55
L,434,17285,7.953890,71
L,435,16637,9.462940,84
L,436,14456,8.393430,65
L,437,14623,8.456696,66
L,438,14040,13.276246,115
L,439,14298,6.566464,48
L,440,16270,6.216784,51
L,441,14584,7.241280,55
L,442,17672,7.783269,71
L,443,17110,9.224989,84
L,444,14952,8.132678,65
L,445,15127,8.231824,66
L,446,14353,13.130820,115
L,447,14679,6.440114,48
L,448,16649,6.096156,51
L,449,14856,7.192942,55
L,450,18060,7.707053,71
L,451,12948,7.030517,48
L,452,15966,7.825724,65
L,453,16024,7.816170,66
L,454,15296,12.370865,115
L,455,15577,6.115151,48
L,456,17911,5.688417,51
L,457,15646,6.834197,55
L,458,19148,7.330837,71
L,459,18449,8.705723,84
L,460,16645,7.474347,65
L,461,16527,7.612769,66
L,462,15609,12.277932,115
L,463,15958,5.979465,48
L,464,18290,5.571110,51
L,465,15918,6.781184,55
L,466,19535,7.207334,71
L,467,18923,8.512701,84
L,468,17141,7.332120,65
L,469,17031,7.430617,66
L,470,15922,12.078341,115
L,471,16338,5.845241,48
L,472,18668,6.927505,66
L,473,16190,6.669630,55
L,474,19923,7.087815,71
L,475,19396,8.348634,84
L,476,17636,7.187638,65
L,477,17535,7.329554,66
L,478,16235,11.941741,115
L,479,16719,5.761061,48
L,480,19047,5.459656,51
L,481,16462,6.565153,55
L,482,20310,7.021173,71
L,483,19869,8.221516,84
L,484,18132,7.060241,65
L,485,18039,7.184358,66
L,486,13877,11.161133,89
L,487,17603,5.564086,48
L,488,20364,5.133433,51
L,489,17461,6.288795,55
L,490,21455,6.684270,71
L,491,20946,7.860535,84
L,492,19386,6.660458,65
L,493,15134,6.211574,49
L,494,15066,9.089752,77
L,495,15020,11.282256,101
L,496,15067,5.960326,46
L,497,17476,5.438171,48
L,498,17402,9.872646,96
L,499,15006,7.287317,59
L,500,15570,9.252924,80
L,501,15366,8.651529,73
L,502,15148,8.427513,70
L,503,18409,7.386238,70
L,504,14968,8.454105,68
L,505,15571,8.985323,77
L,506,15320,11.244275,101
L,507,15179,5.929813,46
L,508,17858,5.355866,48
L,509,17550,8.290436,78
L,510,15143,7.292319,59
L,511,18840,7.276350,70
L,512,15256,8.329343,68
L,513,15960,8.776295,77
L,514,15617,10.960163,101
L,515,15287,5.938399,46
L,516,18240,5.267492,48
L,517,17698,8.229977,78
L,518,15276,7.269987,59
L,519,19239,7.155546,70
L,520,15544,8.175290,68
L,521,16350,8.520192,77
L,522,15914,10.907957,101
L,523,15395,5.851726,46
L,524,18621,5.150181,48
L,525,17847,9.494520,94
L,526,15409,7.182531,59
L,527,19637,7.025019,70
L,528,15832,8.112869,68
L,529,16740,8.450634,77
L,530,16211,10.760708,101
L,531,15504,5.851750,46
L,532,19003,5.102953,48
L,533,17995,8.132493,78
L,534,15542,7.122011,59
L,535,15669,5.727303,46
L,536,15853,8.149947,68
L,537,16938,8.429753,77
L,538,16362,10.696077,101
L,539,15547,5.800197,46
L,540,19297,4.961740,48
L,541,18127,9.334575,94
L,542,15707,7.090377,59
L,543,21010,6.601118,70
L,544,16306,7.927580,68
L,545,17327,8.274572,77
L,546,16658,10.700185,101
L,547,15655,5.779069,46
L,548,19679,4.912274,48
L,549,18275,9.331092,94
L,550,15840,7.071133,59
L,551,21409,6.545869,70
L,552,16594,7.821524,68
L,553,17717,8.178105,77
L,554,16955,10.521378,101
L,555,15764,5.765268,46
L,556,20061,4.834707,48
L,557,18424,9.258732,94
L,558,15973,7.020469,59
L,559,21807,6.444911,70
L,560,16882,7.739971,68
L,561,18107,8.027637,77
L,562,17252,10.367156,101
L,563,15872,5.739860,46
L,564,20443,4.788485,48
L,565,18572,7.935141,78
L,566,16106,6.981672,59
L,567,22206,6.331269,70
L,568,17170,7.571761,68
L,569,18497,7.898563,77
L,570,16089,10.346117,96
L,571,15893,5.728620,46
L,572,20815,4.707968,48
L,573,18629,7.933475,78
L,574,15924,7.152645,59
L,575,22488,6.316867,70
L,576,17476,7.513783,68
L,577,14949,6.610267,52
L,578,14705,9.733832,81
L,579,14732,11.383138,99
L,580,14754,6.976254,53
L,581,17413,5.681240,50
L,582,14982,9.240155,77
L,583,17140,8.534235,78
L,584,20433,7.849930,83
L,585,15124,10.390070,90
L,586,15299,7.635874,62
L,587,15486,11.045020,99
L,588,15039,6.826236,53
L,589,18115,5.510641,50
L,590,15425,8.978399,77
L,591,17514,8.433078,79
L,592,20877,7.710250,83
L,593,15831,8.680710,75
L,594,16006,7.424092,62
L,595,16236,10.713019,99
L,596,15320,6.709026,53
L,597,18818,5.361659,50
L,598,15869,8.822694,77
L,599,17890,8.316960,79
L,600,21321,7.602524,83
L,601,16538,8.488201,75
L,602,16713,7.208286,62
L,603,16986,10.475651,99
L,604,15601,6.633422,53
L,605,19521,5.232582,50
L,606,16312,9.936109,92
L,607,18265,8.152393,79
L,608,21764,7.458290,83
L,609,17245,8.241221,75
L,610,17420,8.305460,77
L,611,17737,10.126739,99
L,612,15882,6.566333,53
L,613,20223,5.098288,50
L,614,16756,8.478273,77
L,615,18640,8.049625,79
L,616,16221,5.678475,47
L,617,17915,8.007958,75
L,618,18001,6.817011,62
L,619,18413,9.882853,99
L,620,16026,6.522235,53
L,621,20823,5.002708,50
L,622,17125,8.319883,77
L,623,18989,7.922811,79
L,624,22546,7.286319,83
L,625,18622,7.772209,75
L,626,18708,6.663603,62
L,627,19163,9.598799,99
L,628,16307,6.412909,53
L,629,21525,4.834428,50
L,630,17569,8.215163,77
L,631,19364,7.839515,79
L,632,22990,7.183691,83
L,633,19329,7.603364,75
L,634,19415,6.457967,62
L,635,19913,9.361386,99
L,636,16588,6.355708,53
L,637,22228,4.744993,50
L,638,18012,9.265317,92
L,639,19740,7.669134,79
L,640,23433,7.118388,83
L,641,20036,7.379279,75
L,642,20122,6.273435,62
L,643,20664,9.118961,99
L,644,16869,6.267519,53
L,645,22931,4.614257,50
L,646,18456,9.160796,92
L,647,20115,7.636311,79
L,648,23877,6.982518,83
L,649,20743,7.188465,75
L,650,20829,7.323220,77
L,651,15445,8.927151,75
L,652,17140,6.194448,53
L,653,23467,4.567558,50
L,654,18703,9.169860,92
L,655,20457,7.544923,79
L,656,24263,6.915142,83
L,657,21327,7.063702,75
L,658,21627,7.150748,77
L,659,15079,6.779773,54
L,660,17406,7.876785,70
L,661,14566,12.769817,115
L,662,15811,6.125694,49
L,663,21004,6.117569,67
L,664,14770,9.062282,74
L,665,18758,6.350226,59
L,666,20956,6.679361,69
L,667,14470,9.103249,72
L,668,17861,7.751750,70
L,669,14769,12.741281,115
L,670,16069,6.072543,49
L,671,21385,4.860185,52
L,672,15175,8.953644,74
L,673,18895,6.330053,59
L,674,21095,6.617373,69
L,675,14759,8.976796,72
L,676,18265,7.651232,70
L,677,14967,12.585459,115
L,678,16326,5.964965,49
L,679,21765,4.773239,52
L,680,15579,8.738084,74
L,681,19031,6.276356,59
L,682,21233,6.572878,69
L,683,15044,8.811361,72
L,684,18670,7.471324,70
L,685,15166,12.545261,115
L,686,16584,5.928020,49
L,687,22146,4.711860,52
L,688,15984,8.554432,74
L,689,19167,6.218945,59
L,690,21372,6.588144,69
L,691,15329,8.767208,72
L,692,19074,7.346159,70
L,693,15364,12.415484,115
L,694,16841,5.881010,49
L,695,22527,4.640223,52
L,696,16388,8.448146,74
L,697,19303,6.193976,59
L,698,15987,5.621643,45
L,699,15595,8.647214,72
L,700,19419,7.250204,70
L,701,15550,12.302679,115
L,702,16856,5.898338,49
L,703,22741,4.645643,52
L,704,16625,8.469233,74
L,705,19368,6.185176,59
L,706,21425,6.545148,69
L,707,15773,8.499594,72
L,708,19823,7.154073,70
L,709,15749,12.187546,115
L,710,17114,5.827826,49
L,711,23122,4.547783,52
L,712,17029,8.307311,74
L,713,19504,6.147347,59
L,714,21564,6.549990,69
L,715,16058,8.482731,72
L,716,20228,7.050834,70
L,717,15947,12.132391,115
L,718,17371,5.751903,49
L,719,23503,4.492716,52
L,720,17434,8.118735,74
L,721,19640,6.109928,59
L,722,21702,6.495406,69
L,723,16343,8.367045,72
L,724,20632,7.005880,70
L,725,16146,11.958860,115
L,726,17629,5.722436,49
L,727,23884,4.431015,52
L,728,17838,7.951573,74
L,729,19777,6.085123,59
L,730,21841,6.436515,69
L,731,16627,8.302083,72
L,732,21037,6.839266,70
L,733,16100,9.693653,85
L,734,17729,5.719116,49
L,735,24455,4.365618,52
L,736,18274,7.857463,74
L,737,19738,6.181875,59
L,738,21876,6.510817,69
L,739,16916,8.105597,72
L,740,14993,6.445988,51
L,741,14396,5.469398,38
L,742,16313,11.793170,112
L,743,14257,8.645656,65
L,744,24396,3.681117,43
L,745,15974,8.232449,69
L,746,22145,6.112698,65
L,747,19630,7.566224,75
L,748,14797,9.689641,81
L,749,15050,7.479024,57
L,750,15707,9.262410,80
L,751,15198,9.009932,75
L,752,14967,10.709762,95
L,753,16798,11.487353,112
L,754,14729,8.457483,65
L,755,24629,3.655459,43
L,756,16595,8.017603,69
L,757,22284,6.021114,65
L,758,19919,7.452750,75
L,759,15226,7.942100,64
L,760,15671,7.316800,57
L,761,17305,11.307415,112
L,762,15075,8.322825,65
L,763,24862,3.630236,43
L,764,17217,7.789313,69
L,765,22423,6.030285,65
L,766,20209,7.414202,75
L,767,15655,7.796813,64
L,768,16293,7.009591,57
L,769,17801,11.156930,112
L,770,15420,8.200831,65
L,771,25095,3.611401,43
L,772,17839,7.579622,69
L,773,22562,5.970901,65
L,774,20498,7.315463,75
L,775,16084,7.626056,64
L,776,16915,8.302783,73
L,777,18298,10.985113,112
L,778,15765,8.058961,65
L,779,25329,3.556134,43
L,780,18461,7.399402,69
L,781,22700,5.926177,65
L,782,15598,5.446323,42
L,783,16503,7.498618,64
L,784,17479,6.601994,57
L,785,18469,10.929010,112
L,786,16135,8.019105,65
L,787,25704,3.484999,43
L,788,18998,8.711412,86
L,789,22891,5.912732,65
L,790,20799,7.259188,75
L,791,16812,7.372255,64
L,792,18100,7.979218,73
L,793,18965,10.792813,112
L,794,16480,7.820666,65
L,795,25937,3.458580,43
L,796,19620,8.445258,85
L,797,23030,5.883792,65
L,798,21088,7.196402,75
L,799,17241,7.235503,64
L,800,18722,7.756615,73
L,801,19461,10.623074,112
L,802,16825,7.741020,65
L,803,26171,3.431232,43
L,804,20242,6.942687,69
L,805,23169,5.870965,65
L,806,21378,7.142553,75
L,807,17670,7.187391,64
L,808,19344,7.601822,73
L,809,19957,10.428237,112
L,810,17170,7.599742,65
L,811,26404,3.399940,43
L,812,20864,6.768303,69
L,813,23308,5.808706,65
L,814,21667,7.090901,75
L,815,18098,7.044747,64
L,816,19966,7.475858,73
L,817,17033,9.886112,92
L,818,17483,7.540833,65
L,819,26572,3.402488,43
L,820,21281,6.724607,69
L,821,23369,5.873361,65
L,822,21837,7.110042,75
L,823,18450,6.939722,64
L,824,20306,5.956344,57
L,825,15326,6.390943,52
L,826,14196,8.684066,66
L,827,14427,12.276348,107
L,828,14473,9.445982,76
L,829,17268,4.987180,43
L,830,14522,10.007163,81
L,831,16666,7.493107,65
L,832,17481,7.380319,67
L,833,15031,7.752899,63
L,834,14731,8.481098,66
L,835,14707,12.131710,107
L,836,14595,7.885646,61
L,837,17652,4.897250,43
L,838,14900,9.827337,81
L,839,16810,7.443297,65
L,840,18029,7.182822,67
L,841,15589,7.627701,63
L,842,15248,8.296235,66
L,843,14983,11.957253,107
L,844,14713,7.825266,61
L,845,18036,4.811094,43
L,846,15277,9.597888,81
L,847,16953,7.413003,65
L,848,18577,7.117860,67
L,849,16146,7.432413,63
L,850,15764,8.125707,66
L,851,15259,11.838091,107
L,852,14831,7.782369,61
L,853,18419,4.743007,43
L,854,15655,9.433223,81
L,855,17097,7.286961,65
L,856,19126,6.964802,67
L,857,16703,7.239797,63
L,858,16280,7.903640,66
L,859,15536,11.682167,107
L,860,14949,7.706252,61
L,861,18803,4.682327,43
L,862,16033,9.360547,81
L,863,17241,7.303081,65
L,864,15411,5.500866,42
L,865,17203,7.165446,63
L,866,16684,7.792365,66
L,867,15668,11.736660,107
L,868,14940,7.853622,61
L,869,19260,4.569645,43
L,870,16395,9.145129,81
L,871,17491,7.240019,65
L,872,19953,6.804843,67
L,873,17790,6.964994,63
L,874,17200,7.575778,66
L,875,15944,11.600914,107
L,876,15058,7.768099,61
L,877,19644,4.497955,43
L,878,16772,8.982174,81
L,879,17635,7.183578,65
L,880,20501,6.650082,67
L,881,18348,6.763756,63
L,882,17717,7.377386,66
L,883,16220,11.581833,107
L,884,15176,7.736762,61
L,885,20028,4.441227,43
L,886,17150,8.924248,81
L,887,17779,7.206017,65
L,888,21049,6.476827,67
L,889,18905,6.642647,63
L,890,18233,7.228431,66
L,891,16496,11.373902,107
L,892,15294,7.677572,61
L,893,20412,4.384599,43
L,894,17528,8.706861,81
L,895,17923,7.131483,65
L,896,21597,6.338492,67
L,897,19462,6.487061,63
L,898,18749,7.108498,66
L,899,16028,9.433384,82
L,900,15303,7.702634,61
L,901,20793,4.324396,43
L,902,17842,8.669008,81
L,903,17910,7.202368,65
L,904,22064,6.288092,67
L,905,19719,6.533855,63
L,906,15119,6.537889,52
L,907,15725,9.937723,85
L,908,14243,10.415515,83
L,909,19852,6.999133,68
L,910,20994,4.438192,46
L,911,15493,9.669099,82
L,912,20338,6.898788,69
L,913,25910,7.494033,95
L,914,14726,10.564683,91
L,915,16077,9.913330,85
L,916,14405,10.367773,83
L,917,20290,5.501357,52
L,918,21524,4.319104,46
L,919,15640,9.609974,82
L,920,20621,6.788588,69
L,921,26065,6.092552,75
L,922,14884,9.049617,75
L,923,16384,9.701794,85
L,924,14563,10.308081,83
L,925,20727,5.408953,52
L,926,22054,4.256412,46
L,927,15787,9.569928,82
L,928,20904,6.726136,69
L,929,26219,6.055624,75
L,930,15039,8.902282,75
L,931,16691,9.610824,85
L,932,14721,10.326040,83
L,933,21164,5.328840,52
L,934,22583,4.157854,46
L,935,15933,9.465215,82
L,936,21187,6.628764,69
L,937,26373,6.032337,75
L,938,15194,8.880481,75
L,939,16998,9.571552,85
L,940,14880,10.086904,83
L,941,21601,5.203234,52
L,942,23113,4.090877,46
L,943,16080,9.448774,82
L,944,21470,6.569630,69
L,945,15774,5.343510,42
L,946,15400,8.914964,75
L,947,17387,9.283824,85
L,948,15121,9.994303,83
L,949,21932,5.172382,52
L,950,23551,3.997410,46
L,951,16161,9.393507,82
L,952,21694,6.540138,69
L,953,26527,6.008100,75
L,954,15669,8.673778,75
L,955,17694,9.156539,85
L,956,15279,9.932329,83
L,957,22369,5.087411,52
L,958,24081,3.944674,46
L,959,16308,9.332186,82
L,960,21977,6.494720,69
L,961,26681,5.983887,75
L,962,15824,8.599130,75
L,963,18001,9.060044,85
L,964,15437,10.008562,83
L,965,22806,5.002861,52
L,966,24611,3.874780,46
L,967,16455,9.283439,82
L,968,22260,6.434143,69
L,969,26835,5.957869,75
L,970,15978,8.557272,75
L,971,18308,8.948966,85
L,972,15596,9.922916,83
L,973,23243,4.954185,52
L,974,25140,3.795421,46
L,975,16602,9.240146,82
L,976,22543,6.348777,69
L,977,26990,5.928641,75
L,978,16133,8.512507,75
L,979,18615,8.887102,85
L,980,15859,9.527643,80
L,981,23629,4.895452,52
L,982,25561,3.744127,46
L,983,16757,9.200799,82
L,984,22816,6.287330,69
L,985,27154,5.917068,75
L,986,16287,8.481147,75
L,987,15807,9.214676,80
L,988,16608,8.547205,78
L,989,16220,8.238069,72
L,990,17924,8.594597,82
L,991,15162,9.205902,77
L,992,17948,8.224540,79
L,993,16430,8.552813,76
L,994,17575,8.507363,80
L,995,16097,8.998145,80
L,996,17439,8.050408,74
