turn,store_episodes,delivered_chars,chars_wanted,episodes_delivered,episodes_dropped,truncated,over_budget
163,163,31679,35071,69,7,True,False
164,164,31826,38978,71,19,True,False
165,165,31896,39909,70,20,True,False
166,166,31618,41111,66,21,True,False
167,167,31977,41177,73,21,True,False
168,168,31782,39050,75,17,True,False
169,169,31781,39933,71,18,True,False
170,170,31763,37618,68,15,True,False
171,171,31909,37279,69,11,True,False
172,172,32000,39203,73,16,True,False
173,173,31857,37777,70,15,True,False
174,174,31941,40541,67,19,True,False
175,175,31772,39380,72,17,True,False
176,176,31862,38284,76,15,True,False
177,177,31793,38670,72,15,True,False
178,178,31841,36067,69,11,True,False
179,179,31810,35882,69,8,True,False
180,180,32000,36502,73,11,True,False
181,181,31758,35444,70,9,True,False
182,182,31736,37927,67,14,True,False
183,183,31825,37197,73,13,True,False
184,184,31850,37965,77,14,True,False
185,185,31702,35836,72,10,True,False
186,186,31776,34998,69,6,True,False
187,187,31905,34195,70,5,True,False
188,188,31978,33709,73,5,True,False
189,189,31791,33945,70,5,True,False
190,190,31874,35076,68,7,True,False
191,191,31963,34587,74,6,True,False
192,192,31805,37788,78,13,True,False
193,193,31938,33334,73,4,True,False
194,194,31767,32303,70,1,True,False
195,195,31949,31949,70,0,False,False
196,196,31841,31841,71,0,False,False
197,197,31824,31824,70,0,False,False
198,198,31848,33122,68,3,True,False
199,199,31750,33107,74,3,True,False
200,200,31849,37599,80,11,True,False
201,201,31719,33251,72,4,True,False
202,202,31983,31983,72,0,False,False
203,203,31939,33941,81,4,True,False
204,204,31994,31994,73,0,False,False
205,205,31830,33887,71,4,True,False
206,206,31902,33096,68,3,True,False
207,207,31784,33078,75,3,True,False
208,208,31741,37783,80,12,True,False
209,209,31822,33936,72,5,True,False
210,210,31894,31894,73,0,False,False
211,211,31924,32409,72,1,True,False
212,212,31893,32701,73,2,True,False
213,213,31881,35025,72,6,True,False
214,214,31871,33127,67,3,True,False
215,215,31972,34594,75,6,True,False
216,216,31969,37664,81,12,True,False
217,217,31843,36243,72,9,True,False
218,218,31733,32645,73,2,True,False
219,219,31796,33947,71,6,True,False
220,220,31594,32968,72,3,True,False
221,221,31969,35076,72,7,True,False
222,222,31659,35061,66,8,True,False
223,223,31985,36539,75,10,True,False
224,224,31961,37546,81,13,True,False
225,225,31864,36981,72,12,True,False
226,226,31833,34564,74,6,True,False
227,227,31856,35033,70,9,True,False
228,228,31882,33090,73,3,True,False
229,229,31776,35206,70,10,True,False
230,230,31735,36695,65,13,True,False
231,231,31740,37856,74,14,True,False
232,232,31872,38722,81,16,True,False
233,233,31914,38437,72,15,True,False
234,234,31900,36268,74,11,True,False
235,235,31770,36289,69,11,True,False
236,236,31912,33106,73,3,True,False
237,237,31899,36349,69,12,True,False
238,238,31666,34091,72,5,True,False
239,239,31963,37908,74,14,True,False
240,240,31725,39066,81,17,True,False
241,241,31908,39186,72,17,True,False
242,242,31687,36687,74,13,True,False
243,243,31982,37300,69,13,True,False
244,244,31818,33111,72,3,True,False
245,245,31980,36350,71,9,True,False
246,246,31885,43470,82,26,True,False
247,247,31958,40025,74,21,True,False
248,248,31847,42237,65,26,True,False
249,249,31920,42541,76,22,True,False
250,250,31993,44679,82,31,True,False
251,251,31750,39153,74,22,True,False
252,252,31976,40033,74,19,True,False
253,253,31974,41844,85,19,True,False
254,254,31750,40877,77,19,True,False
255,255,31809,38519,76,13,True,False
256,256,31999,39392,72,18,True,False
257,257,31983,38504,74,13,True,False
258,258,31809,37601,73,16,True,False
259,259,31982,40074,65,21,True,False
260,260,31683,39094,76,17,True,False
261,261,31854,39860,85,16,True,False
262,262,31924,37784,77,12,True,False
263,263,31982,38010,76,12,True,False
264,264,31969,37259,71,15,True,False
265,265,31887,36932,74,10,True,False
266,266,31723,36621,72,14,True,False
267,267,31907,38653,64,18,True,False
268,268,31729,36986,76,12,True,False
269,269,31923,38874,85,14,True,False
270,270,31539,35297,76,7,True,False
271,271,31986,37364,76,11,True,False
272,272,31991,36956,70,15,True,False
273,273,31744,34364,73,5,True,False
274,274,31892,36083,72,12,True,False
275,275,31850,38287,63,17,True,False
276,276,31908,35921,76,9,True,False
277,277,31716,37440,84,12,True,False
278,278,31791,32644,76,2,True,False
279,279,31948,37177,76,10,True,False
280,280,31796,35922,69,10,True,False
281,281,31906,32429,74,1,True,False
282,282,31973,35412,72,8,True,False
283,283,31956,38318,63,15,True,False
284,284,31610,35858,75,9,True,False
285,285,31753,37984,83,14,True,False
286,286,31993,31993,75,0,False,False
287,287,31810,37978,75,13,True,False
288,288,31995,36487,83,14,True,False
289,289,31870,34577,74,6,True,False
290,290,31791,38003,71,14,True,False
291,291,31847,38252,63,14,True,False
292,292,31669,36568,76,10,True,False
293,293,31807,38059,83,15,True,False
294,294,31991,33340,75,3,True,False
295,295,31832,38136,75,15,True,False
296,296,31873,36586,70,10,True,False
297,297,31803,36285,74,10,True,False
298,298,31807,39150,71,17,True,False
299,299,31820,38127,63,13,True,False
300,300,31755,36909,77,10,True,False
301,301,31989,38049,84,15,True,False
302,302,31767,35766,74,9,True,False
303,303,31861,39829,75,19,True,False
304,304,31951,38738,70,16,True,False
305,305,31762,36362,72,13,True,False
306,306,31965,39130,72,16,True,False
307,307,31786,39591,63,16,True,False
308,308,31810,36877,77,10,True,False
309,309,31893,38129,84,15,True,False
310,310,31823,38182,74,14,True,False
311,311,31861,39974,75,20,True,False
312,312,31976,39853,70,19,True,False
313,313,31990,36159,73,11,True,False
314,314,31971,39111,72,16,True,False
315,315,31933,39593,63,16,True,False
316,316,31967,38752,78,13,True,False
317,317,31711,37966,84,14,True,False
318,318,31935,38734,74,15,True,False
319,319,31861,40898,75,23,True,False
320,320,31937,40128,70,18,True,False
321,321,31923,36345,73,10,True,False
322,322,31939,39235,72,16,True,False
323,323,31780,37725,75,16,True,False
324,324,31933,38845,78,15,True,False
325,325,31879,39393,85,17,True,False
326,326,31965,38641,74,16,True,False
327,327,31873,41538,75,25,True,False
328,328,31866,40925,70,20,True,False
329,329,31768,37500,73,13,True,False
330,330,31902,44250,77,27,True,False
331,331,31729,43509,71,29,True,False
332,332,31767,43411,62,23,True,False
333,333,31947,43215,77,24,True,False
334,334,31933,41891,85,21,True,False
335,335,31704,42705,72,26,True,False
336,336,31831,41859,74,22,True,False
337,337,31955,40684,69,20,True,False
338,338,31931,41529,82,23,True,False
339,339,31945,40589,71,21,True,False
340,340,31959,40631,62,15,True,False
341,341,31882,40449,76,18,True,False
342,342,31708,40129,84,18,True,False
343,343,31768,40021,71,19,True,False
344,344,31848,38541,73,16,True,False
345,345,31879,38155,68,15,True,False
346,346,31774,38212,80,17,True,False
347,347,31953,37366,70,12,True,False
348,348,31955,38629,61,11,True,False
349,349,31659,37393,75,12,True,False
350,350,31772,38636,84,14,True,False
351,351,31736,37309,70,13,True,False
352,352,31865,36964,72,13,True,False
353,353,31816,35365,67,8,True,False
354,354,31888,37557,79,16,True,False
355,355,31999,35287,69,7,True,False
356,356,31950,36067,60,7,True,False
357,357,31899,34730,75,6,True,False
358,358,31573,38041,83,13,True,False
359,359,31800,36421,69,11,True,False
360,360,31900,37976,71,15,True,False
361,361,31837,35583,66,8,True,False
362,362,31924,37980,77,18,True,False
363,363,31693,36792,67,11,True,False
364,364,31997,34841,59,6,True,False
365,365,31895,35388,72,10,True,False
366,366,31623,39617,82,17,True,False
367,367,31950,36178,68,10,True,False
368,368,31991,40259,70,20,True,False
369,369,31881,38042,73,19,True,False
370,370,31770,39553,77,21,True,False
371,371,31989,38787,66,16,True,False
372,372,31830,37853,59,12,True,False
373,373,31987,36904,71,14,True,False
374,374,31685,39107,82,16,True,False
375,375,31890,38303,68,14,True,False
376,376,31980,41532,70,23,True,False
377,377,31837,39040,66,14,True,False
378,378,31835,39507,78,19,True,False
379,379,31713,38701,64,17,True,False
380,380,31830,39500,59,15,True,False
381,381,31769,36890,68,14,True,False
382,382,31995,38990,83,15,True,False
383,383,31917,40785,68,19,True,False
384,384,31983,42687,70,25,True,False
385,385,31837,41239,66,18,True,False
386,386,31997,39422,77,17,True,False
387,387,31859,38790,64,17,True,False
388,388,31830,41065,59,18,True,False
389,389,31717,36858,68,12,True,False
390,390,31910,40778,83,19,True,False
391,391,31946,40578,68,18,True,False
392,392,31991,43189,70,26,True,False
393,393,31837,41213,66,18,True,False
394,394,31861,39477,74,19,True,False
395,395,31921,38750,64,15,True,False
396,396,31830,41022,59,18,True,False
397,397,31959,37550,69,10,True,False
398,398,31734,41260,83,20,True,False
399,399,31655,40584,67,18,True,False
400,400,31657,43075,69,26,True,False
401,401,31975,42819,66,21,True,False
402,402,31758,40053,70,24,True,False
403,403,31960,39345,64,15,True,False
404,404,31955,38536,65,14,True,False
405,405,31743,39125,68,14,True,False
406,406,31774,41743,83,21,True,False
407,407,31961,40628,67,17,True,False
408,408,31888,43077,69,25,True,False
409,409,31975,42995,66,21,True,False
410,410,31887,39485,69,25,True,False
411,411,31960,40688,64,17,True,False
412,412,31820,47115,73,37,True,False
413,413,31656,42366,64,24,True,False
414,414,31934,45152,59,23,True,False
415,415,31998,44434,74,27,True,False
416,416,31695,43094,84,24,True,False
417,417,31997,43988,70,25,True,False
418,418,31823,42927,72,25,True,False
419,419,31660,42347,66,23,True,False
420,420,31726,40823,63,23,True,False
421,421,31671,39370,65,17,True,False
422,422,31868,43466,59,19,True,False
423,423,31953,40531,74,20,True,False
424,424,31829,41072,85,20,True,False
425,425,31802,40196,70,18,True,False
426,426,31628,40759,72,20,True,False
427,427,31916,38224,67,13,True,False
428,428,31783,37446,63,13,True,False
429,429,31622,39056,65,17,True,False
430,430,31821,41896,59,17,True,False
431,431,31795,37042,74,13,True,False
432,432,31926,39866,86,17,True,False
433,433,31595,38142,70,14,True,False
434,434,31858,40803,73,20,True,False
435,435,31709,37725,67,12,True,False
436,436,31869,34600,64,5,True,False
437,437,31956,36756,66,12,True,False
438,438,31994,39733,60,13,True,False
439,439,31759,34468,74,7,True,False
440,440,31913,39034,87,15,True,False
441,441,31938,37159,71,12,True,False
442,442,31651,37905,73,14,True,False
443,443,31953,37587,68,11,True,False
444,444,31723,33007,64,2,True,False
445,445,31732,37402,65,15,True,False
446,446,31881,38044,60,11,True,False
447,447,31733,32577,74,2,True,False
448,448,31832,39283,88,15,True,False
449,449,31743,36716,71,10,True,False
450,450,31783,37842,73,14,True,False
451,451,31779,35227,81,10,True,False
452,452,31983,33909,67,3,True,False
453,453,31881,39106,66,18,True,False
454,454,31832,40190,61,15,True,False
455,455,31874,32805,74,2,True,False
456,456,31713,39226,88,15,True,False
457,457,31918,37565,73,10,True,False
458,458,31944,40144,74,19,True,False
459,459,31899,41080,68,20,True,False
460,460,31758,33876,67,4,True,False
461,461,31869,39533,66,19,True,False
462,462,31990,40687,62,15,True,False
463,463,31533,34927,75,6,True,False
464,464,31983,39814,89,15,True,False
465,465,31653,37508,72,11,True,False
466,466,31944,41157,74,21,True,False
467,467,31899,41157,68,20,True,False
468,468,31840,33481,68,3,True,False
469,469,31999,39588,66,19,True,False
470,470,31866,40624,62,15,True,False
471,471,31861,36291,76,9,True,False
472,472,31920,40890,89,18,True,False
473,473,31695,38166,72,13,True,False
474,474,31944,41129,74,21,True,False
475,475,31899,42144,68,22,True,False
476,476,31794,34505,69,5,True,False
477,477,31852,39460,65,19,True,False
478,478,31874,40731,62,16,True,False
479,479,31701,37917,75,14,True,False
480,480,31673,41230,89,19,True,False
481,481,31596,40208,72,17,True,False
482,482,31944,42617,74,24,True,False
483,483,31979,43063,68,24,True,False
484,484,31917,36364,69,10,True,False
485,485,31908,41422,65,23,True,False
486,486,31964,37045,67,12,True,False
487,487,31925,38654,75,16,True,False
488,488,31931,41834,90,21,True,False
489,489,31982,39802,73,17,True,False
490,490,31953,43324,74,24,True,False
491,491,31971,44706,68,28,True,False
492,492,31993,35657,69,9,True,False
493,493,31904,46225,80,32,True,False
494,494,31810,44314,69,26,True,False
495,495,31924,45326,61,23,True,False
496,496,31999,43907,76,27,True,False
497,497,31710,43845,90,26,True,False
498,498,31840,43383,71,26,True,False
499,499,31989,44392,74,26,True,False
500,500,31883,45101,80,33,True,False
501,501,31904,42679,73,30,True,False
502,502,31849,42611,73,24,True,False
503,503,31917,41720,69,20,True,False
504,504,31972,42020,69,22,True,False
505,505,31752,42191,69,21,True,False
506,506,31750,43382,61,19,True,False
507,507,31851,40866,78,19,True,False
508,508,31878,40978,92,19,True,False
509,509,31959,40404,72,20,True,False
510,510,31831,43094,75,24,True,False
511,511,31913,40759,69,17,True,False
512,512,31968,39332,69,16,True,False
513,513,31839,41707,69,20,True,False
514,514,31398,42629,60,18,True,False
515,515,31873,39178,78,15,True,False
516,516,31783,39671,92,16,True,False
517,517,31955,39716,72,19,True,False
518,518,31934,42855,75,23,True,False
519,519,31501,40997,68,18,True,False
520,520,31862,36647,69,10,True,False
521,521,31650,41330,68,20,True,False
522,522,31752,41771,61,16,True,False
523,523,31676,37950,77,14,True,False
524,524,31815,38322,92,13,True,False
525,525,31635,38394,71,16,True,False
526,526,31802,42690,74,23,True,False
527,527,31486,41518,68,19,True,False
528,528,31904,36223,69,9,True,False
529,529,31713,41205,68,20,True,False
530,530,31744,42666,60,19,True,False
531,531,31864,38747,75,18,True,False
532,532,31945,38847,90,16,True,False
533,533,31942,39923,72,17,True,False
534,534,31755,43294,73,25,True,False
535,535,31979,39967,74,21,True,False
536,536,31895,36725,69,10,True,False
537,537,31970,42048,68,22,True,False
538,538,31674,42655,60,19,True,False
539,539,31941,38878,75,19,True,False
540,540,31853,39660,89,19,True,False
541,541,31579,40921,72,19,True,False
542,542,31961,43559,74,25,True,False
543,543,31917,45257,68,27,True,False
544,544,31837,36687,69,10,True,False
545,545,31672,41995,67,23,True,False
546,546,31694,42646,60,19,True,False
547,547,31736,38698,74,19,True,False
548,548,31854,39318,89,19,True,False
549,549,31652,40871,72,18,True,False
550,550,31961,43492,74,25,True,False
551,551,31917,45392,68,27,True,False
552,552,31824,37532,68,13,True,False
553,553,31906,41807,67,23,True,False
554,554,31864,42741,61,19,True,False
555,555,31818,38467,76,15,True,False
556,556,32000,40970,90,22,True,False
557,557,31941,40327,72,16,True,False
558,558,31961,44293,74,27,True,False
559,559,31917,44831,68,26,True,False
560,560,31909,37474,68,13,True,False
561,561,31906,42230,67,24,True,False
562,562,31884,43126,61,20,True,False
563,563,31781,38655,75,15,True,False
564,564,31936,41496,90,23,True,False
565,565,31934,40439,72,16,True,False
566,566,31961,45345,74,30,True,False
567,567,31962,44440,68,25,True,False
568,568,31920,38014,69,13,True,False
569,569,31817,42386,67,24,True,False
570,570,31853,36332,68,13,True,False
571,571,31732,39102,74,16,True,False
572,572,31908,41694,90,24,True,False
573,573,31875,39895,72,15,True,False
574,574,31687,45972,73,32,True,False
575,575,31994,43748,68,24,True,False
576,576,31777,37349,69,11,True,False
577,577,31887,46276,80,39,True,False
578,578,31948,45727,67,32,True,False
579,579,31813,44192,60,20,True,False
580,580,31920,43902,75,32,True,False
581,581,31802,43674,91,27,True,False
582,582,31981,42834,70,26,True,False
583,583,31861,44001,75,25,True,False
584,584,31581,42238,66,21,True,False
585,585,31876,42970,68,24,True,False
586,586,31899,41976,66,24,True,False
587,587,31786,42671,59,18,True,False
588,588,31844,42063,74,28,True,False
589,589,31737,42238,90,25,True,False
590,590,31901,41505,69,23,True,False
591,591,31906,44470,75,26,True,False
592,592,31807,41508,66,19,True,False
593,593,31694,40387,67,19,True,False
594,594,31955,39788,66,18,True,False
595,595,31946,42869,59,18,True,False
596,596,31971,41039,74,24,True,False
597,597,31963,42016,90,25,True,False
598,598,31616,40003,68,19,True,False
599,599,31825,44839,74,27,True,False
600,600,31963,41248,66,18,True,False
601,601,31989,37506,67,12,True,False
602,602,31942,37477,65,12,True,False
603,603,31886,42821,59,18,True,False
604,604,31940,39743,73,21,True,False
605,605,31968,41850,89,25,True,False
606,606,31911,38791,68,15,True,False
607,607,31631,45583,73,29,True,False
608,608,31812,40485,65,17,True,False
609,609,31985,35456,66,8,True,False
610,610,31906,36675,64,10,True,False
611,611,31688,42781,58,18,True,False
612,612,31789,41173,72,24,True,False
613,613,31758,43230,87,30,True,False
614,614,31938,39377,68,15,True,False
615,615,31932,47510,73,33,True,False
616,616,31717,34571,75,6,True,False
617,617,31860,36218,65,10,True,False
618,618,31889,38189,65,12,True,False
619,619,31876,42746,59,18,True,False
620,620,31822,41416,72,24,True,False
621,621,31844,43736,88,30,True,False
622,622,31743,40486,67,18,True,False
623,623,31727,47548,73,33,True,False
624,624,31838,42337,65,21,True,False
625,625,31891,36267,66,8,True,False
626,626,31616,38094,65,12,True,False
627,627,31594,43419,59,19,True,False
628,628,31881,40926,72,21,True,False
629,629,31844,44087,88,31,True,False
630,630,31751,41587,66,21,True,False
631,631,31727,48042,73,34,True,False
632,632,31838,43865,65,24,True,False
633,633,31997,36043,66,8,True,False
634,634,31886,38177,66,12,True,False
635,635,31985,43296,60,18,True,False
636,636,31975,40938,72,20,True,False
637,637,31844,44301,88,32,True,False
638,638,31969,41720,66,22,True,False
639,639,31727,48536,73,35,True,False
640,640,31838,45393,65,27,True,False
641,641,31875,36234,65,10,True,False
642,642,31790,38176,66,12,True,False
643,643,31963,43272,60,18,True,False
644,644,31833,41303,71,21,True,False
645,645,31844,44224,88,33,True,False
646,646,31685,41738,66,22,True,False
647,647,31978,49281,74,36,True,False
648,648,31998,46630,65,29,True,False
649,649,31944,36087,66,8,True,False
650,650,31719,38222,66,13,True,False
651,651,31987,38175,66,13,True,False
652,652,31721,41476,70,22,True,False
653,653,31935,44513,88,34,True,False
654,654,31947,41130,67,20,True,False
655,655,31818,49615,73,37,True,False
656,656,31929,47702,65,31,True,False
657,657,31947,36150,66,9,True,False
658,658,31896,37500,67,11,True,False
659,659,31987,46945,71,41,True,False
660,660,31911,46698,66,32,True,False
661,661,31903,46679,58,23,True,False
662,662,31831,44697,75,34,True,False
663,663,31824,45043,88,35,True,False
664,664,31863,45170,66,28,True,False
665,665,31823,49697,72,38,True,False
666,666,31667,49684,66,35,True,False
667,667,31757,42561,66,22,True,False
668,668,31754,43453,66,26,True,False
669,669,31736,44074,58,19,True,False
670,670,31946,42805,76,28,True,False
671,671,31956,44984,89,35,True,False
672,672,31706,43591,66,25,True,False
673,673,31666,50034,72,39,True,False
674,674,31961,50074,67,35,True,False
675,675,31624,39715,66,16,True,False
676,676,31980,42342,67,23,True,False
677,677,31910,42272,58,16,True,False
678,678,31885,41179,76,24,True,False
679,679,31799,43703,89,33,True,False
680,680,31950,42486,67,22,True,False
681,681,31946,50371,73,39,True,False
682,682,31804,50464,67,36,True,False
683,683,31581,36718,66,10,True,False
684,684,31937,41075,67,20,True,False
685,685,31867,40273,58,13,True,False
686,686,31797,39439,76,20,True,False
687,687,31756,42700,89,32,True,False
688,688,31907,41495,67,20,True,False
689,689,31903,50822,73,40,True,False
690,690,31761,50968,67,37,True,False
691,691,31628,33676,66,4,True,False
692,692,31990,41237,67,21,True,False
693,693,31975,39137,59,11,True,False
694,694,31764,39564,76,20,True,False
695,695,31999,42166,90,31,True,False
696,696,31956,42827,68,22,True,False
697,697,31594,52125,72,43,True,False
698,698,31876,45528,74,41,True,False
699,699,31758,34879,66,7,True,False
700,700,31928,42877,67,25,True,False
701,701,31847,40275,59,14,True,False
702,702,31968,40248,77,20,True,False
703,703,31877,42055,90,31,True,False
704,704,31801,43215,68,23,True,False
705,705,31909,52938,73,44,True,False
706,706,31765,54418,67,45,True,False
707,707,31736,34886,65,7,True,False
708,708,31901,42911,67,25,True,False
709,709,31847,40368,59,15,True,False
710,710,31610,40115,76,19,True,False
711,711,31877,42991,90,33,True,False
712,712,31705,43093,68,23,True,False
713,713,31909,52929,73,44,True,False
714,714,31765,54427,67,45,True,False
715,715,31937,35115,65,7,True,False
716,716,31901,42926,67,25,True,False
717,717,31847,40421,59,15,True,False
718,718,31991,40127,77,18,True,False
719,719,31877,44100,90,36,True,False
720,720,31924,42463,68,22,True,False
721,721,31909,53392,73,45,True,False
722,722,31765,54027,67,44,True,False
723,723,31974,35064,65,6,True,False
724,724,31901,42732,67,25,True,False
725,725,31847,40346,59,15,True,False
726,726,31639,39844,76,18,True,False
727,727,31877,43115,90,34,True,False
728,728,31829,42472,68,22,True,False
729,729,31909,53855,73,46,True,False
730,730,31887,54175,67,44,True,False
731,731,31692,34752,64,6,True,False
732,732,31983,42913,67,25,True,False
733,733,31586,41583,69,19,True,False
734,734,31984,39459,77,16,True,False
735,735,31868,44003,90,37,True,False
736,736,31744,42433,68,22,True,False
737,737,31900,54309,73,47,True,False
738,738,31756,54516,67,45,True,False
739,739,31734,36725,64,10,True,False
740,740,31776,43702,73,28,True,False
741,741,31991,45952,68,27,True,False
742,742,31907,45842,60,23,True,False
743,743,31791,43863,66,27,True,False
744,744,31817,45731,90,40,True,False
745,745,31918,43386,69,22,True,False
746,746,31863,43183,73,24,True,False
747,747,31725,54249,67,44,True,False
748,748,31998,41727,67,23,True,False
749,749,31980,42412,67,20,True,False
750,750,31848,45632,74,38,True,False
751,751,31912,39478,72,19,True,False
752,752,31775,42921,75,25,True,False
753,753,31851,42204,60,16,True,False
754,754,31894,39770,66,16,True,False
755,755,31910,45721,91,40,True,False
756,756,31837,40620,69,17,True,False
757,757,31871,41181,74,20,True,False
758,758,31843,53903,68,43,True,False
759,759,31913,37754,67,13,True,False
760,760,31482,39476,66,15,True,False
761,761,31908,40161,60,13,True,False
762,762,31840,37250,66,10,True,False
763,763,31967,45637,91,40,True,False
764,764,31894,39576,69,15,True,False
765,765,31609,40820,73,20,True,False
766,766,31580,54563,67,45,True,False
767,767,31940,35302,66,8,True,False
768,768,31771,36568,66,9,True,False
769,769,31993,38686,60,11,True,False
770,770,31780,34990,66,5,True,False
771,771,31866,45464,90,41,True,False
772,772,31658,38186,68,13,True,False
