question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,k_first_evidence_delivered,flat_evidence_delivered,k_first_evidence_tiers,flat_evidence_tiers
f966b0a745436572617c923385a4d6d8c6abdd64e36771073c99bc67ee2f4681,conv-42,4,loss,1,68,68,0,1,,
a62cfe7e71c54f790be2c201aeea3b1ecb13f486371dce7f7f3a6075cdaed77d,conv-42,4,loss,1,47,47,0,1,,
d8acdd2ddf50f2719116dc77f67a728b2f2418089f5e63688f757f94f18be429,conv-42,4,loss,1,1,1,0,1,,
af332ec9cc49b20ee71e23a35bb4a2f1c46d6e82e4ec8ec88ccf16fac52c8b5b,conv-42,4,loss,1,5,5,0,1,,
a7b432ca8c6e103c220dd370987c4387c1e58fddd682832ec3b9692ce0a84c75,conv-42,4,loss,1,1,1,0,1,,
6234e4158fdb92008af4e14e53c9ad32b61731a3cc0884a7628fde233a07c586,conv-42,4,loss,1,2,2,0,1,,
3a5270f8c29e7b71c995ee2c066c423c7fe5530c83ab86a7436a7ba7ee05106c,conv-42,4,loss,1,2,2,0,1,,
f6dca94854829dc03f0b0edb267ed0222718672bc12d6f9f5cacc60f1c233e70,conv-42,4,loss,1,1,1,0,1,,
b6142801e0f29b22dd30997961ac2a017981b66dd302b0ebb34ffa222decc638,conv-42,4,loss,1,17,17,0,1,,
55636fd865f4dc301861bc3d9d012dc1118d98194137ce471e41318cde9bab56,conv-42,4,loss,1,1,1,0,1,,
f4c9d1b1fa76eaac735209b239c201078027f991711e8becb40c8b286d4c9c3f,conv-42,4,loss,1,38,38,0,1,,
6dfbcbd9117c41d2f9d95945b75fa67e0234e208adc4be0de031d6f0cb4c8cbb,conv-42,4,loss,1,7,7,0,1,,
6b826b8f018269da266fb295805394fb6e7c791f1bf3353d4b084667e0d34198,conv-42,5,loss,1,94,94,0,1,,
06c1c91d71d2830570356f5f35050baf8ce43467e862064cf8dff322a6c40127,conv-42,5,loss,1,5,5,0,1,,
c1245f65f5c27621a23249521655a072d094389c113f4f4b083b96debc369b7a,conv-42,5,loss,1,85,85,0,1,,
729a478c6747f957b8a2de7843650af1cdefd45b804eac7e5a1ee222efebcfec,conv-42,5,loss,1,4,4,0,1,,
12fab774a1faa500700269ded7d81302c2de0bf1f7e82992743039fba64fce96,conv-42,5,loss,1,3,3,0,1,,
135ccaa9603ec1da81f3878d83ce95b5dbc16cfdf8eb8fe4302765a6cb1ed84e,conv-42,5,loss,1,1,1,0,1,,
e9c63ced0340bd817dd7be830a9347897aab5183063263ff56f55fdc7c6e9c42,conv-42,5,loss,1,87,87,0,1,,
b71e303ae95c45d11b8c842df4b5c71f2596da21a4dce43a69bfa06821e959f7,conv-42,5,loss,1,10,10,0,1,,
a84b33aad124230fe21ea1896e005b145fbae3b1ddc2d0e1e3e05d3a7b6c61d1,conv-42,5,loss,1,27,27,0,1,,
78691a4175a5c0bb57b434c6173304f1b8c10d1b19ce71e41ecb02ca10a71976,conv-42,5,loss,1,25,25,0,1,,
c649d5ba56979eb505454d6ddd805d40d5a02728260b67b43c25de015d7b54ef,conv-42,5,loss,1,1,1,0,1,,
c65161011be683e107a7eca1f55bdff4a0f0b6779544673af25547b8f8567f6f,conv-42,5,loss,1,2,2,0,1,,
0b657f211a0710f7851c8eb5063848f77812e247f322deb8fcf805381ca37f12,conv-42,5,loss,1,1,1,0,1,,
5048a5abd5b6815036a3355ea150fbfea525827a5904890e4ce75ad4f1009735,conv-42,5,loss,1,39,39,0,1,,
0848a9f4a23f21d7335d6b0d8fa419d8f462ffd57d88e5f5fbad97a649580b01,conv-42,5,loss,1,1,1,0,1,,
2b2ff65baf67a22177bfb015dc300396b735a345366ce0aec67433a1d4be35cb,conv-42,5,loss,1,11,11,0,1,,
ba87951197610fb428ff07e96f2223b694035fcc1d525d006584e8676655a8a3,conv-42,5,loss,1,16,16,0,1,,
a0c552bf3d74a2dfd73ed0f7b3c39acac518147f311d6b839e38df0160aa4d62,conv-47,2,loss,1,105,105,0,1,,
76bc4a731506bac26244b2437bd6bb63e12068dd8fe0f754c0b8f662234ac696,conv-47,2,loss,1,1,1,0,1,,
e4c73ecf8635f7cc0194f763d03b8e8586c3aac825c799d501edda55b376b0ac,conv-47,2,loss,1,30,30,0,1,,
dc9c71edda38cdc3ec95a18fe5480cbdb17614c461d3b5ce3511a090cefe2fa7,conv-47,4,loss,1,3,3,0,1,,
0c69e249f93e086b1e2025f33355848e1a84350490389adc07b254073aa2f0dc,conv-47,4,loss,1,76,76,0,1,,
8530a5abe599597b4566b529228390efaaebb7e8a299463f2fd4935ff20c974d,conv-47,4,loss,1,1,1,0,1,,
5c4d966437cf2ad9434e1c5df6622897d26e8d81350390707429033c7d8f2d0a,conv-47,4,loss,1,36,36,0,1,,
8ab0116f844cfc3f0188d799be9ce053473068fd3c0df29a9c17cc968f7d3677,conv-47,4,loss,1,1,1,0,1,,
8736c16082dfbd9e2cf41ae7b46c1ea931c230c36a993c17d2fa3463dee92587,conv-47,4,loss,1,1,1,0,1,,
07c4f0c4b2018b15f194daebb475835d2ae644711d0e574591677a922fe00a1a,conv-47,4,loss,1,1,1,0,1,,
b1dea42385b8f4e35d0736971236ecb49588ab1f365de1d8a6d998a9b13b8b82,conv-47,4,loss,1,1,1,0,1,,
43710f7701eb2a593e5d59cfeac2156853259eddf159f2e6d4189bde01fbdbfd,conv-47,5,gain,1,106,106,1,0,k,
bab90e98113ec89b102920825da65f0c2247a224617e1a24ad53c2536c492133,conv-47,5,loss,1,1,1,0,1,,
af1d909a5fb8888fef4ea4ba02525bfacc1b6aede43626843e3ff102a724889f,conv-47,5,loss,1,29,29,0,1,,
544905e52cba1d29f0092d57e6df5237cb1e4c823d6438d89bb6b2fe08dc3543,conv-47,5,loss,1,62,62,0,1,,
85d4f7ce9f21268b21640a66ca48f11c23755f63e93e9d3eab02fa3e1ae3ca95,conv-47,5,loss,2,2,10,0,2,,
d21a6525b2434693c68c3854c7bf3a375f21dee340ebdf4cf75ed5e17a382c1a,conv-47,5,loss,1,38,38,0,1,,
dc15b1534b51ee6004e446df7a04bfc349e06cc998e0c873560a05f707fad78b,conv-47,5,loss,1,2,2,0,1,,
055fdf43f6c62788946169b6c3b4663f0181a846783c7b1ad3048d481ef53f18,conv-48,3,gain,2,131,237,1,0,k,
b0e7865c8166fce4dc351cd5e823006673e762a32ac3997ece5469f86a3d99eb,conv-48,4,loss,2,6,117,0,2,,
03a18424009bc08d9131a893445eaafda03d77e6296356077bf80c78a90fcdb6,conv-48,2,loss,1,1,1,0,1,,
eeea5cbeb067c16d59c1804b11ff5ad24d20bed687e51ffafbee784d32ad9ab7,conv-48,4,loss,3,1,105,0,3,,
dff115ed86358c15297a6e6f7b59948250e668de6e0ada1251f6b257a7fc0936,conv-48,3,loss,1,1,1,0,1,,
6ff29e4120e3c169b0693e098c970b2e40435c035a09c988840bb4f9cf8b77e6,conv-48,2,loss,1,3,3,0,1,,
36cab067f1b73b634e3e3aec253ed54e43c2f3fe090e3e0c0d6a6f4aeee6430b,conv-48,4,loss,2,1,3,0,2,,
b53687f7d91afe03d49150dbce90e997e63ae3ec1259b88896607069aa1fb5dc,conv-48,1,loss,2,5,10,0,2,,
991198876cb39c1f9089c3ac33413787dd4530de94e568b70fc19fbb1fb9a741,conv-48,2,loss,1,18,18,0,1,,
16648a3a77d3c3a4e2eea7d048165098adf0f3ad8e8c0f72bf14fd3a82710cc8,conv-48,4,loss,1,5,5,0,1,,
1dd036332534d3ae739c45a15421914b6eba9375a96765fa0c412fdac3f192da,conv-48,4,loss,1,4,4,0,1,,
f64c866df06fc6665006667d3d3a7cbafae4589d00398d32dcad10a914dc3f2d,conv-48,4,loss,1,12,12,0,1,,
1ce5b8ae27e4922b3c9d95365112044cfb8bfc69d797c09d9dc864fcc8c811dd,conv-48,4,loss,1,6,6,0,1,,
c1269d74193f95f773c3acb9709b63c4164422f7b778358d9abf61cca1747d0c,conv-48,4,loss,1,18,18,0,1,,
e72fdacd81c7f63e66dee7b1ea5637ccf111121f1a23cd9c7634904860831c71,conv-48,4,loss,1,1,1,0,1,,
6ad8fdbe3adf599eb2605ddbd8d26a03c54f433ee2931382fbd1ba621925be17,conv-48,4,loss,1,14,14,0,1,,
9295ee280ce583c3d9c06b75393d4d8016abf7ee01f8aaf51834989a83e3c209,conv-48,4,loss,1,2,2,0,1,,
ffe6be1c1e6fc58a4ddfbe92cec29f9345522844751f689e581bb9dbdf7fab11,conv-48,4,loss,1,1,1,0,1,,
adc145ac4440adf59475fdbe13c15316e40bbda0d7c646b727dd6c84063cefdd,conv-48,4,loss,1,3,3,0,1,,
46d16c4aa76190fda3a82b7ed3b2c27e6688bb15ccd98427096bd45602d55844,conv-48,4,loss,1,2,2,0,1,,
b1e8977c0c85d803c9400fb2f2fc2816eaf052251d6ceb6d6344097a9c63cc61,conv-48,4,loss,1,35,35,0,1,,
32f192999d0705a5e7f8b7ce8062615edcd31825efb76bf81ca84d73d93051fc,conv-48,4,loss,1,4,4,0,1,,
8cb145b464aefb622c415b755278dba0aacb5110bad70de65420f7c6876700c9,conv-48,4,loss,1,20,20,0,1,,
13f95e5436e58e7115280159897678df5bf8fdc940cc8b3624c2a620e52e2427,conv-48,4,loss,1,1,1,0,1,,
2ca43863fdd8664ef8d6c37f4bebefd396e739a64554e6f5480902ca05cdbd21,conv-48,4,loss,1,9,9,0,1,,
46cacc0f5e299e5728c5fbcf16ae8227e5c998bf8c7c036eb4c7d5020cbe81c8,conv-48,4,loss,1,1,1,0,1,,
a51bfa9688aa5c407f78148344041cfd1cf9bfd9f6f9d3f693248aa1e2c95c5e,conv-48,4,loss,1,1,1,0,1,,
5e2906225b5043c7242b46ffcc2b6cdcf2dc713b06428570cc954c586e50647a,conv-48,5,loss,1,112,112,0,1,,
4a35315eceaa0c7d508450e8a70e13b3d05b3cf64343f1595f835c28292bd382,conv-48,5,loss,1,5,5,0,1,,
dad53a0b3c0cf4531ba0a453080e28738b9669970beb1e4274a0f1091594d136,conv-48,5,loss,1,2,2,0,1,,
1ce26e69cb7b5f1f6750d8a98ac104321c1d6340d55c5164ec0d2625c962a7b1,conv-48,5,loss,1,1,1,0,1,,
c20249e03a81f1c7eedbbaaf2e0cc72fbc4ac539a3f13727b01328f1ceef0cec,conv-48,5,loss,1,41,41,0,1,,
7ad881106513a3445ffcae63d5c236c0119fad38093ab2fd8445e5682bb0b879,conv-48,5,loss,1,1,1,0,1,,
