question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,k_first_evidence_delivered,n_first_evidence_delivered,k_first_evidence_tiers,n_first_evidence_tiers
05ac76f5e94013bf1696ddc28ae760e0352a5c2982f87e0d1eb73c92f7c9bb53,conv-42,2,loss,1,2,2,0,1,,recency
f7bea5cf0138b778f6df3c9bd4a9ca109fdb22adfb55cd72b8d2efbaca5c1f84,conv-42,1,gain,2,1,19,1,0,k,
953e6f03e72f7983c8c6fffcea9b4a247694f0c81f9525a7797e1d427ebd2bc9,conv-42,1,gain,3,1,54,1,0,k,
dcf003086f310b982a492c8fbcb4c863a9e442e4499aaec84f1a68bc579cbfdd,conv-42,3,loss,1,3,3,0,1,,recency
cb7715e53ea093ad22321befca2052267a9748b8bcf6e853043deea41e974741,conv-42,4,gain,2,15,20,2,0,k,
1b5219e81c24fed132d12bf5400516b8c2ddbe1468e921b95a700849824cd61d,conv-42,4,gain,1,61,61,1,0,k,
cf63c68ccb35c7f161d465191c78a76284786967af8b5373b64135b1edc0461f,conv-42,4,gain,1,34,34,1,0,k,
574902a44ee9bda4219ef0c2bce8b6fb05c8e24735384ba92d8ce693e13878d2,conv-42,4,gain,1,2,2,1,0,k,
36d516f8f73cfb7a7994dc447242e96b91b46a4ff3eeed223ee693df3a6b281b,conv-42,4,gain,1,1,1,1,0,k,
8c7925a439c06afe2c903c618aafe7f04aa1de1d18aad6a4d7e74309145d0dcd,conv-42,4,gain,1,3,3,1,0,k,
9e053f769ebb0cf00a40f21a4aa6e52a8d316daaba1525b42a1b5b60673e5a09,conv-42,4,gain,1,1,1,1,0,k,
27e8651f64121c1edd5534ac5d5f434437247d7339ec3229e98b9ab6867574c2,conv-42,4,gain,1,1,1,1,0,k,
79cc009e4bf2a56bb39072f9129ff35780b7e6032dce05a7a69a81b5b573cd0c,conv-42,4,gain,1,1,1,1,0,k,
0dc37671602bfaa9731a095229e1ccf69593d3865720fa0c1c947100ca3dd915,conv-42,4,gain,1,2,2,1,0,k,
48ec9685ac517d54891eff0463ff9ba3cdf64ab5a7e8e754e85343d98ceda331,conv-42,4,gain,1,105,105,1,0,k,
bc534c07ba6c4f17763adb9609b897870ba120c20829f00c60121508b214194f,conv-42,4,gain,1,2,2,1,0,k,
cdd784876f7d1a35b1b9eb3bd09393c48922105503a6c2f0fb62f0941137aae1,conv-42,4,gain,1,1,1,1,0,k,
a7b432ca8c6e103c220dd370987c4387c1e58fddd682832ec3b9692ce0a84c75,conv-42,4,loss,1,1,1,0,1,,recency
6234e4158fdb92008af4e14e53c9ad32b61731a3cc0884a7628fde233a07c586,conv-42,4,loss,1,2,2,0,1,,recency
3a5270f8c29e7b71c995ee2c066c423c7fe5530c83ab86a7436a7ba7ee05106c,conv-42,4,loss,1,2,2,0,1,,recency
f6dca94854829dc03f0b0edb267ed0222718672bc12d6f9f5cacc60f1c233e70,conv-42,4,loss,1,1,1,0,1,,recency
b6142801e0f29b22dd30997961ac2a017981b66dd302b0ebb34ffa222decc638,conv-42,4,loss,1,17,17,0,1,,recency
55636fd865f4dc301861bc3d9d012dc1118d98194137ce471e41318cde9bab56,conv-42,4,loss,1,1,1,0,1,,recency
f4c9d1b1fa76eaac735209b239c201078027f991711e8becb40c8b286d4c9c3f,conv-42,4,loss,1,38,38,0,1,,recency
6dfbcbd9117c41d2f9d95945b75fa67e0234e208adc4be0de031d6f0cb4c8cbb,conv-42,4,loss,1,7,7,0,1,,recency
8713895338f9d1baabd0aab6457bf91ae7d3e0bc834fa4f2f0ef03d8a126473b,conv-42,4,loss,1,116,116,0,1,,recency
7954930d21ccac72403361809c3e314a1059af7f36afa4d140c8c8d5c8e5f055,conv-42,5,gain,1,27,27,1,0,k,
5d644411d4a41d93ac2907ed9eac1e1a682059247af92bd6e4e3a127133149a5,conv-42,5,gain,1,13,13,1,0,k,
0b657f211a0710f7851c8eb5063848f77812e247f322deb8fcf805381ca37f12,conv-42,5,loss,1,1,1,0,1,,recency
5048a5abd5b6815036a3355ea150fbfea525827a5904890e4ce75ad4f1009735,conv-42,5,loss,1,39,39,0,1,,recency
0848a9f4a23f21d7335d6b0d8fa419d8f462ffd57d88e5f5fbad97a649580b01,conv-42,5,loss,1,1,1,0,1,,recency
2b2ff65baf67a22177bfb015dc300396b735a345366ce0aec67433a1d4be35cb,conv-42,5,loss,1,11,11,0,1,,recency
ba87951197610fb428ff07e96f2223b694035fcc1d525d006584e8676655a8a3,conv-42,5,loss,1,16,16,0,1,,recency
f3d0a5898c6e8026e24e99c66b55e2318caf38502819f3456b9a251c5cb1ec32,conv-47,3,gain,1,1,1,1,0,k,
841358e8d773b3a11a85363576315dd91b820b87ed10bab67d60c85769a60363,conv-47,3,gain,1,18,18,1,0,k,
260aace10f5af4e07b963bd7dd63786228190f4d6c809554a128566bd89c8af6,conv-47,1,gain,2,7,86,2,0,k,
e4c73ecf8635f7cc0194f763d03b8e8586c3aac825c799d501edda55b376b0ac,conv-47,2,loss,1,30,30,0,1,,recency
a00998166aa95e5f022baa269ea95c3d35de1635379c2942f599f9c046c927a8,conv-47,4,gain,1,9,9,1,0,k,
2a72e7b8baf3d9ce43a2849221ff5ff19f0a536aa71f37a9a09aa23416146545,conv-47,4,gain,1,3,3,1,0,k,
ceff852eb5fd6d0c45901b531373a653301e2cd66740ca6d30063c1790404550,conv-47,4,gain,1,3,3,1,0,k,
88823bd9db57f1a3195c21df433ef9c2dbb4e511956301b62242aa6aecf3d4d0,conv-47,4,gain,1,2,2,1,0,k,
21be6ea2dc0ee14b5dc423bc0ce81202f29672f39eeefb4dd9185c6678c205b6,conv-47,4,gain,1,3,3,1,0,k,
e96074b4d941ad8d64e8a1a0eb53f150b02547ad98ebc75601e916a3e73adc5b,conv-47,4,gain,1,6,6,1,0,k,
810da9027d8ac95e914f7a101f3eda2d97ffcca21acda3dbd2c23fe10ba916c1,conv-47,4,loss,1,153,153,0,1,,recency
3a08a3a62e3937d0ea82629b4df07c8061c329e94c8b371a35915d7ad1bac862,conv-47,5,gain,1,5,5,1,0,k,
43710f7701eb2a593e5d59cfeac2156853259eddf159f2e6d4189bde01fbdbfd,conv-47,5,gain,1,106,106,1,0,k,
8bb3ff8089674959a5d8756d097cd3ec6a7992eddba3edd2b98ecebb46cd25a4,conv-47,5,gain,1,1,1,1,0,k,
85d4f7ce9f21268b21640a66ca48f11c23755f63e93e9d3eab02fa3e1ae3ca95,conv-47,5,loss,2,2,10,0,2,,recency
d21a6525b2434693c68c3854c7bf3a375f21dee340ebdf4cf75ed5e17a382c1a,conv-47,5,loss,1,38,38,0,1,,recency
dc15b1534b51ee6004e446df7a04bfc349e06cc998e0c873560a05f707fad78b,conv-47,5,loss,1,2,2,0,1,,recency
4ceca4f655151391e94a01b2c8b88d4d721ef4c27e99e29488108b0ed830a194,conv-48,1,gain,4,72,160,2,0,k,
495b4de5baf6198aca7d828af1609c2d463e303efac94d3cbe19c17eda60075e,conv-48,2,gain,1,11,11,1,0,k,
c6847335dd76f65c0434018c56b6b5271d7c6f82bf7e38717ccf26bb68be94ba,conv-48,4,gain,2,1,123,1,0,k,
b53687f7d91afe03d49150dbce90e997e63ae3ec1259b88896607069aa1fb5dc,conv-48,1,loss,2,5,10,0,1,,recency
991198876cb39c1f9089c3ac33413787dd4530de94e568b70fc19fbb1fb9a741,conv-48,2,loss,1,18,18,0,1,,recency
eedc4c72522c21ee5a0ef40ca4af0e9aaadeeb47279aac6e2ebaad3c78a4034d,conv-48,4,gain,1,46,46,1,0,k,
98eed85cde018fcb705716e8c43bfe7b45ecf2049e732ec0c9119fa60c7296a2,conv-48,4,gain,1,14,14,1,0,k,
7259cb53875af17a28d69eacc3fa0df40546bda45c3b46e53969c29cf5f3b30e,conv-48,4,gain,1,2,2,1,0,k,
32395b30caf6ea6bd1513c32566a004f68a28173c77778ab2fd0705028b43efd,conv-48,4,gain,1,106,106,1,0,k,
28d6c8aa7e1c9e36c622ef76e6ce8b1605ce312fd5217816d862881cd61ca650,conv-48,4,gain,1,39,39,1,0,k,
354302a9c2fe1ef93b51cabe59c26431efd8043ac59eac52e7accbffff38bf18,conv-48,4,gain,1,1,1,1,0,k,
7a01cfdff091f2b664b4eaeaa069fe9b7dd184cc82b36056baf0b94af4567273,conv-48,4,gain,1,16,16,1,0,k,
8bd1b296522a4a72b4633ee4907c3a2f9e611578273520bfec11b06e79567d31,conv-48,4,gain,1,1,1,1,0,k,
0124bc447d48d5a4ffe2de56bd8624392e560cd0e8f34147d972b8f7104e3991,conv-48,4,gain,1,2,2,1,0,k,
243c156fa11611b2cf901f4207d5c906ebe9e5fe747ac376fbeaea97c703d089,conv-48,4,gain,1,1,1,1,0,k,
be974ebb1466ae28f51d4829fae1a1af9f5b85406eafdee7f33fa56eb443ec66,conv-48,4,gain,1,1,1,1,0,k,
c3a3ce7ef3bebfae7a65a76246f4a310457f71f1991311b217a1bc4a164ea4f2,conv-48,4,gain,1,1,1,1,0,k,
4bdccb66e841cc9a2bc2ef8f0e3e4cefa42480b33590e8ee58fa98135f08c623,conv-48,4,gain,1,1,1,1,0,k,
b05eaa37ad80de29e010805e0a5b311b8349924bb39d0c250feb271773cffe73,conv-48,4,gain,1,2,2,1,0,k,
10fef3238cdcc9a93155423171aeec3e3c2f71aa5aef159f1531ca4126bb9357,conv-48,4,gain,1,12,12,1,0,k,
8b4726d8784d129888bdd701f91035e29ac612f037745379a70bc6005f952b71,conv-48,4,gain,1,1,1,1,0,k,
d37b7904751d50d860e0fa5243c2a879c130e1d44c6a58000462ff278e66215b,conv-48,4,gain,1,1,1,1,0,k,
6a2e2bcc4809c7591584ebe2c8dcb213190f8f77b286f45e99375a3f897af251,conv-48,4,gain,1,1,1,1,0,k,
8ac1505119250a68c0b7496a2561e178f88b859d8af29fdb1bc02fe4ce40d62e,conv-48,4,gain,1,10,10,1,0,k,
6034dff6eb890315383e967c6beea1993a45a70bf4ebfcdf186b81f0d4c4054d,conv-48,4,gain,1,14,14,1,0,k,
13f95e5436e58e7115280159897678df5bf8fdc940cc8b3624c2a620e52e2427,conv-48,4,loss,1,1,1,0,1,,recency
2ca43863fdd8664ef8d6c37f4bebefd396e739a64554e6f5480902ca05cdbd21,conv-48,4,loss,1,9,9,0,1,,recency
46cacc0f5e299e5728c5fbcf16ae8227e5c998bf8c7c036eb4c7d5020cbe81c8,conv-48,4,loss,1,1,1,0,1,,recency
a51bfa9688aa5c407f78148344041cfd1cf9bfd9f6f9d3f693248aa1e2c95c5e,conv-48,4,loss,1,1,1,0,1,,recency
cb1a53c11685f0569d7233dbfdd4ae9b15f021e106a187720c42d94a67e34669,conv-48,5,gain,1,7,7,1,0,k,
8d6bbfd1eee31fca46afffd13b4c7f7121031e781f7fc0c5d94b73cd6b54ab72,conv-48,5,gain,1,25,25,1,0,k,
84c29e1ce33ae2b1b94aff646d6c2ada96b8747c24f20c635b79fab41aed178a,conv-48,5,gain,1,1,1,1,0,k,
ed35d7c5f50a42cd9d85b7bbdd97881b5388bdc725ed3139c3b25ff210f370e2,conv-48,5,gain,1,1,1,1,0,k,
4e1c16cba2b70dff2b404af312157eca9a03aac7a80490c2d4cb9d275e23ef92,conv-48,5,gain,1,1,1,1,0,k,
e076157a670b03aa1ffe8ec253f5830c723343f6ced9b10b902c41dd973e36ae,conv-48,5,gain,1,17,17,1,0,k,
13c19b8d93a465c21b9a9892c508e64ae7429f9607db045a29bacb7ef33059ae,conv-48,5,gain,1,1,1,1,0,k,
d3fd7d76a5877ef4479bef6306edb546a3b22ccc7d81130450f97ebcd94f1d2b,conv-48,5,gain,1,2,2,1,0,k,
a36d682e132882f017b92229666b85e86658056cc018f9011faa83607b61014d,conv-48,5,gain,1,1,1,1,0,k,
534b5d3b41067844f273f509b01fc1adbd251598f3496b6f4f5312d2f85f5af8,conv-48,5,gain,1,10,10,1,0,k,
7ad881106513a3445ffcae63d5c236c0119fad38093ab2fd8445e5682bb0b879,conv-48,5,loss,1,1,1,0,1,,recency
