question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_evidence_delivered,n_first_evidence_delivered,floors_evidence_tiers,n_first_evidence_tiers,floors_evidence_phases,n_first_evidence_phases
26b8fee9bc82a4fa532b85ea3d8323b8fa42b0d5ddcdec10f430a0a072591001,conv-41,4,gain,1,1,1,1,0,k,,contested,
55182db2ad04e61ecc6cd0f3979e66b93865f94a17333ff0c8e5ed980785c2b4,conv-41,4,gain,1,1,1,1,0,k,,contested,
efd88595b29517e3b1c2d7400bb31442c5abef8727bbd934bb448bdfa44a595e,conv-41,4,gain,1,1,1,1,0,k,,contested,
58d85e4977b631800845043bce927d9012751c51d39e62521802a28e9a80a3db,conv-41,4,gain,1,3,3,1,0,k,,contested,
3d884027b11bb5693383321ad96a7223d78e1fe68c2be5a3e9daf30c97bc1ff4,conv-41,4,gain,1,12,12,1,0,k,,contested,
51a61d6ba9ea63725cba397d1854b772c98592406ce731e1f080534e7bf4d8fa,conv-41,4,gain,1,1,1,1,0,k,,contested,
4a7934decfbe4693843354b50d8dbd3395a6362f3e0d662986b491e915769e84,conv-41,4,gain,1,3,3,1,0,k,,contested,
0f6a656c4dd3a6d4c4aa74e40629357576ea65b5af802261f6b8069a05a870bf,conv-41,4,gain,1,1,1,1,0,k,,contested,
5be306aecff5ccc9b741c7e7c0dffc398351e3df3d221cd179c815ee2daac36a,conv-41,4,gain,1,7,7,1,0,k,,contested,
954a729e44a3de6ab20353a0bfd52a97d9a89029e0ada71346146f442b142c55,conv-41,4,gain,1,1,1,1,0,k,,contested,
7b74888385d4318f7cdd5fcf18fb27921ede95b137677aa6e4446d7934ca1dba,conv-41,4,gain,1,2,2,1,0,k,,contested,
b84295b60ece1edc0542fc349f3a67ca39a2e0b1d356bdc17a689377141f06ff,conv-41,4,gain,1,4,4,1,0,k,,contested,
ae828f6cfb3bf753e9d1f333795935d8056b1d7fc9908a14a9106751fb08bf18,conv-41,4,gain,1,30,30,1,0,coverage,,reserved,
90d626053cf2bc0a67337fc7e441359538659b1e6d7cade9a19274e971a10ead,conv-41,4,gain,1,4,4,1,0,k,,contested,
bc76f5144509b3b0571b40f1851b25f4ac54d12bfface698d23a4e8c2fa658a5,conv-41,4,gain,1,5,5,1,0,k,,contested,
d92f9fbdcbf177c769957466731e88da32930795f9498bc4280fc1f75bd6f3d2,conv-41,4,gain,1,1,1,1,0,k,,contested,
74fbd599bce6be2c928b523e49470449db883a0c82d2f8450c1139bd5cc0898a,conv-41,4,gain,1,3,3,1,0,k,,contested,
84ef28a5108a343b3a3ff3bf27ab5b2deacad234e97573386015853d25b2f24f,conv-41,4,gain,1,4,4,1,0,k,,contested,
b7e90f46d89e8bccb1cce16cf45690c5a26c021ebc3373d54727e79bbfb93b75,conv-41,4,gain,1,4,4,1,0,k,,contested,
406164621957eae559dfe03d81c3b82784e7e33dafe24a2450952ea16d2881f1,conv-41,4,gain,1,1,1,1,0,k,,contested,
2210b772f786d52f146c4a8cf239de8716df204a78df574fa5e5bd38e8bf83ba,conv-41,4,gain,1,3,3,1,0,k,,contested,
1c5c0dd076e28e81101b18fef840034a172a3780a7010f61f51f6a03d08a282c,conv-41,4,gain,1,8,8,1,0,k,,contested,
604b382a0da45c11954c71fb40ddd4510228b7118e916d2cadbc736e07b5f35a,conv-41,4,gain,1,1,1,1,0,k,,contested,
d62bca93ff7c87776e395d7455366fbf1db749dce1ed2dfb3a723362caa27519,conv-41,4,gain,1,3,3,1,0,k,,contested,
bd6478ce3e8c00f635373de5654890be76bf0a5bb0c674eb38573ca3ebda2442,conv-41,4,gain,1,1,1,1,0,k,,contested,
844db0408d7aa28edc4c2b59d01a9db9cbe2987e0244fdba0f3c3e3d063680ed,conv-41,4,gain,1,2,2,1,0,k,,contested,
c7acb34275e7aa836fe52f2794afff19d0e499233d297c9367a4759d4ea78e4c,conv-41,4,gain,1,1,1,1,0,k,,contested,
956f0a351bdc18fea75fe7faafda94f1788d8bdaa9629ca1733c461ce1d6dc1a,conv-41,4,gain,1,1,1,1,0,k,,contested,
2b96ef9d564aba43af0eeb5f2c664eda7e5d8487058ba11b1530556bb3968726,conv-41,4,gain,1,1,1,1,0,k,,contested,
12ff873895417b2b8738f301446f00e2af219622d38e45861687a1590889bec0,conv-41,4,gain,1,1,1,1,0,k,,contested,
e072a917b5401119f3dc128050485a770577c7b50f931a33f29801f058595c52,conv-41,4,gain,1,1,1,1,0,k,,contested,
ef357ff73e1b22a58be8d9db6889567f79c19433b565ae18dc6bc2c0b1a0cf00,conv-41,5,gain,1,1,1,1,0,k,,contested,
76457879964b6b3f5c36884a8fbe5d22104c0f1275decbe6e1e80fb061fdedb1,conv-41,5,gain,1,1,1,1,0,k,,contested,
43b124d25ed567d81c8eac80e6ed3492d0818a3679d25e2f69ec1ddab6c80f57,conv-41,5,gain,1,1,1,1,0,k,,contested,
fea0464841d7f35ebdadf47e2bbdf2ba5f568c45aed7c10022590698c692c89f,conv-41,5,gain,1,1,1,1,0,k,,contested,
b405ac7fad1a46af53fbd71980011c072bef89d14bc20fa3d13655690c2c0b83,conv-41,5,gain,1,1,1,1,0,k,,contested,
da6e5c88bd91060affe76e0d39a4da54e534882f91513f02e57e1e4eea7b560c,conv-41,5,gain,1,13,13,1,0,k,,contested,
425cfd4098acbcfbe34bf2261fa6549fe1ecc5fe7a53e0780cccbcddabfa17d7,conv-41,5,gain,1,1,1,1,0,k,,contested,
386f07d456508f3454e94ca12adb2aed5f0d543a45b70821c49f1a891bc1e46f,conv-41,5,gain,1,2,2,1,0,k,,contested,
2d37977f7edc43555a40a46e82c1e46a985e4feac6ef16b44dfc24f8b39b2c7a,conv-41,5,gain,1,1,1,1,0,k,,contested,
deb319cdfa720c9d252c5465f4a89184747ba61746b46f6ee369a4d6e01202b2,conv-41,5,gain,1,3,3,1,0,k,,contested,
0ec54f3a06fd79fb0add4f940b8652bf92930cf3adceff2c7f2f6d0335af524a,conv-41,5,gain,1,5,5,1,0,k,,contested,
bcdf3968c8368ad332cdb696ec6d703bdd366aea53702734e08ba394fc2d9edc,conv-41,5,gain,1,8,8,1,0,k,,contested,
96f415aea72aff09c8c2a31b5a8d4be6ccd8b5ea1d3d0e8e28185002165792bd,conv-41,5,gain,1,1,1,1,0,k,,contested,
f0901fd845d598a9a2576b6afc3e5ac69f4058a235d8c9993f5d3471be855c17,conv-41,5,gain,1,5,5,1,0,k,,contested,
70588b7ccfe6e35bed12f5c0613ceb3fdb8950468d3f3b63b7d30d8688782076,conv-41,5,gain,1,5,5,1,0,k,,contested,
1097b5b3e426b9e4489841fb10cc5a032d318d7a5f70706cbfea495216f73d87,conv-41,5,gain,1,7,7,1,0,k,,contested,
d01af9d24d967a55b000f5742462f5cfac03fefb77ffb7e5df954438fc3d1daa,conv-41,5,gain,1,2,2,1,0,k,,contested,
bd9d53104b0f2f294a88f58d1eba886e489bd6be940cd453c03ba8f8f1bbf00e,conv-41,5,gain,1,5,5,1,0,k,,contested,
c99ccfb5c495f3e0781d231475926ca9326e3a9eb267a45d12e6eb584103165b,conv-41,5,gain,1,1,1,1,0,k,,contested,
9bdb58cacbe123fc8477bd8dad46d6859873eadf2b3108070c8407488145abca,conv-41,5,gain,1,1,1,1,0,k,,contested,
1c3308d6422cf507ebf3f87ea9173d770bb76bc6dfa83bb78458767625015eee,conv-42,2,gain,1,1,1,1,0,k,,contested,
e752b2d87587dfb68ed870ec668580b7ca0465a265eb75cd05c69326300083e2,conv-42,2,gain,1,1,1,1,0,k,,contested,
2462636072dd6703ad03370bef3fdee5afe71747034c66438d114c607ce9e1c3,conv-42,2,gain,1,5,5,1,0,k,,contested,
47b387fb0b897623fad30bb25a69685435cb8b216d3cbbeaf23265ca5bd19964,conv-42,2,gain,1,1,1,1,0,k,,contested,
23aa5a9cc2a9e022d953c26f48405defdf132d357997553f484011f7cef60dcd,conv-42,1,gain,5,1,12,5,3,k,k,contested|reserved,
8de8ac65359adb78c1d480e238341027a250dc2c52615a95c48bff92378331c5,conv-42,2,gain,1,4,4,1,0,k,,contested,
fb118ca3cd7adf8790322ef7bcad6f0445fd1b5c71dfc91922e4664488e0f096,conv-42,1,gain,2,2,8,2,1,k,k,contested|reserved,
d174ee73f64accbbde07f7b69ca9b88e873a754f0c1638caab57b6550ae207cf,conv-42,2,gain,1,1,1,1,0,k,,contested,
68db0e898dba0f4eefbafb66d86125fae4c9b83d6e1264b60347dcd965e805c0,conv-42,2,gain,1,5,5,1,0,k,,contested,
c49905113defb259264bcc83e74a524fd1e3f6815c4d81d8e3857a537da3120e,conv-42,2,gain,1,3,3,1,0,k,,contested,
fbc3c2230fafc70559c8b505c82a51565e376972d8c5d923e85cdf989751c53f,conv-42,2,gain,1,1,1,1,0,k,,contested,
37caa40b6f5651d328ec986771e081a246bb2922e1ba7f34c3d8caeb57049351,conv-42,2,gain,1,1,1,1,0,k,,contested,
64e790cf119943f76e4e7d40557d263730525613f693825a930b4b9b85605ae8,conv-42,2,gain,1,4,4,1,0,k,,contested,
de597f5a520c1f0163d111f45cd6fac702d16f0cbcb50072f3fb03a8aa7fae46,conv-42,2,gain,1,1,1,1,0,k,,contested,
730881879250923598d7f1bd2c315875fd1db0fc9e5b551e1805f6bb5f9ec9e0,conv-42,2,gain,1,3,3,1,0,k,,contested,
1e93729add74f35e816e8dddb6000ad8f6b3e8cb6e832734325e43cbf8aaa4b4,conv-42,2,gain,1,1,1,1,0,k,,contested,
ecb6bdcd037c1c2abca380593f7accf9acd56280196add1f5d47ec790c08b58b,conv-42,2,gain,1,11,11,1,0,k,,contested,
54e9604bb28c4edd66f145907620d52556398916b2c85ec7d8979289c05dfbbe,conv-42,2,gain,2,3,6,2,0,k,,contested,
56ef6dd634e505a6042446b520c32a554de19f4701fc259b9b7d5c6312ba8024,conv-42,2,gain,1,2,2,1,0,k,,contested,
ba9d8027860573aeaeed0cd07013fbbc925e7e0113182298e78395925e538661,conv-42,1,gain,2,5,26,2,0,k,,contested,
1c4c72388a8e0930c9170c91f62326f682378a011616663a11d659fd7c47701b,conv-42,2,gain,1,1,1,1,0,k,,contested,
8b6a009c3d9ea30209f25596bbd9e672294203263aa4fd5a2af2db9a93011f6c,conv-42,1,gain,2,7,15,2,0,k,,contested,
45709546bc0ba26d967ccdecc38613b87a3c20fea7bd6c60906e48290538757f,conv-42,2,gain,1,1,1,1,0,k,,contested,
35f9d906e9b7e3290f7e5a301e589ad0a892b1c43c019b43f3894b7dfa0567ec,conv-42,1,gain,2,14,21,2,0,k,,contested,
b53ce915bdb62ca49733c1861052ee7f3fd06b0cac8c1f78ef05d1e78fcb644c,conv-42,2,gain,1,12,12,1,0,k,,contested,
1784f1ad203a31c7d8b86711f6c6c426d045716ecff16643f845906eb6a2b6cc,conv-42,1,gain,2,11,118,2,1,k|recency,recency,contested|reserved,
ce5a083637ca2ce6ba0ce336660ef0dc05ab3311d306011f551f7c4d75774a57,conv-42,2,gain,1,1,1,1,0,k,,contested,
195cfa723f63a3c2c8be971c057ed1b2ee706b9183aad19e1c4b3cc442496d32,conv-42,1,gain,4,2,46,4,3,k,k,contested|reserved,
fc39bd31a145fc95bd88e759331e054c430434359bc870b590201bdad1987653,conv-42,3,loss,1,170,170,0,1,,recency,,
a32826014d81d1c187660c43433565eeaa74d9ab2793fb27a736c44b30a3050e,conv-42,4,gain,1,2,2,1,0,k,,contested,
2093c9aa76d6ac319e9d56a97c52e2ee64ecce996626f3e6754a131ad226e8e9,conv-42,4,gain,2,1,14,2,0,k,,contested,
cb7715e53ea093ad22321befca2052267a9748b8bcf6e853043deea41e974741,conv-42,4,gain,2,15,20,2,0,k,,contested,
731134a81544a28461e7fbc49dc641fe3e638442193f6039af698c4875d36232,conv-42,4,gain,1,3,3,1,0,k,,contested,
35dbb5009164d93914dc4c38fa43a615c1e2e401855557304bd2338ff1831e5d,conv-42,4,gain,1,3,3,1,0,k,,contested,
b665320592f6b8edf367a00e9329ce8949b200945dc877eabbb3ea2fecb1ba8a,conv-42,4,gain,1,2,2,1,0,k,,contested,
787a650850ad11d0b7679c70ae4ece819af20fc9b28a261e6d601b1771fa9fd1,conv-42,4,gain,1,12,12,1,0,k,,contested,
d47be9afddf40ea9f3b31ad2b42eb95b9ea5e978ff677fd812f3d7166a69c96b,conv-42,4,gain,1,1,1,1,0,k,,contested,
c45edd6f4fb8c6ad88f9f383a5e5959eb9e49166eba5439c592bafa5be15de4f,conv-42,4,gain,1,6,6,1,0,k,,contested,
2f0d57891f0c523dd0e19373dce9e8a71d8d88b56cde86c1b6a16d33a6f86294,conv-42,4,gain,1,2,2,1,0,k,,contested,
7aac0cea7cda2ac63703eb2181a286e5b0bded4e73537dc05079adcd132ca103,conv-42,4,gain,1,16,16,1,0,k,,contested,
2555c4e207e847988d3812b298294c4636ac9f2d707cbc647a184b680185e2fd,conv-42,4,gain,1,1,1,1,0,k,,contested,
f50d9902ea1b4dd608641996ed5d7856ae11206ad9f551c20183b659bddd5c3e,conv-42,4,gain,1,1,1,1,0,k,,contested,
72cf92f41023d88c3c51546af69a3e9f8ca7fbaea88b9b428d26ff48c23c73d2,conv-42,4,gain,1,10,10,1,0,k,,contested,
7fe71f93f8e140a34c7be0bcc8b1b33415fab524ce8cc49e30317ad01bea7b89,conv-42,4,gain,1,1,1,1,0,k,,contested,
574902a44ee9bda4219ef0c2bce8b6fb05c8e24735384ba92d8ce693e13878d2,conv-42,4,gain,1,2,2,1,0,k,,contested,
fc0628016808e2e3890843a105b902ff8ee789f2f8c76f59a7265aa5be952aba,conv-42,4,gain,1,2,2,1,0,k,,contested,
4867b7efc4ec4425e7a01a996edf98c2409c1cc9326d524603cfdaf80e64866d,conv-42,4,gain,1,7,7,1,0,k,,contested,
36d516f8f73cfb7a7994dc447242e96b91b46a4ff3eeed223ee693df3a6b281b,conv-42,4,gain,1,1,1,1,0,k,,contested,
8c7925a439c06afe2c903c618aafe7f04aa1de1d18aad6a4d7e74309145d0dcd,conv-42,4,gain,1,3,3,1,0,k,,contested,
9e053f769ebb0cf00a40f21a4aa6e52a8d316daaba1525b42a1b5b60673e5a09,conv-42,4,gain,1,1,1,1,0,k,,contested,
f17c070ad1b4c26a4e84398de926bf732f31e39d813c2fbfc485e2c1c42d49fa,conv-42,4,gain,1,19,19,1,0,k,,contested,
86bd14960f48a837562096eabc6277867c7b5fae23c3755ef30c4d69537e4104,conv-42,4,gain,1,2,2,1,0,k,,contested,
f8cb3b5834f6255cb8558b610ab15daa3266163e81ab4d824528ffe33fee1e3b,conv-42,4,gain,1,10,10,1,0,k,,contested,
75e45fbcf1b2b26122fdafb5b1594eba64705d819a3141dd9cdf23f3f3f1d563,conv-42,4,gain,1,6,6,1,0,k,,contested,
4e4503eba646b12761fb980f02f42cdbbef4fb868e3e2a2cad34959cba96d67f,conv-42,4,gain,1,5,5,1,0,k,,contested,
21dfd1f50db2b96916748b2a3b6615a7c4a791966afeacc432fb26c2cd286892,conv-42,4,gain,1,20,20,1,0,k,,contested,
27e8651f64121c1edd5534ac5d5f434437247d7339ec3229e98b9ab6867574c2,conv-42,4,gain,1,1,1,1,0,k,,contested,
79cc009e4bf2a56bb39072f9129ff35780b7e6032dce05a7a69a81b5b573cd0c,conv-42,4,gain,1,1,1,1,0,k,,contested,
2b563c837299367ccbce358225cece104e00b733432313ca129ecfd1d372c957,conv-42,4,gain,1,6,6,1,0,k,,contested,
72a4cee12c413b4c5b413af78cbacc7d18a27e76deff449bedf17e8fe0f58cd9,conv-42,4,gain,1,1,1,1,0,k,,contested,
0dc37671602bfaa9731a095229e1ccf69593d3865720fa0c1c947100ca3dd915,conv-42,4,gain,1,2,2,1,0,k,,contested,
a5ab4e6a8c4da7c2767dd5bf00ca46248f791b0d36b6945b7aa87a6e97f5237c,conv-42,4,gain,1,5,5,1,0,k,,contested,
2ca9a4c93156f6740291411f7c24c3cbc53b342ecb0987b39627b2d4c259ee12,conv-42,4,gain,1,1,1,1,0,k,,contested,
996b862dbd03c7270561ee0e4f0c64cec178719eea6cb78663a316a555e3dbde,conv-42,4,gain,1,1,1,1,0,k,,contested,
bdbc17ec6142fcf9f0add0c2bb9a177126122a95b0d99797e86b1e0cb969fd61,conv-42,4,gain,1,2,2,1,0,k,,contested,
dec1f04af42b10c6a3d86ff875e7e7a0e157a65e157dca557a05ebd583e4a3f0,conv-42,4,gain,1,1,1,1,0,k,,contested,
1f8101e006d606f9b8e8ed66157534f58c1404441b536787bb508c31f5b4c7a3,conv-42,4,gain,1,1,1,1,0,k,,contested,
bc534c07ba6c4f17763adb9609b897870ba120c20829f00c60121508b214194f,conv-42,4,gain,1,2,2,1,0,k,,contested,
fd72860b394fad4120aed16894c0acea3317c58ea31a81e0a8e8f9efe547fcfb,conv-42,4,gain,1,1,1,1,0,k,,contested,
8fef44ded6b6ffa15bdc9d3bf5e82209e0d70e191883f8d4043cc7cf327aa1c8,conv-42,4,gain,1,1,1,1,0,k,,contested,
cdd784876f7d1a35b1b9eb3bd09393c48922105503a6c2f0fb62f0941137aae1,conv-42,4,gain,1,1,1,1,0,k,,contested,
0e13af8f8702bad5ff7b05871b6bd92f6ea3ed83c80ac01680f92d7539ec44a6,conv-42,4,gain,1,4,4,1,0,k,,contested,
aef45279ce16dcfb5eac09ef9a56da2416ee6b9836fdc595fd12d0ad8ff8e20f,conv-42,4,gain,1,12,12,1,0,k,,contested,
a59cbb28d7b576e1c9aa09c11494bb0c6f0f2359e972d45ce79c8b6f16aaead7,conv-42,4,gain,1,1,1,1,0,k,,contested,
545b752a28f2ff8dfd8d3b8b82f80eaaad2a7b9d09dca072d043400bb4017e2f,conv-42,4,gain,1,2,2,1,0,k,,contested,
30661ec5226420983df107a6cdc5ac9e250f970e784bf22241a6d8082c1010d2,conv-42,4,gain,1,1,1,1,0,k,,contested,
f62d12420ea9ed10d3ed9353b7b4a7f3f03a68eecdbb48b02ba2eec23ee47ac9,conv-42,4,gain,1,4,4,1,0,k,,contested,
22706b92552b5ffcb6d7983c5b2c609e2a7c895591ee74e11f97a010bc602df2,conv-42,4,gain,1,15,15,1,0,k,,contested,
752a29158b4c8991a8b1b2c058040f6fe48e9d478542fab27341155f68dcbebd,conv-42,4,gain,1,1,1,1,0,k,,contested,
5a467dcf3199cfb46f282cd499d48e5f7282a143bd92335024127fe78e691a4e,conv-42,4,gain,1,1,1,1,0,k,,contested,
be5f837766a8979fc915dee477ec072c25555bb72348dc0b515a1a75dcadcbe9,conv-42,4,gain,1,1,1,1,0,k,,contested,
26b41fe8ccf2eda82023763e887487a68410ec1ccebfa8147c8db4202191b2f9,conv-42,4,gain,1,1,1,1,0,k,,contested,
31e1a1bad921441e588c0a7fca6b35a2e20d18a13a450ecacc45ba620a369045,conv-42,4,gain,1,2,2,1,0,k,,contested,
a18c608eac25d5efea5803cfef5d5a153b38a656c790cbda4677bcc462c73d69,conv-42,4,gain,1,4,4,1,0,k,,contested,
0e172d797aa8ed0dcb8ef101e4dea938a823afeb5b28276bf7006d4829adbbea,conv-42,4,gain,1,1,1,1,0,k,,contested,
d8acdd2ddf50f2719116dc77f67a728b2f2418089f5e63688f757f94f18be429,conv-42,4,gain,1,1,1,1,0,k,,contested,
af332ec9cc49b20ee71e23a35bb4a2f1c46d6e82e4ec8ec88ccf16fac52c8b5b,conv-42,4,gain,1,5,5,1,0,k,,contested,
08de5720c5ddf50bfd39a3eee8b843f4255ed1288cd2208ce78f59434223570f,conv-42,4,gain,1,1,1,1,0,k,,contested,
f4c9d1b1fa76eaac735209b239c201078027f991711e8becb40c8b286d4c9c3f,conv-42,4,loss,1,38,38,0,1,,recency,,
8713895338f9d1baabd0aab6457bf91ae7d3e0bc834fa4f2f0ef03d8a126473b,conv-42,4,loss,1,116,116,0,1,,recency,,
97f46c06890f4eed4b19d706295892a1d68e9614d3e99e5906bbb41af17b34c7,conv-42,5,gain,1,1,1,1,0,k,,contested,
160e57b9c18e44f2592adf9b5e1af778c415992be24cdc2476eba933aaba9ef2,conv-42,5,gain,1,12,12,1,0,k,,contested,
309eb55e270baa3a613816aff2c0f7919e28439927752713f75c233b245c2be2,conv-42,5,gain,1,2,2,1,0,k,,contested,
447c13a41b748570e7af05bb3663db8302c193e17bb2ef7a233df8ca3d73ac2d,conv-42,5,gain,1,1,1,1,0,k,,contested,
4f0d8086fb9cf079deb45eb4eac5dd2729b2d1b6c0ff940831d01357905c9cad,conv-42,5,gain,1,2,2,1,0,k,,contested,
2b311a02fa73fe45ab5f59f2e83e9cabc316274b4cc2edbe488efed4d3d5baac,conv-42,5,loss,1,6,6,0,1,,k,,
dc50b829677b54d9b73cef7a84850c259abb9adebb25bbc518b607cdacd77c79,conv-42,5,gain,1,1,1,1,0,k,,contested,
add77c535e9fa99b3ee680b0fcdb2d69d6eb55afbb3b3d179e75c6242d6f7dbd,conv-42,5,gain,1,21,21,1,0,k,,contested,
9981259c03847335f880fb066962cd519ffe517c6ec9faa7e6271e04cf896c45,conv-42,5,gain,1,1,1,1,0,k,,contested,
97334cba4bf8c14a10a14157db1b2ea945865e2169814f1b0f804afce7f62e2d,conv-42,5,gain,1,12,12,1,0,k,,contested,
06c1c91d71d2830570356f5f35050baf8ce43467e862064cf8dff322a6c40127,conv-42,5,gain,1,5,5,1,0,k,,contested,
729a478c6747f957b8a2de7843650af1cdefd45b804eac7e5a1ee222efebcfec,conv-42,5,gain,1,4,4,1,0,k,,contested,
7f362e76136842994dca14503d67266767cdd2fcb69a8acf0d708e2e575d8c1d,conv-42,5,gain,1,3,3,1,0,k,,contested,
e1d9d65037f5e33d454bb007523869d17abe208af4c430d2eb7b1e820d218317,conv-42,5,gain,1,1,1,1,0,k,,contested,
92897a271a924aa4fae1c89d65e19537dfc424f6a8680620ed9db7dd4e672e3a,conv-42,5,gain,1,1,1,1,0,k,,contested,
a26f495f6a5a1880e3048d9af010375661043e1ee941c957c31af40690d2456c,conv-42,5,gain,1,1,1,1,0,k,,contested,
054beb41c62a1d7477c7782eb4e3dc98e326bf123f250944e9a96e731fc28651,conv-42,5,gain,1,1,1,1,0,k,,contested,
12fab774a1faa500700269ded7d81302c2de0bf1f7e82992743039fba64fce96,conv-42,5,gain,1,3,3,1,0,k,,contested,
3f08d727c76b1d89842e3ec2679ea56354a9189738ff2ecc0005240186be4f21,conv-42,5,gain,1,8,8,1,0,k,,contested,
135ccaa9603ec1da81f3878d83ce95b5dbc16cfdf8eb8fe4302765a6cb1ed84e,conv-42,5,gain,1,1,1,1,0,k,,contested,
5d644411d4a41d93ac2907ed9eac1e1a682059247af92bd6e4e3a127133149a5,conv-42,5,gain,1,13,13,1,0,k,,contested,
b71e303ae95c45d11b8c842df4b5c71f2596da21a4dce43a69bfa06821e959f7,conv-42,5,gain,1,10,10,1,0,k,,contested,
5166849138818a8578140493278deb56868b48555f33c7132c8357bc8dda83d2,conv-42,5,gain,1,3,3,1,0,k,,contested,
6e1630011f8e82c3be2fff0ec228b0c99b7d4f871e9a7411482cd714d25d6018,conv-42,5,gain,1,3,3,1,0,k,,contested,
c649d5ba56979eb505454d6ddd805d40d5a02728260b67b43c25de015d7b54ef,conv-42,5,gain,1,1,1,1,0,k,,contested,
c65161011be683e107a7eca1f55bdff4a0f0b6779544673af25547b8f8567f6f,conv-42,5,gain,1,2,2,1,0,k,,contested,
039a1abc8b84f9fc3c486c36c89ce018d124cff5e311439dc7734b86786c139c,conv-42,5,loss,1,1,1,0,1,,recency,,
98f714e2745c993f6f7f662f880b345d5ff63a7ac64550acee026c8966a60554,conv-47,3,gain,1,28,28,1,0,coverage,,reserved,
8cc8f6c478642e2eb615d4e9c02f16ba0e542aa3da47d29869df0d9e7027f009,conv-47,2,gain,1,1,1,1,0,k,,contested,
f3d0a5898c6e8026e24e99c66b55e2318caf38502819f3456b9a251c5cb1ec32,conv-47,3,gain,1,1,1,1,0,k,,contested,
69a35d16d2931a759e2f772f4a064c892aef79e222cd776aa567bcf9cff6852a,conv-47,3,gain,1,1,1,1,0,k,,contested,
5f971dcc43d8788ac57ac57317cf12a80e4b407d42aed11307f9ba6bd3e3c63e,conv-47,3,gain,2,4,19,2,0,k,,contested,
65cee02b5a549d5271ca85f32cf840eb9895ec2e41647fd6c51e72e85b998767,conv-47,1,loss,4,1,22,3,4,k,k,reserved,
