question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_evidence_delivered,flat_evidence_delivered,floors_evidence_tiers,flat_evidence_tiers,floors_evidence_phases,flat_evidence_phases
806aa7d67b74698fa1e67fefe095d818b9f3cb4eee56b0954e12087bd4d1b7ed,conv-42,3,loss,1,37,37,0,1,,k,,
c49b9e4e8dcd7d9a9f6b912bf9a45edc1102b5d09c94ad3defdfa49a51653967,conv-42,1,loss,2,20,59,1,2,k,k,contested,
c7f924aebc7207c19dff83b944f915c93a81d5a5787250b68e70b28a6177e844,conv-42,2,loss,1,1,1,0,1,,k,,
50370f80902f3cea6eddecd12a888e688e9f96e803a16709e89d946ce314cb01,conv-42,1,loss,3,14,35,1,3,recency,k|recency,reserved,
642285dd7808bba6528b84bb31636f5664d655f26386ec7ef2c1ec714115f734,conv-42,1,loss,2,9,55,1,2,k,k|recency,contested,
f7bea5cf0138b778f6df3c9bd4a9ca109fdb22adfb55cd72b8d2efbaca5c1f84,conv-42,1,loss,2,1,19,1,2,k,k,contested,
a41adcff1f3869760da18c4161fb06ce0ef820aab2706c20004ecf9fd3016d82,conv-42,1,loss,9,1,36,8,9,k,k,contested|reserved,
440de6a51273a11240f18b288c4c37ec9227a46197abb84f3660f78eabf8c0d8,conv-42,1,loss,7,2,40,6,7,k,k,contested|reserved,
953e6f03e72f7983c8c6fffcea9b4a247694f0c81f9525a7797e1d427ebd2bc9,conv-42,1,loss,3,1,54,2,3,k,k,contested,
8832212f6fa8c327c297d50f380df09b24548076ca57c151468113867ee5ab88,conv-42,4,loss,1,49,49,0,1,,k,,
6db5d86f40cbc7eacdea542613eb13788c3a5930cd8a21bc637d15dfd9b7deef,conv-42,4,loss,1,30,30,0,1,,k,,
cf63c68ccb35c7f161d465191c78a76284786967af8b5373b64135b1edc0461f,conv-42,4,loss,1,34,34,0,1,,k,,
1ceb7c6bebd8a272be8fc25ede8bd86bdd51a41a39eb0937c51efffaa6828c7b,conv-42,4,loss,1,42,42,0,1,,k,,
11c2e6d049829672b06b7b9900d79a5c2b801e154d8a9b833ab48b3e3f61738e,conv-42,4,loss,1,16,16,0,1,,k,,
a91bd67899cda568cb777c326475fdedd26ddb7a6c0a0bbd0a6d0380e1ceb33e,conv-42,4,loss,1,50,50,0,1,,k,,
bfc651639289cc458df8cb2b6b6bce5796f8033400fc382a46c0b0f55b8a8874,conv-42,4,loss,1,52,52,0,1,,outside,,
5f1b477a79075377d8b6f111b9fca52381af58226c09f8412cb54fa4fc1bd1a3,conv-42,4,loss,1,1,1,0,1,,k,,
a62cfe7e71c54f790be2c201aeea3b1ecb13f486371dce7f7f3a6075cdaed77d,conv-42,4,loss,1,47,47,0,1,,k,,
f4c9d1b1fa76eaac735209b239c201078027f991711e8becb40c8b286d4c9c3f,conv-42,4,loss,1,38,38,0,1,,recency,,
04c098ba4cc048cff425a9346c580d9b25d616cdda71ed019ef1a3dd9f7bb2af,conv-42,5,loss,1,37,37,0,1,,k,,
2b311a02fa73fe45ab5f59f2e83e9cabc316274b4cc2edbe488efed4d3d5baac,conv-42,5,loss,1,6,6,0,1,,k,,
7954930d21ccac72403361809c3e314a1059af7f36afa4d140c8c8d5c8e5f055,conv-42,5,loss,1,27,27,0,1,,k,,
4c1bfbb23e13f424e1e9b6a891a8726a87f2bce46c9375deda6f90989bb494ac,conv-42,5,loss,1,20,20,0,1,,k,,
0bc653c71fc0bb2ec100caf3f7339e25be745089496b83b0714204418565176a,conv-42,5,loss,1,44,44,0,1,,k,,
a84b33aad124230fe21ea1896e005b145fbae3b1ddc2d0e1e3e05d3a7b6c61d1,conv-42,5,loss,1,27,27,0,1,,k,,
78691a4175a5c0bb57b434c6173304f1b8c10d1b19ce71e41ecb02ca10a71976,conv-42,5,loss,1,25,25,0,1,,k,,
95f82fd3e2cd9e5d9f93022be1d5388e0d8da8ef2ae7720a8d6906f516935be9,conv-42,5,loss,1,1,1,0,1,,k,,
039a1abc8b84f9fc3c486c36c89ce018d124cff5e311439dc7734b86786c139c,conv-42,5,loss,1,1,1,0,1,,recency,,
7c4bfb5e3709ca346f7d39ce50e991b1b950a57a3f32fbc58e2c2f88528a32e9,conv-47,1,loss,2,5,44,1,2,k,k,contested,
13168332ee1c1bdf76e9723905af7a6fea17ff4354d31596284ad05e57f04b05,conv-47,2,loss,1,45,45,0,1,,outside,,
80b0ad6a162115cef3905129956478a40f12e41f11e142ff8ccc3b7f65a23219,conv-47,1,loss,2,19,28,1,2,k,k,contested,
65cee02b5a549d5271ca85f32cf840eb9895ec2e41647fd6c51e72e85b998767,conv-47,1,loss,4,1,22,3,4,k,k,reserved,
5f4f61dd574b182246df363c8cc77259001b804826c6ef2e26989a862c499a21,conv-47,1,loss,2,11,29,1,2,k,k,contested,
38732cf6d01ae76d6b3c01583cd17c652763390b1ce295a4e3502f409a1f172a,conv-47,2,loss,1,35,35,0,1,,k,,
bc288faac117b881b882d4d677101ad05be7b1e9e29a5d44b65bfc80b7179ca8,conv-47,2,loss,2,12,30,1,2,k,k,reserved,
2f69c606f63a5f81d8697a242e033ff27694186bf9ed40b888c9e2d5416fcd14,conv-47,2,gain,2,1,115,2,1,recency,recency,reserved,
ececce2b9ae0a2cbe754a6b5adb3c2ac488c0733be309fdf0368920eeabfcbe9,conv-47,2,gain,3,2,217,3,2,k|recency,k|recency,reserved,
e4c73ecf8635f7cc0194f763d03b8e8586c3aac825c799d501edda55b376b0ac,conv-47,2,loss,1,30,30,0,1,,recency,,
fa08d10585f711112b4d344e8610ca5acc95ef3396a69b85e09d3cacacad3f35,conv-47,4,loss,1,35,35,0,1,,coverage,,
74a4a0ed24134f2b4dc2d12d78ad9a577b70502a387095344347a1536e59d7d7,conv-47,4,loss,1,24,24,0,1,,k,,
6f5f425ae907e3b2fd6a32ca3d9767e6241f9d9e7073a44366c50f715ba988b1,conv-47,4,loss,1,38,38,0,1,,k,,
52766dcb81a0294a61cfdcb3b05e9bdf00e7bcad6b6bf290c654ccd8881d85cd,conv-47,4,loss,1,40,40,0,1,,k,,
ed8ee90e3027fa0ca2b2b8308ae8f60fb6557a972feaae93a73bd781b3b2bdf7,conv-47,4,loss,1,3,3,0,1,,k,,
0a40384818c5bf2cb101a2a2eb9e946fae5448026e72f3a498456f9e418dcdae,conv-47,4,loss,1,2,2,0,1,,k,,
5c4d966437cf2ad9434e1c5df6622897d26e8d81350390707429033c7d8f2d0a,conv-47,4,loss,1,36,36,0,1,,k,,
f6ee38b75f47397be0e2f7e184152b17d82deff54c4cd45e5df7b0903cbf10a0,conv-47,5,loss,1,9,9,0,1,,k,,
59b9bd128b3d728c9ff0628c7c19dcec516551f5a7fc34b0f15a8c987fbdd22c,conv-47,5,loss,1,39,39,0,1,,coverage,,
b090b4cb7c9db4207ba2ff41810bc17d787c3681ee9afe563ecfe0adb30e7d4c,conv-47,5,loss,1,36,36,0,1,,k,,
6bf9b72a2ea3009aaf3a9ed9308c6304afed93e03dff3454d06655e220598fcb,conv-47,5,loss,1,32,32,0,1,,coverage,,
0179597e450a21af02f361e181c3bd523e736e422f80e7f5880bfcc34998f707,conv-47,5,loss,1,27,27,0,1,,k,,
af1d909a5fb8888fef4ea4ba02525bfacc1b6aede43626843e3ff102a724889f,conv-47,5,loss,1,29,29,0,1,,k,,
9de904e70b5dcacbb5da9678afe0ef1a79cc7d854a6db0c90489f4a0330c9731,conv-47,5,loss,1,3,3,0,1,,k,,
743bc5e2ed38c31921bbc1101abc923045def4c301018e55718f8fb66ad02839,conv-48,1,loss,4,3,48,3,4,k,k,contested|reserved,
eb798c96b0e8f66f94f96549916e56954d4a3bac1b6223b7fbd051029ace227f,conv-48,1,loss,4,1,29,3,4,k|recency,k|recency,reserved,
a25635fb8037d20663339b3b67a8d7efb97d59d7097522f54b553ffc53ae4665,conv-48,1,loss,5,3,23,4,5,k,k,contested|reserved,
c4ddf270603b770f39f6ddfc480111cf6ed281c6523ed105b17adad3bf1a3803,conv-48,1,loss,4,1,57,3,4,k,k,contested,
27d997dc256dda354c7ae9b7e417b2941985560d655a05a6f02aa0956f6fc8e3,conv-48,3,loss,1,39,39,0,1,,k,,
65a9472eb8ce6d515a91a659ff59d3959a46375982d4f83eb86f54949b7f6d2f,conv-48,2,loss,3,1,29,2,3,k,k,contested|reserved,
1e33cf5d302da830d5f27fe375280acb0af434b7243e442b189e60c47bde94f4,conv-48,3,loss,1,36,36,0,1,,k,,
f3c4f44c4b1ac1ac76646d8c48b0a53b59729491aa9b308453f4efd834db9485,conv-48,2,loss,3,1,58,2,3,coverage|k,coverage|k,contested|reserved,
81f5249c34eb53b18aed9573cc48c828c653e370a934c58f612353be50852abd,conv-48,2,loss,1,5,5,0,1,,k,,
2058a0e59bdf775c7cf7fc3b58c37204932f014ce598d1a7ef9a1f93d4a2eb7d,conv-48,1,loss,2,1,56,1,2,recency,k|recency,reserved,
a305a7e66c167552f14c1004eedfff22c4f8ece634dbced49957161575e21e54,conv-48,1,loss,5,3,24,4,5,k,k,contested|reserved,
ccedc1740d69f02b9084c67fcac41fd82216a913b52c9525eed1362f3487ba51,conv-48,1,loss,3,2,41,2,3,k,k,contested,
e426318d990ba82b4cc4d7fa2471c4bcb8f12543a670dd9ae7129940f15c351a,conv-48,4,loss,1,35,35,0,1,,k,,
eedc4c72522c21ee5a0ef40ca4af0e9aaadeeb47279aac6e2ebaad3c78a4034d,conv-48,4,loss,1,46,46,0,1,,k,,
02da44516e795eaa23d9d59061a19349bc0848507e078180352086568b6033e9,conv-48,4,loss,1,38,38,0,1,,k,,
28d6c8aa7e1c9e36c622ef76e6ce8b1605ce312fd5217816d862881cd61ca650,conv-48,4,loss,1,39,39,0,1,,k,,
c1269d74193f95f773c3acb9709b63c4164422f7b778358d9abf61cca1747d0c,conv-48,4,loss,1,18,18,0,1,,k,,
ef42276ecf7abff8bfd9e6562eacc366e69f7441e93d0b2089b7577a5c7ae52c,conv-48,4,loss,1,1,1,0,1,,k,,
b1e8977c0c85d803c9400fb2f2fc2816eaf052251d6ceb6d6344097a9c63cc61,conv-48,4,loss,1,35,35,0,1,,k,,
665180dd8d7ac6fed8fd2123869d52b21a0d7bb61614d748feed673cad755020,conv-48,4,loss,1,1,1,0,1,,k,,
0c3ea400b92139c937dfbc5de480f4fc89183a8f01c39c64ef43fa5b68437bae,conv-48,5,loss,1,41,41,0,1,,k,,
deca094b1125816dc3c1d359b0fda3b404cb7116efa1c0089ae231686558929a,conv-48,5,loss,1,26,26,0,1,,k,,
8d6bbfd1eee31fca46afffd13b4c7f7121031e781f7fc0c5d94b73cd6b54ab72,conv-48,5,loss,1,25,25,0,1,,k,,
c244b3cbaf33f1db1a3a8ab01a18abd9c55073309887d689936f1ee10eb59336,conv-48,5,loss,1,57,57,0,1,,k,,
c20249e03a81f1c7eedbbaaf2e0cc72fbc4ac539a3f13727b01328f1ceef0cec,conv-48,5,loss,1,41,41,0,1,,k,,
9c2211bfe4a3ec843770c61d3b68d866db6ccc02e8effec6d386f421b94cc7fa,conv-48,5,loss,1,8,8,0,1,,k,,
